ADVENTURE I. A SCANDAL IN BOHEMIA	ボヘミアンスキャンダル
of his summons to Odessa in the case of the Trepoff murder, of his clearing up of the singular tragedy of the Atkinson brothers at Trincomalee, and finally of the mission which he had accomplished so delicately and successfully for the reigning family of Holland.	トレポフ殺人事件でオデッサに召喚されたこと、トリンコマリーでアトキンソン兄弟の奇怪な事件を解決したこと、そして最後にオランダ王家のためにうまく成し遂げたデリケートな使命のこと。
Beyond these signs of his activity, however, which I merely shared with all the readers of the daily press, I knew little of my former friend and companion.	しかしこれら、彼の活動しているしるしを私は日刊紙の読者すべてと共有しているだけであり、ほかにかっての友、仲間について知るところはほとんどなかった。
One night--it was on the twentieth of March, 1888--I was returning from a journey to a patient (for I had now returned to civil practice), when my way led me through Baker Street.	ある晩−−1888年3月20日だった−−患者を訪ねて戻る私を、帰路がベーカー街へと運んだ。
As I passed the well-remembered door, which must always be associated in my mind with my wooing, and with the dark incidents of the Study in Scarlet, I was seized with a keen desire to see Holmes again, and to know how he was employing his extraordinary powers.	いつまでも私の心に、求婚しているころのこと、そして緋色の研究という陰惨な事件のことを連想させるにちがいない、あの忘れがたい家を通りかかった時、私はまたホームズに会いたい、彼がその並外れた能力をどのように用いているのか知りたい、という強い思いに襲われた。
His rooms were brilliantly lit, and, even as I looked up, I saw his tall, spare figure pass twice in a dark silhouette against the blind.	彼の部屋はあかあかと灯がともり、ちょうど私が目を上げた時、彼のやせた長身のブラインドに映る黒いシルエットが二度通過するのが見えた。
He was pacing the room swiftly, eagerly, with his head sunk upon his chest and his hands clasped behind him.	彼は深く頭を垂れ、後ろ手を握り締め、足早に、しきりに部屋を行き来していた。
To me, who knew his every mood and habit, his attitude and manner told their own story.	彼の心理状態や癖に通じている私には、彼の態度や様子の意味するものは明らかだった。
He was at work again.	彼が再び仕事をしているのだ。
He had risen out of his drug-created dreams and was hot upon the scent of some new problem.	彼は麻薬の創り出す夢から覚め、新たな問題の臭跡に迫っているのだった。
I rang the bell and was shown up to the chamber which had formerly been in part my own.	私はベルを鳴らし、かって私のものでもあった部屋へ案内された。
His manner was not effusive.	彼の態度に感情は見えなかった。
It seldom was;	それはめったにないことだった。
but he was glad, I think, to see me.	しかし彼は私に会って喜んでいたと思う。
With hardly a word spoken, but with a kindly eye, he waved me to an armchair, threw across his case of cigars, and indicated a spirit case and a gasogene in the corner.	言葉はほとんどなかったが、優しい目をして、手で私に肘掛け椅子を勧め、葉巻入れをほうってよこし、隅のアルコールのケースとソーダメーカーを指さした。
Then he stood before the fire and looked me over in his singular introspective fashion.	それから彼は火の前に立ち、例の内省的な奇妙なやり方で私を吟味した。
"Wedlock suits you,"	「結婚生活が合ってるんだね」
he remarked.	と彼は言った。
"I think, Watson, that you have put on seven and a half pounds since I saw you."	「最後に見てから七ポンド半は増えているかな、ワトソン。」
"Seven!"	「七ポンドだ！」
I answered.	と私は答えた。
"Indeed, I should have thought a little more.	「ほう、もう少し考えるべきだったね。
Just a trifle more, I fancy, Watson.	ほんのちょっとってところかな、ワトソン。
And in practice again, I observe.	それにまた開業してるんだね。
You did not tell me that you intended to go into harness."	仕事に就くつもりだなんて言わなかったけれどね。」
"Then, how do you know?"	「だがどうしてわかるんだ？」
"I see it, I deduce it.	「わかるさ、推理したんだ。
How do I know that you have been getting yourself very wet lately, and that you have a most clumsy and careless servant girl?"	最近君がびしょぬれになる羽目になったことや、君んところに不器用で不注意な女中がいることはどうしてわかるんだろうねえ？」
"My dear Holmes,"	「ホームズ君、」
said I,	私は言った、
"this is too much.	「これはかなわん。
You would certainly have been burned, had you lived a few centuries ago.	何世紀か前に生きてたら君はきっと火あぶりだよ。
It is true that I had a country walk on Thursday and came home in a dreadful mess, but as I have changed my clothes I can't imagine how you deduce it.	確かに木曜日にいなかを歩いて、恐ろしく汚れて帰ったが、洋服は変えたんだからね、どうして君にわかるのか見当もつかんよ。
As to Mary Jane, she is incorrigible, and my wife has given her notice,	メアリー・ジェーンのことなら、あれは救いがたい、だから妻が辞めてもらうことにしたよ。
but there, again, I fail to see how you work it out."	だが、これまた君がどうしてそう考えたのかわからない。」
He chuckled to himself and rubbed his long, nervous hands together.	彼はくすくす笑い、長い、神経質な両手をこすり合わせた。
"It is simplicity itself,"	「簡単そのものだよ」
said he;	と彼は言った。
"my eyes tell me that on the inside of your left shoe, just where the firelight strikes it, the leather is scored by six almost parallel cuts.	「君の左足の靴の内側、ちょうど暖炉の火が当たってるところさ、革にほぼ平行な切り傷が六つついているのが見える。
Obviously they have been caused by someone who has very carelessly scraped round the edges of the sole in order to remove crusted mud from it.	明らかにそれは誰かが靴底について固まった泥を落とそうとして縁をきわめてぞんざいにこすったせいでついた傷だ。
Hence, you see, my double deduction that you had been out in vile weather, and that you had a particularly malignant boot-slitting specimen of the London slavey.	そこで、いいかな、僕の二重の結論は、君がひどい天候の中を外出したこと、君のところにはとりわけ悪質な靴裂き屋であるロンドン女中の見本がいたこと、だ。
As to your practice, if a gentleman walks into my rooms smelling of iodoform, with a black mark of nitrate of silver upon his right forefinger, and a bulge on the right side of his top-hat to show where he has secreted his stethoscope, I must be dull, indeed, if I do not pronounce him to be an active member of the medical profession."	君の開業については、部屋に入ってきた紳士がヨードホルムのにおいをさせ、右手の人さし指を硝酸銀で黒く汚し、シルクハットの右側を膨らませてそこに聴診器を忍ばせていることがわかるなら、いや、実際、僕が鈍いというならともかく、これは現役のお医者さんだと断定するはずじゃないか。」
I could not help laughing at the ease with which he explained his process of deduction.	推理の過程を説明されてみれば簡単なので、私は笑わずにいられなかった。
"When I hear you give your reasons,"	「君が理由を話してくれるのを聞くと、」
I remarked,	私は言った、
"the thing always appears to me to be so ridiculously simple	「それはいつもばかばかしいほど易しいように見える。
that I could easily do it myself,	だから私にも簡単にできるはずなんだがね。
though at each successive instance of your reasoning I am baffled until you explain your process.	もっとも君の連続した推論の一つ一つの段階においては、君がその過程を説明してくれない限り私はまごつくばかりだ。
And yet I believe that my eyes are as good as yours."	でも私の目は君と変わらないと思うんだがね。」
"Quite so,"	「そうともさ」
he answered, lighting a cigarette, and throwing himself down into an armchair.	と彼は答え、煙草に火をつけ、肘掛け椅子に身を投げ出した。
"You see, but you do not observe.	「君は見ている、が、観察していない。
The distinction is clear.	この区別ははっきりしてるんだ。
For example, you have frequently seen the steps which lead up from the hall to this room."	たとえばさ、君は玄関からこの部屋へ至る階段を頻繁に見ているね。」
"Frequently."	「よく見てるよ。」
"How often?"	「どのくらい？」
"Well, some hundreds of times."	「そうさね、何百回かな。」
"Then how many are there?"	「それじゃ何段ある？」
"How many?	「何段？
I don't know."	わからないよ。」
"Quite so!	「そうとも！
You have not observed.	君は観察していなかったんだ。
And yet you have seen.	それでも君は見ていた。
That is just my point.	そこが僕の言いたいところだ。
Now, I know that there are seventeen steps, because I have both seen and observed.	そこでだ、僕は知ってるよ、十七段あるんだ、僕は見てもいるし観察もしているからだ。
By-the-way, since you are interested in these little problems, and since you are good enough to chronicle one or two of my trifling experiences, you may be interested in this."	ところで、君はこうした小さな問題に興味を持っているし、親切にも僕のささいな経験を一つ、二つ記録してくれたし、だからこれもおもしろいかもしれないよ。」
He threw over a sheet of thick, pink-tinted note-paper which had been lying open upon the table.	彼はテーブルに広げて置かれていた一枚の厚い、ピンク色の便箋をこちらに投げた。
"It came by the last post,"	「さっきの郵便で来たんだ」
said he.	と彼は言った。
"Read it aloud."	「読んで聞かせてくれ。」
The note was undated, and without either signature or address.	手紙に日付はなく、署名も住所もなかった。
"There will call upon you to-night at a quarter to eight o'clock," it said, "a gentleman who desires to consult you upon a matter of the very deepest moment.	「今夜八時十五分前に訪問します（と書いてあった）、紳士はきわめて重大な問題であなたに相談を望んでいます。
Your recent services to one of the royal houses of Europe have shown that you are one who may safely be trusted with matters which are of an importance which can hardly be exaggerated.	先ごろのあなたのあるヨーロッパの王室への尽力は、あなたが誇張でなく重要な問題を託して間違いのない人であることを示したものです。
This account of you we have from all quarters received.	あなたに関するこうした話を私たちは受け各方面からとっています。
Be in your chamber then at that hour, and do not take it amiss if your visitor wear a mask."	その時刻にはお部屋に、それから訪問者の覆面に気を悪くされぬよう。」
"This is indeed a mystery,"	「これはまったく不可解だね」
I remarked.	と私は言った。
"What do you imagine that it means?"	「どういう意味かわかるかい？」
"I have no data yet.	「僕にはまだデータがない。
It is a capital mistake to theorize before one has data.	データを得る前に理論を立てるのは重大な過ちだ。
Insensibly one begins to twist facts to suit theories, instead of theories to suit facts.	気づかぬうちに人は理論を事実にあわせる代わりに、理論にあわせて事実を歪め始めるものだ。
But the note itself.	しかしその手紙そのものだが。
What do you deduce from it?"	君はそこから何を推測する？」
I carefully examined the writing, and the paper upon which it was written.	私はその書体やそれが書かれている紙を注意深く調べた。
"The man who wrote it was presumably well to do,"	「これを書いた男はたぶん裕福だろうね」
I remarked, endeavouring to imitate my companion's processes.	と私は友の方法を真似しようと努めながら言った。
"Such paper could not be bought under half a crown a packet.	「こういう紙は一束半クラウン以下では買えまい。
It is peculiarly strong and stiff."	丈夫さ、硬さは独特のものだ。」
"Peculiar--that is the very word,"	「独特−−まさにその通りだ」
said Holmes.	とホームズは言った。
"It is not an English paper at all.	「なにしろイギリスの紙じゃない。
Hold it up to the light."	明かりにかざしてみたまえ。」
I did so, and saw a large "E" with a small "g," a "P," and a large "G" with a small "t" woven into the texture of the paper.	そうすると、大きなＥと小さなｇ、Ｐ、また大きなＧと小さなｔの透かし文字が紙に織り込まれていた。
"What do you make of that?"	「それをどう思う？」
asked Holmes.	とホームズが尋ねた。
"The name of the maker, no doubt;	「メーカーの名だ、間違いない。
or his monogram, rather."	というより頭文字の意匠だね。」
"Not at all.	「とんでもない。
The 'G' with the small 't' stands for 'Gesellschaft,' which is the German for 'Company.'	Ｇと小さなｔは『Gesellschaft』、ドイツ語の『会社』を表している。
It is a customary contraction like our 'Co.'	僕たちの『Co』同様、習慣的な短縮形だ。
'P,' of course, stands for 'Papier.'	Ｐはもちろん『Papier』、紙を表す。
Now for the 'Eg.'	さてＥｇだ。
Let us glance at our Continental Gazetteer."	大陸地名辞典を見てみるかな。」
He took down a heavy brown volume from his shelves.	彼は上の棚から茶色の重い一冊を取った。
"Eglow, Eglonitz--here we are, Egria.	「Eglow、Eglonits−−あったぞ、Egria。
It is in a German-speaking country--in Bohemia, not far from Carlsbad.	ドイツ語圏、ボヘミアの、カールスバートから遠くないところだ。
'Remarkable as being the scene of the death of Wallenstein, and for its numerous glass-factories and paper-mills.'	『ヴァレンシュタイン死の舞台として、および多数のガラス工場、製紙工場のあることで注目。』
Ha, ha, my boy, what do you make of that?"	ハ、ハ、君、どう思う？」
His eyes sparkled, and he sent up a great blue triumphant cloud from his cigarette.	彼は目を輝かせ、高々と勝どきの紫煙を噴き上げた。
"The paper was made in Bohemia,"	「この紙はボヘミアで作られたんだね」
I said.	と私は言った。
"Precisely.	「まさしくね。
And the man who wrote the note is a German.	それにこの手紙を書いた男はドイツ人だ。
Do you note the peculiar construction of the sentence	妙な文章構造に注意してくれたまえ
--'This account of you we have from all quarters received.'	−−『あなたに関するこうした話を私たちは受け各方面からとっています。』
A Frenchman or Russian could not have written that.	フランス人やロシア人ならそうは書かなかったろう。
It is the German who is so uncourteous to his verbs.	こんなに乱暴に動詞を扱うのはドイツ人だ。
It only remains, therefore, to discover what is wanted by this German who writes upon Bohemian paper and prefers wearing a mask to showing his face.	従って、残るは、ボヘミア製の紙に書き、顔を見せるぐらいなら覆面をするという、このドイツ人が何をお望みかを知るだけだ。
And here he comes, if I am not mistaken, to resolve all our doubts."	それにほら、僕の勘違いでなければ、ご当人が来て僕たちの疑いを解いてくれるよ。」
As he spoke there was the sharp sound of horses' hoofs and grating wheels against the curb, followed by a sharp pull at the bell.	彼がそう言うと、馬のひづめと縁石をこする車輪の鋭い音が聞こえ、それから激しくベルが引かれた。
Holmes whistled.	ホームズが口笛を吹いた。
"A pair, by the sound,"	「二頭立てだね、音からすると」
said he.	と彼は言った。
"Yes,"	「そうだ、」
he continued, glancing out of the window.	彼は窓の外に目をやりながら続けた、
"A nice little brougham and a pair of beauties.	「素敵な小型のブルームにすばらしいのが二頭。
A hundred and fifty guineas apiece.	一頭百五十ギニーずつだな。
There's money in this case, Watson, if there is nothing else."	この事件は、ワトソン、ほかに何もなくとも金にはなるよ。」
"I think that I had better go, Holmes."	「私は行ったほうがいいかな、ホームズ。」
"Not a bit, Doctor.	「ちっともかまわないよ、ドクター。
Stay where you are.	そこにいてくれ。
I am lost without my Boswell.	僕にも伝記作家がいなくては困る。
And this promises to be interesting.	それにこれはおもしろそうだよ。
It would be a pity to miss it."	見逃す手はないと思うよ。」
"But your client--"	「でも依頼人は−−」
"Never mind him.	「それはかまわないさ。
I may want your help, and so may he.	僕が君の助けを必要とするかもしれないとなれば依頼人だって。
Here he comes.	ほら来たよ。
Sit down in that armchair, Doctor, and give us your best attention."	その肘掛け椅子に座ってくれ、博士、そしてよく聞いていてくれたまえ。」
A slow and heavy step, which had been heard upon the stairs and in the passage, paused immediately outside the door.	ゆっくりとした重々しい足音が階段、そして廊下に聞こえ、ドアのすぐ外で止まった。
Then there was a loud and authoritative tap.	それから大きな、有無を言わさぬノックの音がした。
"Come in!"	「どうぞ！」
said Holmes.	とホームズは言った。
A man entered who could hardly have been less than six feet six inches in height, with the chest and limbs of a Hercules.	六フィート六インチはくだらない身長で、胸も四肢もヘラクレスのような男が入ってきた。
His dress was rich with a richness which would, in England, be looked upon as akin to bad taste.	その豪華な服はイギリスでは悪趣味に近いものと見られる豪華さであった。
Heavy bands of astrakhan were slashed across the sleeves and fronts of his double-breasted coat, while the deep blue cloak which was thrown over his shoulders was lined with flame-coloured silk and secured at the neck with a brooch which consisted of a single flaming beryl.	ダブルのコートの袖口や胸には重厚なアストラカンの帯状のスラッシュがつけられ、肩には炎の色のシルクの裏地の濃紺のマントをかけ、燃えるような緑柱石一つからなるブローチで首に留めていた。
Boots which extended halfway up his calves, and which were trimmed at the tops with rich brown fur, completed the impression of barbaric opulence which was suggested by his whole appearance.	ふくらはぎまで伸びて、最上部を贅沢な茶色の毛皮で飾ったブーツが、外観全体の与える垢抜けのしない華やかな印象の仕上げとなっていた。
He carried a broad-brimmed hat in his hand, while he wore across the upper part of his face, extending down past the cheekbones, a black vizard mask, which he had apparently adjusted that very moment, for his hand was still raised to it as he entered.	つば広の帽子を手にしていたが、顔の上半分を横切り、頬骨にまだ達している黒い、目を隠す覆面をどうやらその瞬間まで直していたようで、部屋に入った時も手はまだそれに触れていた。
From the lower part of the face he appeared to be a man of strong character, with a thick, hanging lip, and a long, straight chin suggestive of resolution pushed to the length of obstinacy.	顔の下半分からは強い性格がうかがわれ、厚い、垂れた唇、長くまっすぐなあごは頑固なまでの決断力を思わせた。
"You had my note?"	「手紙は受け取りましたか？」
he asked with a deep harsh voice and a strongly marked German accent.	と彼は太い、耳障りな声、ひどく目立つドイツなまりで尋ねた。
"I told you that I would call."	「訪問することは伝えました。」
He looked from one to the other of us, as if uncertain which to address.	彼はどちらに話しかけてよいのかわからないというように私たちを代わる代わる見た。
"Pray take a seat,"	「どうぞお座りください」
said Holmes.	とホームズが言った。
"This is my friend and colleague, Dr. Watson, who is occasionally good enough to help me in my cases.	「これは友人で同僚のワトソン博士で、時折事件で助けになってくれています。
Whom have I the honour to address?"	ところでどなた様でしょうか？」
"You may address me as the Count Von Kramm, a Bohemian nobleman.	「フォン・クラム伯爵と呼んでもらって結構、ボヘミアの貴族です。
I understand that this gentleman, your friend, is a man of honour and discretion, whom I may trust with a matter of the most extreme importance.	こちらの紳士、あなたの友人は、きわめて重要なことを打ち明けて差し支えない、信義を重んじ、分別ある方と思いますが。
If not, I should much prefer to communicate with you alone."	さもなくば、よほどあなた一人と話したいのですが。」
I rose to go, but Holmes caught me by the wrist and pushed me back into my chair.	私は立ち上がって行こうとしたが、ホームズが手首をつかみ、私を席に押し戻した。
"It is both, or none,"	「二人でなければだめです」
said he.	とホームズは言った。
"You may say before this gentleman anything which you may say to me."	「僕に話せることは何でもこの紳士の前でお話しください。」
The Count shrugged his broad shoulders.	伯爵は幅広い肩をすくめた。
"Then I must begin,"	「それではまず初めに、」
said he,	彼は言った、
"by binding you both to absolute secrecy for two years;	「お二人に二年間の秘密厳守を約束してもらいましょう。
at the end of that time the matter will be of no importance.	そのころにはこの問題も大したことではなくなろう。
At present it is not too much to say that it is of such weight it may have an influence upon European history."	現時点ではヨーロッパの歴史に影響を及ぼすほど重要と言っても過言ではないのです。」
"I promise,"	「約束します」
said Holmes.	とホームズが言った。
"And I."	「私も。」
"You will excuse this mask,"	「この覆面も許してください」
continued our strange visitor.	と奇妙な訪問者は続けた。
"The august person who employs me wishes his agent to be unknown to you, and I may confess at once that the title by which I have just called myself is not exactly my own."	「私を遣わした高貴な方が代理人のことも知られぬようにとお望みであり、また実を言うと、今言った肩書きも必ずしも私自身の者ではないのです。」
"I was aware of it,"	「気づいておりました」
said Holmes dryly.	とホームズは冷淡に言った。
"The circumstances are of great delicacy, and every precaution has to be taken to quench what might grow to be an immense scandal and seriously compromise one of the reigning families of Europe.	「状況は非常に微妙であり、あらゆる警戒をして、巨大なスキャンダルとなってヨーロッパの王室の一つに重大な傷をつける火種を消さねばなりません。
To speak plainly, the matter implicates the great House of Ormstein, hereditary kings of Bohemia."	はっきり言えば、この問題はボヘミア代々の王、名門オルシュタイン家が関係しているのです。」
"I was also aware of that,"	「それもまた気づいておりました」
murmured Holmes, settling himself down in his armchair and closing his eyes.	とホームズは小声で言い、肘掛け椅子に腰を下ろし、目を閉じた。
Our visitor glanced with some apparent surprise at the languid, lounging figure of the man who had been no doubt depicted to him as the most incisive reasoner and most energetic agent in Europe.	私たちを訪れた客は、ヨーロッパで最も明敏な理論家であり、最も精力的な捜査官であると確かに聞かされていた男の気のない、だらけた姿を、明らかに少々驚いて見やった。
Holmes slowly reopened his eyes and looked impatiently at his gigantic client.	ホームズは再びその目をゆっくりと開き、巨人のような依頼人をいらだたしげに見た。
"If your Majesty would condescend to state your case,"	「かたじけなくも国王陛下にその問題をお話しいただければ、」
he remarked,	彼は言った、
"I should be better able to advise you."	「よりよい忠告を差し上げられます。」
The man sprang from his chair and paced up and down the room in uncontrollable agitation.	その人は椅子から飛び上がり、動揺を抑えきれずに部屋を行ったり来たりした。
Then, with a gesture of desperation, he tore the mask from his face and hurled it upon the ground.	それから、捨て鉢を身ぶりに表し、彼は顔から覆面をもぎ取り、それを床に投げつけた。
"You are right,"	「その通りです、」
he cried;	彼は叫んだ、
"I am the King.	「私は王です。
Why should I attempt to conceal it?"	なぜ隠そうとせねばならないのか？」
"Why, indeed?"	「まったくなぜでしょう？」
murmured Holmes.	とホームズは小声で言った。
"Your Majesty had not spoken before I was aware that I was addressing Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia."	「陛下がお話しになる前に、僕は自分がお話ししているのはボヘミア国王、カッセル−フェルシュタイン大公、ヴィルヘルム・ゴッツライヒ・シギスマンド・フォン・オルムシュタイン陛下であると存じてました。」
"But you can understand,"	「しかしおわかりのはずだが、」
said our strange visitor, sitting down once more and passing his hand over his high white forehead,	奇妙な客はもう一度腰をかけ、その高い、白い額をかき上げながら言った、
"you can understand that I am not accustomed to doing such business in my own person.	「おわかりのはずだが、私が自分でこういう用件を処理するのは異例のことです。
Yet the matter was so delicate that I could not confide it to an agent without putting myself in his power.	けれども事は微妙ゆえ、代理人などに打ち明けることはできません。
I have come incognito from Prague for the purpose of consulting you."	自らその男の手中に陥りますから。あなたの意見を聞くためにプラハからひそかに来たのです。」
"Then, pray consult,"	「では、どうぞご相談を」
said Holmes, shutting his eyes once more.	とホームズはもう一度目を閉じて言った。
"The facts are briefly these:	「では事実を手短に。
Some five years ago, during a lengthy visit to Warsaw, I made the acquaintance of the well-knownadventuress, Irene Adler.	五年ほど前、長くワルシャワに滞在した際、私は有名な冒険的女性、アイリーン・アドラーと知り合いになりました。
The name is no doubt familiar to you."	名前はおそらく知っているでしょうね。」
"Kindly look her up in my index, Doctor,"	「僕の索引で調べてくれないか、博士」
murmured Holmes without opening his eyes.	とホームズは目を閉じたままつぶやいた。
For many years he had adopted a system of docketing all paragraphs concerning men and things, so that it was difficult to name a subject or a person on which he could not at once furnish information.	長年にわたり、彼は人や事件に関する記事に組織的に摘要をつける方式を採用していたので、どんな問題や人物を挙げても彼は直ちにその情報をもたらすことができた。
In this case I found her biography sandwiched in between that of a Hebrew rabbi and that of a staff-commander who had written a monograph upon the deep-sea fishes.	今回その人物伝は、あるヘブライ人のラビのそれと深海魚に関する研究論文を書いたある参謀将校のそれの間にあった。
"Let me see!"	「見せてくれ！」
said Holmes.	とホームズは言った。
"Hum!	「フム！
Born in New Jersey in the year 1858.	1858年ニュージャージー生まれ。
Contralto--hum!	コントラルト−フム！
La Scala, hum!	スカラ座、フム！
Prima donna Imperial Opera of Warsaw--yes!	ワルシャワ帝国歌劇団でプリマドンナ−ほう！
Retired from operatic stage--ha!	オペラのステージから引退−おや！
Living in London--quite so!	ロンドン在住−そうだろう！
Your Majesty, as I understand, became entangled with this young person, wrote her some compromising letters, and is now desirous of getting those letters back."	つまり陛下は、この若い人物と関係して、名誉にかかわる手紙を何通か書かれ、今ではそれらを取り戻したいと思っていらっしゃるんですね。」
"Precisely so.	「まさにその通りです。
But how--"	だがどうして−−」
"Was there a secret marriage?"	「秘密に結婚をなさいました？」
"None."	「決して。」
"No legal papers or certificates?"	「法的文書、証明書はありませんか？」
"None."	「決して。」
"Then I fail to follow your Majesty.	「とするとよくわかりませんね、陛下。
If this young person should produce her letters for blackmailing or other purposes, how is she to prove their authenticity?"	この若い人が恐喝などの目的で手紙を出して見せるとして、どうやってそれを本物と証明するのでしょう？」
"There is the writing."	「私の筆跡です。」
"Pooh, pooh!	「フ、フン！
Forgery."	偽造です。」
"My private note-paper."	「私の私的な便箋。」
"Stolen."	「盗まれたものです。」
"My own seal."	「私の印章。」
"Imitated."	「模造です。」
"My photograph."	「私の写真。」
"Bought."	「買ったもの。」
"We were both in the photograph."	「私たち二人が写っている。」
"Oh, dear!	「おやおや！
That is very bad!	それは非常にまずい！
Your Majesty has indeed committed an indiscretion."	陛下はまったく無分別なことをしてしまいましたね。」
"I was mad--insane."	「おかしくなっていた−−正気でなかったのです。」
"You have compromised yourself seriously."	「ご自分の体面をひどく汚された。」
"I was only Crown Prince then.	「当時はほんの皇太子でした。
I was young.	若かった。
I am but thirty now."	今やっと三十です。」
"It must be recovered."	「取り戻さなくては。」
"We have tried and failed."	「やってみたがだめでした。」
"Your Majesty must pay.	「陛下、金を出さなくては。
It must be bought."	買わなければいけません。」
"She will not sell."	「彼女に売るつもりはないのです。」
"Stolen, then."	「では盗むのです。」
"Five attempts have been made.	「五回試みました。
Twice burglars in my pay ransacked her house.	二度、私の雇った夜盗が彼女の家中を探しました。
Once we diverted her luggage when she travelled.	一度は彼女の旅行中、手荷物を行き違いにしました。
Twice she has been waylaid.	二度彼女を待ち伏せしました。
There has been no result."	成果はありません。」
"No sign of it?"	「影も形もなしですか？」
"Absolutely none."	「まったくなし。」
Holmes laughed.	ホームズは笑った。
"It is quite a pretty little problem,"	「小さな問題だがなかなか結構ですね」
said he.	と彼は言った。
"But a very serious one to me,"	「しかし私には非常に重大なことです」
returned the King reproachfully.	と王は咎めるように答えた。
"Very, indeed.	「いやまったくです。
And what does she propose to do with the photograph?"	それで彼女はその写真で何をするつもりでしょう？」
"To ruin me."	「私を破滅させるのでしょう。」
"But how?"	「しかしどうやって？」
"I am about to be married."	「私は結婚を控えています。」
"So I have heard."	「そう聞いています。」
"To Clotilde Lothman von Saxe-Meningen, second daughter of the King of Scandinavia.	「スカンジナヴィア国王第二皇女、ザクセ−メニンゲン公女、クロチルド・ロスマンとです。
You may know the strict principles of her family.	あの家の厳格な徳義を聞いてますか。
She is herself the very soul of delicacy.	彼女その人もまさに繊細の権化のようです。
A shadow of a doubt as to my conduct would bring the matter to an end."	私の品行にわずかな疑いがきざせばこの件は終わりでしょう。」
"And Irene Adler?"	「それでアイリーン・アドラーは？」
"Threatens to send them the photograph.	「写真を相手方に送ると脅しています。
And she will do it.	そうするでしょう。
I know that she will do it.	彼女がそうするのはわかってます。
You do not know her, but she has a soul of steel.	あなたは彼女を知らないが、あれは鉄の心を持っています。
She has the face of the most beautiful of women, and the mind of the most resolute of men.	誰よりも美しい女の顔、誰よりも決然たる男の心の持ち主です。
Rather than I should marry another woman, there are no lengths to which she would not go--none."	私がほかの女と結婚するくらいなら、彼女はどんなことでもするでしょう−−何だって。」
"You are sure that she has not sent it yet?"	「まだ写真を送りつけていないのは確かですね？」
"I am sure."	「確かです。」
"And why?"	「それはなぜです？」
