THE DEAD	死者たち
Though their life was modest, they believed in eating well;	彼らの暮らしは質素だったけれども、彼らは美食を信条としていた。
the best of everything:	何でも最上の物。
diamond-bone sirloins, three-shilling tea and the best bottled stout.	極上の骨付きサーロイン、三シリングの茶、そして最高の瓶詰めのスタウト。
But Lily seldom made a mistake in the orders, so that she got on well with her three mistresses.	しかしリリーはめったに指図を間違えることはないので、三人の女主人たちとうまくいっていた。
They were fussy, that was all.	彼らは小うるさい、それだけだった。
But the only thing they would not stand was back answers.	でも唯一つ、彼らが我慢できないのは口答えだった。
Of course, they had good reason to be fussy on such a night.	もちろん、彼らがこんな夜に小うるさくするのはちゃんとわけがあった。
And then it was long after ten o'clock and yet there was no sign of Gabriel and his wife.	そのうえ十時をだいぶ過ぎたのに、まだゲイブリエルと彼の妻の来る兆しがなかった。
Besides they were dreadfully afraid that Freddy Malins might turn up screwed.	それにまた彼らはフレディ・マリンズが酔っ払って現れるのではないかとものすごく心配していた。
They would not wish for worlds that any of Mary Jane's pupils should see him under the influence;	彼らは絶対にメアリー・ジェーンの生徒たちにご機嫌の彼を見せたくなかった。
and when he was like that it was sometimes very hard to manage him.	それにそんな時、彼はまったく手にあまることがあった。
Freddy Malins always came late, but they wondered what could be keeping Gabriel:	フレディ・マリンズはいつも遅れて来たが、ゲイブリエルを引き留めているのは何だろうと彼らは思った。
and that was what brought them every two minutes to the banisters to ask Lily had Gabriel or Freddy come.	それで彼らは二分ごとに階段の手すりのところに来てはゲイブリエルかフレディは来たかとリリーに尋ねるのだった。
"O, Mr. Conroy,"	「おお、コンロイさん、」
said Lily to Gabriel when she opened the door for him,	リリーがゲイブリエルのためにドアを開けて言った、
"Miss Kate and Miss Julia thought you were never coming.	「ミス・ケイトとミス・ジュリアはあなたがもう見えないのではと思ってましたわ。
Good-night, Mrs. Conroy."	今晩は、ミセス・コンロイ。」
"I'll engage they did,"	「さもありなんというところかな、」
said Gabriel,	ゲイブリエルが言った、
"but they forget that my wife here takes three mortal hours to dress herself."	「しかし叔母さんたちはここにいるうちの奥さんが身支度するのに延々三時間もかかるのを忘れてるよ。」
He stood on the mat, scraping the snow from his goloshes, while Lily led his wife to the foot of the stairs and called out:	彼はマットの上に立ち、ガロッシュの雪をこすり落としていたが、その間にリリーは彼の妻を階段の下まで案内し、大声で呼びかけた。
"Miss Kate, here's Mrs. Conroy."	「ミス・ケイト、ミセス・コンロイがおいでです。」
Kate and Julia came toddling down the dark stairs at once.	ケイトとジュリアがすぐに暗い階段をよちよちと下りてきた。
Both of them kissed Gabriel's wife, said she must be perished alive, and asked was Gabriel with her.	二人ともゲイブリエルの妻にキスをして、寒くて死にそうなんじゃないのと言い、ゲイブリエルは一緒かと尋ねた。
"Here I am as right as the mail, Aunt Kate!	「郵便のようにちゃんと来てますよ、ケイト叔母さん！
Go on up.	上へどうぞ。
I'll follow,"	後から行きます」
called out Gabriel from the dark.	とゲイブリエルは暗闇から大声で言った。
He continued scraping his feet vigorously while the three women went upstairs, laughing, to the ladies' dressing-room.	三人の女たちが笑いながら二階の婦人用化粧室へ行く間も、彼は元気よく足をこすり続けた。
A light fringe of snow lay like a cape on the shoulders of his overcoat and like toecaps on the toes of his goloshes;	軽い房飾りとなった雪が彼のオーバーの肩にはケープのように、ガロッシュのつま先には靴のつま先の革のようにのっていた。
and, as the buttons of his overcoat slipped with a squeaking noise through the snow-stiffened frieze, a cold, fragrant air from out-of-doors escaped from crevices and folds.	そして、彼のオーバーのボタンが雪でこわばったフリーズの穴をキーキー音を立ててすり抜けた時、冷たく、かぐわしい戸外の空気が割れ目やひだからもれ出た。
"Is it snowing again, Mr. Conroy?"	「また雪が降ってるんですね、コンロイさん？」
asked Lily.	とリリーは尋ねた。
She had preceded him into the pantry to help him off with his overcoat.	彼女は先に立って彼を食器室に案内して彼がオーバーを脱ぐのを手伝った。
Gabriel smiled at the three syllables she had given his surname and glanced at her.	ゲイブリエルは、彼女が彼の姓に与えた三音節を聞いてにっこりとし、彼女をちらっと見た。
She was a slim;	彼女はほっそりとして、
growing girl, pale in complexion and with hay-coloured hair.	発育盛りの娘で、顔色は青白く、干草色の髪をしていた。
The gas in the pantry made her look still paler.	食器室のガス灯は彼女の顔色をいっそう青白く見せた。
Gabriel had known her when she was a child and used to sit on the lowest step nursing a rag doll.	ゲイブリエルは、彼女が子どもで、よく階段の一番下に座ってぬいぐるみの人形を大事に抱いていた頃から知っていた。
"Yes, Lily,"	「ああ、リリー、」
he answered,	彼は答えた、
"and I think we're in for a night of it."	「きっと一晩降るんだと思うよ。」
He looked up at the pantry ceiling, which was shaking with the stamping and shuffling of feet on the floor above, listened for a moment to the piano and then glanced at the girl, who was folding his overcoat carefully at the end of a shelf.	彼は、上の階で足を踏み鳴らしたり引きずったりするので揺れている食器室の天井を見上げ、ちょっとピアノに耳を傾け、それから棚の端で入念にオーバーをたたんでいる娘に目をやった。
"Tell me.	「ねえ、
Lily,"	リリー、」
he said in a friendly tone,	彼は親しげな調子で言った、
"do you still go to school?"	「まだ学校に行っているの？」
"O no, sir,"	「ああ、いいえ」
she answered.	と彼女は答えた。
"I'm done schooling this year and more."	「今年っていうかもう学校は終わってます。」
"O, then,"	「ああ、それじゃあ、」
said Gabriel gaily,	ゲイブリエルが陽気に言った、
"I suppose we'll be going to your wedding one of these fine days with your young man, eh? "	「僕らは近いうちに君のいい人との結婚式に行くことになるかな、ええ？」
The girl glanced back at him over her shoulder and said with great bitterness:	少女は後ろの彼を肩越しにちらっと見て、きわめて辛らつに言った。
"The men that is now is only all palaver and what they can get out of you."	「今時の男たちったらみんな口先きだけの下心ばっかですね。」
Gabriel coloured, as if he felt he had made a mistake and, without looking at her, kicked off his goloshes and flicked actively with his muffler at his patent-leather shoes.	ゲイブリエルは、ああまずかったというように顔を赤らめ、彼女の方を見ずに、ガロッシュを蹴飛ばして脱ぎ、エナメル革の靴をマフラーでパッパッとさかんにはらった。
He was a stout, tallish young man.	彼は太って背はやや高く若い男だった。
The high colour of his cheeks pushed upwards even to his forehead, where it scattered itself in a few formless patches of pale red;	頬の血色は押し上がって額にまでいくつかの形のない、薄い赤の斑点となって散らばっていた。
and on his hairless face there scintillated restlessly the polished lenses and the bright gilt rims of the glasses which screened his delicate and restless eyes.	そしてひげのない顔には、繊細で落ち着きのない目を隠すメガネの磨かれたレンズと輝く金の縁が落ち着きなくきらめいていた。
His glossy black hair was parted in the middle and brushed in a long curve behind his ears where it curled slightly beneath the groove left by his hat.	彼のつやのある黒い髪は真ん中で分けられ、長く曲線を描いて耳の後ろでは帽子の跡より下の部分がかすかにカールしていた。
When he had flicked lustre into his shoes he stood up and pulled his waistcoat down more tightly on his plump body.	靴をパッパッとやって光沢の出たところで彼は立ち上がり、ふっくらしたからだにぴったりするようにベストを引っ張り下ろした。
Then he took a coin rapidly from his pocket.	それから彼はポケットからすばやく硬貨を取り出した。
"O Lily,"	「ああリリー、」
he said, thrusting it into her hands,	彼はそれを彼女の手に押し込みながら言った、
"it's Christmastime, isn't it?	「クリスマスの時期じゃないか。
Just...	ちょうど・・・
here's a little...."	ここに少し・・・」
He walked rapidly towards the door.	彼はさっとドアに向かって歩いた。
"O no, sir!"	「ああいけません！」
cried the girl, following him.	少女は彼を追って叫んだ。
"Really, sir, I wouldn't take it."	「本当に、いただけません。」
"Christmas-time!	「クリスマスの時期だ！
Christmas-time!"	クリスマスの時期だ！」
said Gabriel, almost trotting to the stairs and waving his hand to her in deprecation.	とゲイブリエルは階段までほとんど小走りになり、抗議する彼女に手を振りながら言った。
The girl, seeing that he had gained the stairs, called out after him:	少女は、彼が階段に到着したのを見て、彼の後ろから大声で呼んだ。
"Well, thank you, sir."	「それじゃ、ありがとうございます。」
He waited outside the drawing-room door until the waltz should finish, listening to the skirts that swept against it and to the shuffling of feet.	彼は客間のドアの外でワルツが終わるのを待ち、スカートのドアをこする音や足を引きずる音を聞いていた。
He was still discomposed by the girl's bitter and sudden retort.	彼はまだ少女の辛らつな、思いがけない反駁に落ち着きを失っていた。
It had cast a gloom over him which he tried to dispel by arranging his cuffs and the bows of his tie.	それは彼に暗い影を投げかけ、彼は払いのけようとしてカフスや蝶ネクタイを整えていた。
He then took from his waistcoat pocket a little paper and glanced at the headings he had made for his speech.	彼はそれからベストのポケットから小さな紙を取り出し、スピーチのために作った項目をざっと見た。
He was undecided about the lines from Robert Browning,	彼はロバート・ブラウニングの短詩については迷っていた。
for he feared they would be above the heads of his hearers.	というのはそれは聞き手には難しすぎるのではと思ったからだ。
Some quotation that they would recognise from Shakespeare or from the Melodies would be better.	シェークスピアからとか歌曲集からとか彼らにもわかる引用の方がよかろう。
The indelicate clacking of the men's heels and the shuffling of their soles reminded him that their grade of culture differed from his.	カタカタ鳴る男たちのかかとの下品な音や靴底を引きずる音が彼とは異なる彼らの文化程度を思い起こさせた。
He would only make himself ridiculous by quoting poetry to them which they could not understand.	彼らに理解できない詩を引用しても自分をこっけいに見せるだけだ。
They would think that he was airing his superior education.	彼らは彼が自分の受けた優れた教育を吹聴していると思うだろう。
He would fail with them just as he had failed with the girl in the pantry.	彼はしくじるだろう、食器室で少女をしくじったのとまったく同じように。
He had taken up a wrong tone.	彼はまずい調子を引きずってしまった。
His whole speech was a mistake from first to last, an utter failure.	彼のスピーチ全体が最初から最後まで間違いだ、まったくの失敗だ。
Just then his aunts and his wife came out of the ladies' dressing-room.	ちょうどその時彼の叔母たちと妻が婦人用化粧室から出てきた。
His aunts were two small, plainly dressed old women.	叔母たち二人は小さな、質素な服装の老婦人だった。
Aunt Julia was an inch or so the taller.	ジュリア叔母の方が一インチかそこら背が高かった。
Her hair, drawn low over the tops of her ears, was grey;	耳をかすめるように低く引っ張られた彼女の髪は灰色だった。
and grey also, with darker shadows, was her large flaccid face.	彼女のたるんだ大きな顔も黒い隈はあるが、やはり灰色だった。
Though she was stout in build and stood erect, her slow eyes and parted lips gave her the appearance of a woman who did not know where she was or where she was going.	彼女はがっしりした体格で真っ直ぐ立っていたが、そののろのろした目と開いた唇のため、どこにいるのか、どこに行こうとしているのかわからない女のように見えた。
Aunt Kate was more vivacious.	ケイト叔母はもっと活気があった。
Her face, healthier than her sister's, was all puckers and creases, like a shrivelled red apple, and her hair, braided in the same old-fashioned way, had not lost its ripe nut colour.	彼女の顔は、妹より健康的だが、しなびた赤りんごのようにすっかりしわしわで、彼女の髪は、同様に古風なやり方で編まれ、熟したナッツの色を失っていなかった。
They both kissed Gabriel frankly.	二人とも遠慮なくゲイブリエルにキスをした。
He was their favourite nephew the son of their dead elder sister, Ellen, who had married T. J. Conroy of the Port and Docks.	彼は二人の死んだ姉で港湾局のＴ・Ｊ・コンロイと結婚したエレンの息子でお気に入りの甥だった。
"Gretta tells me you're not going to take a cab back to Monkstown tonight, Gabriel,"	「グレタの話では今夜マンクスタウンに馬車で帰るつもりはないってね、ゲイブリエル」
said Aunt Kate.	とケイト叔母が言った。
"No,"	「ええ」
said Gabriel, turning to his wife,	と言ってゲイブリエルは妻のほうを向いた、
"we had quite enough of that last year, hadn't we?	「それはもう去年でたくさんだねえ？
Don't you remember, Aunt Kate, what a cold Gretta got out of it?	覚えてませんか、ケイト叔母さん、それでグレタがどんなことになったか？
Cab windows rattling all the way, and the east wind blowing in after we passed Merrion.	馬車の窓が道中ずっとがたがたいうし、メリオンを過ぎた後で東風は吹き込むし。
Very jolly it was.	もう笑っちゃいましたよ。
Gretta caught a dreadful cold."	グレタはひどい風邪をひきました。」
Aunt Kate frowned severely and nodded her head at every word.	ケイト叔母はきつく顔をしかめ、一言一言うなずいていた。
"Quite right, Gabriel, quite right,"	「そのとおりよ、ゲイブリエル、そのとおりよ」
she said.	と彼女は言った。
"You can't be too careful."	「注意はしすぎるぐらいじゃないと。」
"But as for Gretta there,"	「しかしこのグレタと言えば、」
said Gabriel,	ゲイブリエルは言った、
"she'd walk home in the snow if she were let."	「ほうっておけば雪の中を歩いて帰るでしょうよ。」
Mrs. Conroy laughed.	コンロイ夫人は笑った。
"Don't mind him, Aunt Kate,"	「彼にかまわないで、ケイト叔母さん」
she said.	と彼女は言った。
"He's really an awful bother, what with green shades for Tom's eyes at night and making him do the dumb-bells, and forcing Eva to eat the stirabout.	「彼はほんとにうるさい人なの、夜はトムの目のために緑のシェードだとか彼にダンベルをやらせろとか、それからエヴァにオートミールのおかゆを無理にも食べさせろとか。
The poor child!	かわいそうな子！
And she simply hates the sight of it!...	それであの子はまったくあれを見るのも嫌って！・・・
O, but you'll never guess what he makes me wear now!"	ああ、でも彼が今度私に何を着けさせたか、決して言い当てられないでしょう！」
She broke out into a peal of laughter and glanced at her husband, whose admiring and happy eyes had been wandering from her dress to her face and hair.	彼女はどっと笑い出し、夫をちらっと見たが、こちらはうっとりとした嬉しそうな目を彼女のドレスから彼女の顔、そして髪へとさまよわせていた。
The two aunts laughed heartily, too,	二人の叔母もまた心から笑った。
for Gabriel's solicitude was a standing joke with them.	というのもゲイブリエルの心配症はいつも彼らのジョークの種だったからだ。
"Goloshes!"	「ガロッシュ！」
said Mrs. Conroy.	とコンロイ夫人は言った。
"That's the latest.	「あれが最新モードよ。
Whenever it's wet underfoot I must put on my galoshes.	足もとが濡れている時はいつでもガロッシュをつけなくてはいけないの。
Tonight even, he wanted me to put them on, but I wouldn't.	今夜だって彼はあれを私につけさせたかったけど私はいやだったの。
The next thing he'll buy me will be a diving suit."	次に彼が私に買ってくれるのはダイビングスーツでしょうよ。」
Gabriel laughed nervously and patted his tie reassuringly, while Aunt Kate nearly doubled herself, so heartily did she enjoy the joke.	ゲイブリエルは神経質に笑い、不安を和らげるようにネクタイを軽く叩いていたが、ケイト叔母の方はほとんどからだを折り曲げるようにして、思う存分ジョークを楽しんでいた。
The smile soon faded from Aunt Julia's face and her mirthless eyes were directed towards her nephew's face.	ジュリア叔母の顔からはすぐに笑みが薄れ、彼女の笑っていない目は甥の顔に向けられた。
After a pause she asked:	ちゅうちょした後彼女は尋ねた。
"And what are goloshes, Gabriel?"	「それでガロッシュって何、ゲイブリエル？」
"Goloshes, Julia!"	「ガロッシュよ、ジュリア！」
exclaimed her sister	彼女の姉が大声で言った、
"Goodness me, don't you know what goloshes are?	「えっ、ガロッシュが何か知らないの？
You wear them over your...	つけるでしょあなたのほら・・・
over your boots, Gretta, isn't it?"	ブーツの上に、グレタ、そうじゃない？」
"Yes,"	「そうよ」
said Mrs. Conroy.	とコンロイ夫人は言った。
"Guttapercha things.	「グッタペルカでできたものよ。
We both have a pair now.	今じゃ私たち二人とも一組持ってるの。
Gabriel says everyone wears them on the Continent."	ゲイブリエルが言うには大陸ではみんなが着けるんですって。」
"O, on the Continent,"	「おお、大陸でね」
murmured Aunt Julia, nodding her head slowly.	とジュリア叔母はゆっくりうなずきながら小声で言った。
Gabriel knitted his brows and said, as if he were slightly angered:	ゲイブリエルはいくらか腹を立てたかのように、眉をひそめて言った。
"It's nothing very wonderful, but Gretta thinks it very funny because she says the word reminds her of Christy Minstrels."	「何も不思議なことはないですよ、でもグレタはその言葉がクリスティー・ミンストレルズを思い出させると言ってはすごくおもしろがっているんです。」
"But tell me, Gabriel,"	「でもねえ、ゲイブリエル」
said Aunt Kate, with brisk tact.	とケイト叔母がさっと機転をきかせて言った。
"Of course, you've seen about the room.	「もちろん部屋のことは何とかしたんでしょ。
Gretta was saying..."	グレタは言ってたわ・・・」
"0, the room is all right,"	「ああ、部屋は大丈夫です」
replied Gabriel.	とゲイブリエルは答えた。
"I've taken one in the Gresham."	「グレシャムに一つ取りました。」
"To be sure,"	「確かにね、」
said Aunt Kate,	ケイト叔母が言った、
"by far the best thing to do.	「その方がずっといいわ。
And the children, Gretta, you're not anxious about them?"	それで子どもたちは、グレタ、あの子たちのことは心配じゃない？」
"0, for one night,"	「ああ、一晩だし」
said Mrs. Conroy.	とコンロイ夫人は言った。
"Besides, Bessie will look after them."	「それにベシーがあの子たちの世話をしてくれるの。」
"To be sure,"	「確かにね」
said Aunt Kate again.	と、またケイト叔母は言った。
"What a comfort it is to have a girl like that, one you can depend on!	「そんな娘がいるのは、頼りにできる子がいるのはほんとに助かることね！
There's that Lily, I'm sure I don't know what has come over her lately.	ほらあのリリー、ほんとに最近彼女どうしちゃったのかしら、わからないわ。
She's not the girl she was at all."	彼女、全然前のあの娘じゃないわ。」
Gabriel was about to ask his aunt some questions on this point, but she broke off suddenly to gaze after her sister, who had wandered down the stairs and was craning her neck over the banisters.	ゲイブリエルはこの点について叔母に少々質問をしようとしかけたが、彼女は突然話をやめ、階段をぶらぶら下りていって手すり越しに首を伸ばしている妹をじいっと目で追っていた。
"Now, I ask you,"	「ねえ、どうしたの、」
she said almost testily,	彼女は短気を起こしそうになって言った、
"where is Julia going?	「どこへ行くのジュリアは？
Julia!	ジュリア！
Julia!	ジュリア！
Where are you going?"	どこへ行くの？」
Julia, who had gone half way down one flight, came back and announced blandly:	ジュリアは階段を途中まで下りてしまっていたが、戻ってきて落ち着きすまして告知した。
"Here's Freddy."	「フレディが来たわ。」
At the same moment a clapping of hands and a final flourish of the pianist told that the waltz had ended.	それと同時に手を叩く音とピアニストの最後の派手な一節がワルツの終わりを告げた。
The drawing-room door was opened from within and some couples came out.	客間のドアが内から開き、数組のカップルが出てきた。
Aunt Kate drew Gabriel aside hurriedly and whispered into his ear:	ケイト叔母は急いでゲイブリエルを脇へ引っ張っていき、彼の耳にささやいた。
"Slip down, Gabriel, like a good fellow and see if he's all right, and don't let him up if he's screwed.	「そっと下に行って、ゲイブリエル、悪いけど彼が大丈夫か確かめて、で彼が酔ってたら上に上げないで。
I'm sure he's screwed.	きっと酔ってるわ。
I'm sure he is."	きっとそうよ。」
Gabriel went to the stairs and listened over the banisters.	ゲイブリエルは階段のところへ行き、手すりの上から耳をすました。
He could hear two persons talking in the pantry.	二人の人物が食器室で話しているのが聞こえた。
Then he recognised Freddy Malins' laugh.	それから彼はフレディ・マリンズの笑い声を認めた。
He went down the stairs noisily.	彼は大きな音を立てて階段を下りた。
"It's such a relief,"	「とっても助かるわ、」
said Aunt Kate to Mrs. Conroy,	ケイト叔母はコンロイ夫人に言った、
"that Gabriel is here.	「ゲイブリエルがここにいて。
I always feel easier in my mind when he's here....	私はいつも気分がほっとするの、彼がここにいると・・・
Julia, there's Miss Daly and Miss Power will take some refreshment.	ジュリア、ほら、ミス・デイリーとミス・パワーが軽食を取られることよ。
Thanks for your beautiful waltz, Miss Daly.	すてきなワルツをありがとう、ミス・デイリー。
It made lovely time."	楽しかったわ。」
A tall wizen-faced man, with a stiff grizzled moustache and swarthy skin, who was passing out with his partner, said:	硬い白髪交じりの口ひげ、浅黒い肌、背は高く、しわだらけの顔の男がパートナーと共に出てきて言った。
"And may we have some refreshment, too, Miss Morkan?"	「私たちも少し軽食を取らせていただけますか、ミス・モーカン？」
"Julia,"	「ジュリア、」
said Aunt Kate summarily,	ケイト叔母が即座に言った、
"and here's Mr. Browne and Miss Furlong.	「それからこちらのミスター・ブラウンとミス・ファーロング。
Take them in, Julia, with Miss Daly and Miss Power."	一緒にお連れして、ジュリア、ミス・デイリーとミス・パワーと。」
"I'm the man for the ladies,"	「私はご婦人方の味方です」
said Mr. Browne, pursing his lips until his moustache bristled and smiling in all his wrinkles.	とブラウン氏は、口ひげが逆立つほど唇をすぼめ、顔をくしゃくしゃにして微笑みながら言った。
"You know, Miss Morkan, the reason they are so fond of me is----"	「何しろミス・モーカン、私がご婦人方に好かれるわけは−−−−」
He did not finish his sentence, but, seeing that Aunt Kate was out of earshot, at once led the three young ladies into the back room.	彼は言い終えなかった、が、ケイト叔母が言っても聞こえない所にいると見るや、直ちに三人の妙齢のご婦人方を率いて奥なる部屋へ入った。
The middle of the room was occupied by two square tables placed end to end, and on these Aunt Julia and the caretaker were straightening and smoothing a large cloth.	その部屋の中央は端と端をつないで置かれた二つの四角いテーブルでふさがり、その上にジュリア叔母と管理人が大きなテーブルクロスをまっすぐにしてしわを伸ばしていた。
On the sideboard were arrayed dishes and plates, and glasses and bundles of knives and forks and spoons.	食器棚には大皿や平皿、グラスやナイフ、フォーク、スプーンの束が整列していた。
The top of the closed square piano served also as a sideboard for viands and sweets.	閉じたスクエアピアノの上面もまた食料やデザートのための食器棚の役を務めていた。
At a smaller sideboard in one corner two young men were standing, drinking hop-bitters.	一隅のやや小さな食器棚の所には二人の若い男が立ち、ホップビターを飲んでいた。
Mr. Browne led his charges thither and invited them all, in jest, to some ladies' punch, hot, strong and sweet.	ブラウン氏は預かりものをそちらへ案内し、彼女たちみんなに、冗談で、ご婦人方用パンチの熱く、強く、甘いやつを勧めた。
As they said they never took anything strong, he opened three bottles of lemonade for them.	彼女たちが強いものはとても飲めないと言うので、彼は彼女たちのためにレモネードの瓶を三つ開けた。
Then he asked one of the young men to move aside, and, taking hold of the decanter, filled out for himself a goodly measure of whisky.	それから彼は若者の一人に脇に寄るように求め、そして、デカンターをつかみ、自ら相当量のウィスキーをなみなみとついだ。
The young men eyed him respectfully while he took a trial sip.	若者たちはうやうやしげに、試みにひとなめする彼に目を据えていた。
"God help me,"	「情けないことに、」
he said, smiling,	彼はにっこりとして言った、
"it's the doctor's orders."	「これが医者の命令でね。」
His wizened face broke into a broader smile, and the three young ladies laughed in musical echo to his pleasantry, swaying their bodies to and fro, with nervous jerks of their shoulders.	彼のしわくちゃの顔にあからさまな笑みがパッと広がり、三人の妙齢のご婦人方は彼の冗談に調子よく呼応して笑い、肩をぴくぴく震わせ、からだを前後に揺すっていた。
The boldest said:	最も勇敢な一人が言った。
"O, now, Mr. Browne, I'm sure the doctor never ordered anything of the kind."	「あら、まあ、ブラウンさん、間違いなくお医者様は決してそのようなことを命令なさいませんわ。」
Mr. Browne took another sip of his whisky and said, with sidling mimicry:	ブラウン氏はもう一口ウィスキーをすすり、からだを横にして歩くまねをして言った。
"Well, you see, I'm like the famous Mrs. Cassidy, who is reported to have said:	「おや、だってねえ、私は有名なキャシディ夫人みたいなもんで、伝えられるところによれば彼女はこう言ったそうですな、
'Now, Mary Grimes, if I don't take it, make me take it, for I feel I want it.'"	『まあ、メアリー・グライムズ、私が飲まなかったら、飲ませてちょうだい、私は飲みたいんだから。』」
His hot face had leaned forward a little too confidentially and he had assumed a very low Dublin accent so that the young ladies, with one instinct, received his speech in silence.	ちょっとあまりになれなれしく彼の熱した顔が前のめりになり、また彼が非常に下品なダブリンなまりを装ったので、妙齢のご婦人方は、一様に本能が働き、無言で彼の話を受けた。
Miss Furlong, who was one of Mary Jane's pupils, asked Miss Daly what was the name of the pretty waltz she had played;	メアリー・ジェーンの生徒の一人であるミス・ファーロングはミス・デイリーに彼女が弾いていた見事なワルツの名は何と言うのか尋ねた。
and Mr. Browne, seeing that he was ignored, turned promptly to the two young men who were more appreciative.	で、ブラウン氏は、無視されたと見て取ると、早速もっと話のわかる二人の若い男たちの方を向いた。
A red-faced young woman, dressed in pansy, came into the room, excitedly clapping her hands and crying:	パンジーの服を着た赤い顔の若い女が、興奮気味に手を叩き叫びながら部屋に入った。
"Quadrilles!	「カドリール！
Quadrilles!"	カドリール！」
Close on her heels came Aunt Kate, crying:	彼女のすぐ後にケイト叔母も続き、叫んだ。
"Two gentlemen and three ladies, Mary Jane!"	「殿方が二人とご婦人が三人よ、メアリー・ジェーン！」
"O, here's Mr. Bergin and Mr. Kerrigan,"	「ああ、こちらにミスター・バーギンとミスター・ケリガンが」
said Mary Jane.	とメアリー・ジェーンは言った。
"Mr. Kerrigan, will you take Miss Power?	「ケリガンさん、ミス・パワーといかが？
Miss Furlong, may I get you a partner, Mr. Bergin.	ミス・ファーロング、あなたのパートナーにバーギンさんでは。
O, that'll just do now."	ああ、ほら、それでちょうどいいわ。」
"Three ladies, Mary Jane,"	「ご婦人は三人よ、メアリー・ジェーン」
said Aunt Kate.	とケイト叔母が言った。
The two young gentlemen asked the ladies if they might have the pleasure, and Mary Jane turned to Miss Daly.	二人の若い紳士が婦人たちにお相手をさせていただけませんかと尋ね、メアリー・ジェーンはミス・デイリーに目を向けた。
"O, Miss Daly, you're really awfully good, after playing for the last two dances, but really we're so short of ladies tonight."	「ああ、ミス・デイリー、二曲ダンスの伴奏をなさったばかりで本当にすごく申し訳ないけれど、今夜は本当にご婦人がとても足りないの。」
"I don't mind in the least, Miss Morkan."	「ちっともかまいませんことよ、ミス・モーカン。」
