Discourse on the Method of Rightly Conducting the Reason, and Seeking the Truth in the Sciences	もろもろの学問分野で、正しく理詰めで真理を探究するための方法についての考察
But as this tract is put forth merely as a history, or, if you will, as a tale, in which, amid some examples worthy of imitation, there will be found, perhaps, as many more which it were advisable not to follow,	でも、この文章での記述はただの歴史というか、お望みならお話として書かれている、だからまねする価値のある例のなかに、まねしないほうがいい例も見つかるかもしれない。
I hope it will prove useful to some without being hurtful to any, and that my openness will find some favor with all.	だけれど、これが一部の人には役にたって、だれも傷つけることなく、そしてこの率直さが、みんなに多少は満足してもらえるといいな、と思う。
From my childhood, I have been familiar with letters;	子供の頃から、わたしは文献に慣れ親しんできた。
and as I was given to believe that by their help a clear and certain knowledge of all that is useful in life might be acquired, I was ardently desirous of instruction.	そして、文献の助けを借りれば、人生で訳にたつことすべてについて、はっきりした確実な知識が得られると思いこまされてきたので、教育を熱心に求めたものだ。
But as soon as I had finished the entire course of study, at the close of which it is customary to be admitted into the order of the learned, I completely changed my opinion.	でも、講義のすべてを終えたとたん、教養ある人物の地位に普通は認められるはずのものが終わったとたん、わたしはがらっと意見を変えた。
For I found myself involved in so many doubts and errors,	というのも、気がついてみると、自分があまりにたくさんの疑いやまちがいに囲まれていたからだ。
that I was convinced I had advanced no farther in all my attempts at learning, than the discovery at every turn of my own ignorance.	おかげで、自分の無知を悟るたびに行う発見以外の点では、自分はまったく何一つ学習という点で前進していないのだと確信するようになってしまった。
And yet I was studying in one of the most celebrated schools in Europe, in which I thought there must be learned men,  if such were anywhere to be found.	それでも、わたしが学んでいたのはヨーロッパでも最高とうたわれる学校で、教養ある人がいるなら、ここしかないと思えたところだ。
I had been taught all that others learned there;	わたしは、他のみんなが教わったことをすべて学んだ。
and not contented with the sciences actually taught us, I had, in addition, read all the books that had fallen into my hands, treating of such branches as are esteemed the most curious and rare.	さらに、教わった学問に満足できなかったので、手元にきた本はすべて読み尽くしたし、えらく風変わりで珍しいと思われている分野も相手にしてみた。
I knew the judgment which others had formed of me;	ほかの人たちが、わたしのことをどう判断しているかも知っていたし、
and I did not find that I was considered inferior to my fellows,	自分が同期にくらべて劣っているとは思われていないのも知っていた。
although there were among them some who were already marked out to fill the places of our instructors.	もっとも、中にはすでに教師たちの任にとってかわるべく選出された者もいたけれど。
And, in fine, our age appeared to me as flourishing, and as fertile in powerful minds as any preceding one.	そしてわれわれの時代は、それに先立つどの時代とくらべても、強力な精神を輩出するという点で、全体としてまったく劣るものではないように思えた。
I was thus led to take the liberty of judging of all other men by myself, and of concluding that there was no science in existence that was of such a nature as I had previously been given to believe.	というわけで、わたしはほかのあらゆる人物を、勝手ながら自分一人で判断させてもらった結果として、わたしがそもそも信じさせられたような性質を持った学問というのは、実はまるっきり存在していないのだと結論するしかなかった。
I still continued, however, to hold in esteem the studies of the schools.	それでも、学校での学問への敬意をなくしたわけではない。
I was aware that the languages taught in them are necessary to the understanding of the writings of the ancients;	そこで教えられる言語は、古人の書いた著作を理解するのに必要だというのはわかる。
that the grace of fable stirs the mind;	寓話の優雅さは心ときめくものだ。
that the memorable deeds of history elevate it;	歴史上の印象的なできごとは精神を高めてくれるし、
and, if read with discretion, aid in forming the judgment;	注意して読めば、判断力の形成にも役立つ。
that the perusal of all excellent books is,  as it were, to interview with the noblest men of past ages, who have written them, and even a studied interview, in which are discovered to us only their choicest thoughts;	すぐれた本を読み込むのは、それを書いた過去の最高の偉人たちの話をきくようなもので、しかもただの話ではなく、その人たちのえり抜きの思考だけを伝えてくれる。
that eloquence has incomparable force and beauty;	雄弁は比類なき力と美しさを持っている。
that poesy has its ravishing graces and delights;	詩は、すばらしい優雅さとよろこびをもたらす。
that in the mathematics there are many refined discoveries eminently suited to gratify the inquisitive, as well as further all the arts an lessen the labour of man;	数学には、探求心の旺盛な者を満足させるにじゅうぶん足るだけの洗練された発見がたくさんあって、しかもそれは人のあらゆる技芸を進歩させ、人々の労働を減らせるものだ。
that numerous highly useful precepts and exhortations to virtue are contained in treatises on morals;	道徳律には、美徳について無数のとても役に立つ知見や訓戒が含まれている。
that theology points out the path to heaven;	神学は天国への道を指し示す。
that philosophy affords the means of discoursing with an appearance of truth on all matters, and commands the admiration of the more simple;	哲学は、あらゆる事柄について、真実ぶった対話を可能にしてくれて、単純な人々の崇拝を獲得できる。
that jurisprudence, medicine, and the other sciences, secure for their cultivators honors and riches;	法学や医学などの科学は、それを探求する者たちに名誉と富を確保してくれる。
and, in fine, that it is useful to bestow some attention upon all,	そして結局は、このすべてに少しは関心をはらっておくといいだろう。
even upon those abounding the most in superstition and error, that we may be in a position to determine their real value, and guard against being deceived.	なかにはえらく迷信やあやまりばかりの分野もあるけれど、でもそういうのを見ておけば、その真価も見定められるし、だまされないようにすることもできるわけだ。
But I believed that I had already given sufficient time to languages, and likewise to the reading of the writings of the ancients, to their histories and fables.	でも、もう言語にはじゅうぶん時間を割いたし、古人の著作や歴史、寓話も、やるだけやった気がした。
For to hold converse with those of other ages and to travel, are almost the same thing.	というのも、ほかの時代の人たちと対話するのは、旅行するのとほとんど同じことだからだ。
It is useful to know something of the manners of different nations,	ほかの国の習慣をある程度知るのは、役にたつ。
that we may be enabled  to form a more correct judgment regarding our own, and be prevented from thinking that everything contrary to our customs is ridiculous and irrational,	自分自身の国についてもっと正しい判断ができるようになるし、自分たちの習俗に反するものはすべて変てこで不合理だ、などという考えちがいをしないですむようになるからだ。
a conclusion usually come to by those whose experience has been limited to their own country.	こういう考えちがいは、経験が自国内に限られている者からくることが多い。
On the other hand, when too much time is occupied in traveling, we become strangers to our native country;	でも一方で、旅行ばかりに時間を費やしていると、自分の国で異人となってしまう。
and the over curious in the customs of the past are generally ignorant of those of the present.	それに、過去の習俗ばかり気にしている人たちというのは、だいたいはいまの習俗には無知だったりする。
Besides, fictitious narratives lead us to imagine the possibility of many events that are impossible;	さらに、創作著述は、不可能なことを可能だと思わせてしまう。
and even the most faithful histories, if they do not wholly misrepresent matters, or exaggerate their importance to render the account of them more worthy of perusal, omit, at least, almost always the meanest and least striking of the attendant circumstances;	そして、どんなに忠実な歴史でも、できごとを完全にねじまげたり、とりあげる価値を高めるためにその重要性を誇張してみたりすることだってあるし、そうでなくてもその場の状況でいちばん都合が悪かったり、あまり印象の強くなかったりするものは黙殺してしまう。
hence it happens that the remainder does not represent the truth, and that such as regulate their conduct by examples drawn from this source, are apt to fall into the extravagances of the knight-errants of romance, and to entertain projects that exceed their powers.	だから、そういう源から導かれた前例をもとに、自分の行動を律する人たちというのは騎士道物語のロマンスの派手派手しさに陥って、自分の力にあまるプロジェクトに手をだしたりするようになる。
I esteemed eloquence highly, and was in raptures with poesy;	雄弁は高く評価していたし、詩学にも夢中になった。
but I thought that both were gifts of nature rather than fruits of study.	でも、どっちも学習の成果というよりは才能の問題だと思う。
Those in whom the faculty of reason is predominant, and who most skillfully dispose their thoughts with a view to render them clear and intelligible, are always the best able to persuade others of the truth of what they lay down, though they should speak only in the language of Lower Brittany, and be wholly ignorant of the rules of rhetoric;	同僚のなかで、とっても高い理性を持っていて、自分の考えを、はっきりわかりやすい形で、上手に表現していた人たちは、自分たちの主張の正しさで他人を説得するのが上手だったけれど、かれらはlower Brittanyのことばでしか話せず、レトリックの規則にはまったく無知だった。
and those whose minds are stored with the most agreeable fancies, and who can give expression to them with the greatest embellishment and harmony, are still the best poets, though unacquainted with the art of poetry.	そして頭が心地よい空想でいっぱいで、それを見事な飾りと調和でもって表現できる人たちは、詩学のことなど何も知らなくても、やはり最高の詩人たちなのだ。
I was especially delighted with the mathematics,	数学にはなかでも夢中になった。
on account of the certitude and evidence of their reasonings;	その論理展開の確実さと実証性という点で。
but I had not as yet a precise knowledge of their true use;	でもそのころは、その真の使い方についてはっきりとは知らなかった。
and thinking that they but contributed to the advancement of the mechanical arts, I was astonished that foundations, so strong and solid, should have had no loftier superstructure reared on them.	そしてそれが、機械工学の進歩にだけ貢献すると思っていたので、これだけ強固でがっちりした基礎の上に、もっと壮大な建造物がつくられていないのには驚いた。
On the other hand, I compared the disquisitions of the ancient moralists to very towering and magnificent palaces with no better foundation than sand and mud:	その一方で、古代の道徳家たちの考察を見てみると、これは砂と泥まがいのいい加減な基礎の上に建った、そびえ立つ壮大な宮殿みたいなものだ。
they laud the virtues very highly, and exhibit them as estimable far above anything on earth;	この人たちは、美徳というのをとても賞賛して、地上のなによりもそれが気高いものだと書きたてる。
but they give us no adequate criterion of virtue, and frequently that which they designate with so fine a name is but apathy, or pride, or despair, or parricide.	でもその美徳についてのまともな評価尺度は与えてくれないし、えらく立派な名前をつけているものを見ると、ただの無気力や高慢や絶望や親殺しだったりすることがしょっちゅうある。
I revered our theology, and aspired as much as any one to reach heaven:	神学は崇拝したし、天に到達しようとしてほかのみんなと同じように努力はしてみた。
but being given assuredly to understand that the way is not less open to the most ignorant than to the most learned, and that the revealed truths which lead to heaven are above our comprehension, I did not presume to subject them to the impotency of my reason;	が、その道は、最高に教養ある者にも、まったく無知なる者にも等しく開かれていることを確実に理解するに至り、さらには天国にいたるものとして明かされた真実が、われわれの理解を越えていることがよくわかったので、それをわたしの無力な理性の対象にしようなどという気は起きなかった。
and I thought that in order competently to undertake their examination, there was need of some special help from heaven,	そういうのをちゃんと検討するには、天国からの特別な助けが必要なのだと思う。
and of being more than man.	そして、人間以上のものにならなくてはならないのだろう。
Of philosophy I will say nothing,	哲学については何も言わないでおこう。
except that when I saw that it had been cultivated for many ages by the most distinguished men, and that yet there is not a single matter within its sphere which is not still in dispute, and nothing, therefore, which is above doubt, I did not presume to anticipate that my success would be greater in it than that of others;	ただし、幾世紀にもわたって、非凡な人々によって探求されてきたというのに、いまだにその領域で議論に片が付いたものは何一つないし、だから疑問の余地のないものも何一つないというのを見ると、自分がやってもほかの人より成功する見込みがあるとは思えなかった。
and further, when I considered the number of conflicting opinions touching a single matter that may be upheld by learned men, while there can be but one true, I reckoned as well-nigh false all that was only probable.	そしてさらに、教養ある人たちが掲げるたった一つのことについて、真実は一つしかないはずなのに、矛盾する意見が山ほどあることを考えると、まあそういう意見はどれも実は正しくなんかなくて、「そういうこともあるかもしれない」程度のものでしかないんだな、と思ったわけだ。
As to the other sciences, inasmuch as these borrow their principles from philosophy, I judged that no solid superstructures could be reared on foundations so infirm;	それ以外の科学となると、みんな原理を哲学から拝借しているということから見ても、そんな貧相な基礎のうえにまともな建物が建てられるわけがないと判断した。
and neither the honor nor the gain held out by them was sufficient to determine me to their cultivation:	そしてそうした分野が掲げる名誉も富も、その道の探求を決意させるほどのものではないと思った。
for I was not, thank Heaven, in a condition which compelled me to make merchandise of science for the bettering of my fortune;	というのもありがたいことに、わたしは科学を商売にしてお金を儲けたりしなくてはならない立場ではなかったから。
and though I might not profess to scorn glory as a cynic, I yet made very slight account of that honor which I hoped to acquire only through fictitious titles.	そして名誉も、皮相的なものだなんて言わないにしても、空疎な肩書きだけから得られるような名誉なんか、大したものとは思わなかった。
And, in fine, of false sciences I thought I knew the worth sufficiently to escape being deceived by the professions of an alchemist, the predictions of an astrologer, the impostures of a magician, or by the artifices and boasting of any of those who profess to know things of which they are ignorant.	そしてインチキ科学については、じゅうぶんに値打ちがわかっていたので、錬金術師の仕事や占星術師の預言、魔術師のおどしや、知りもしないことについてきいたふうな口をきく連中の大風呂敷にだまされるようなこともなかった。
For these reasons, as soon as my age permitted me to pass from under the control of my instructors, I entirely abandoned the study of letters, and resolved no longer to seek any other science than the knowledge of myself, or of the great book of the world.	こうした理由のため、年齢があがって教師たちの配下から抜け出せるようになるがはやいか、わたしは完全に文献の学習をやめて、自分自身の知識以外や、世界という偉大な本の知識以外を求めるのはやめようと決意した。
I spent the remainder of my youth in traveling, in visiting courts and armies, in holding intercourse with men of different dispositions and ranks, in collecting varied experience,	その後の若い時期は旅行に専念し、宮廷や軍を訪ねて、いろいろな立場や地位の人たちとつきあって、さまざまな経験を集めた。
in proving myself in the different situations into which fortune threw me, and, above all, in making such reflection on the matter of my experience as to secure my improvement.	そして、運命がなげかけてくるいろいろな状況において自分の力を証明し、そして何よりも、自分の体験について考えてみることで、自分を確実に改善しようとした。
For it occurred to me that I should find much more truth in the reasonings of each individual with reference to the affairs in which he is personally interested, and the issue of which must presently punish him if he has judged amiss, than in those conducted by a man of letters in his study, regarding speculative matters that are of no practical moment, and followed by no consequences to himself, farther, perhaps, than that they foster his vanity the better the more remote they are from common sense;	というのも、現実的な力を持たず、その人自身には何の利害ももたらさない（ただし、常識ばなれしていればしているほど、虚栄心を満たす役にはたつのかもしれないけれど）、純粋に頭の中だけの事柄について、学者たちの理由づけよりは、それぞれの人が個人的に利害関心を持っていることがらや、まちがった判断を下したらすぐに罰を受けるようなことがらについて行う理由づけのほうが、ずっと多くの真理を含んでいるだろうからだ。
requiring, as they must in this case, the exercise of greater ingenuity and art to render them probable.	そういう現実の利害ある状況での理由づけのほうが、それをなるべく確実なものとするような慎重さと技を行使することが必要となる。
In addition, I had always a most earnest desire to know how to distinguish the true from the false, in order that I might be able clearly to discriminate the right path in life, and proceed in it with confidence.	さらに、わたしはいつも真実を虚偽から区別する方法を知りたいと心から思ってきたのだけれど、それは人生の正しい道をはっきりと見分けて、安心してその道を進めるようになりたいと思ったからでもある。
It is true that, while busied only in considering the manners of other men, I found here, too, scarce any ground for settled conviction, and remarked hardly less contradiction among them than in the opinions of the philosophers.	確かに、ほかの人々のふるまいを考えることにばかり専念していると、ここにもはっきりとしたconvictionの基盤はほとんどなかったし、人々の見解も矛盾するものだらけで、哲学者たちの見解の矛盾ぶりと大してかわりはなかった。
So that the greatest advantage I derived from the study consisted in this,	だからこうして行った調査の最大の成果といえばこういうことだ：
that, observing many things which, however extravagant and ridiculous to our apprehension, are yet by common consent received and approved by other great nations, I learned to entertain too decided a belief in regard to nothing of the truth of which I had been persuaded merely by example and custom;	われわれから見ればとんでもなくキテレツに見えるようなことでも、ほかの大国では常識的に受け取られて認められていることはたくさんあって、だから単に事例や習慣だからというだけでは、なにごとも真実だと思いこまないようにしようという決意を持てたのだ。
and thus I gradually extricated myself from many errors powerful enough to darken our natural intelligence, and incapacitate us in great measure from listening to reason.	こうしてわたしは、われわれの天性の知力を覆い隠し、理性にほとんど耳を傾けられなくしてしまうほど強力な多数のまちがいから、だんだん自由となっていった。
But after I had been occupied several years in thus studying the book of the world, and in essaying to gather some experience, I at length resolved to make myself an object of study, and to employ all the powers of my mind in choosing the paths I ought to follow,	でも何年かにわたって世界の本を勉強するのに専念し、そして経験を集めようと努める中で、わたしはいっしょうけんめい自分自身を観察対象にしようと決意して、自分のたどるべき道を選ぶために意識の全力を傾けようと決意した。
an undertaking which was accompanied with greater success than it would have been had I never quitted my country or my books.	これは、自分の祖国や本を捨てなかった場合にくらべて、はるかに大きな成功をもたらしてくれたのだった。
PART II	第 2 部
I was then in Germany,	そのころわたしはドイツにいた。
attracted thither by the wars in that country, which have not yet been brought to a termination;	まだ当時はドイツ国内の戦争が終わっておらず、それに惹かれたのだ。
and as I was returning to the army from the coronation of the emperor, the setting in of winter arrested me in a locality where, as I found no society to interest me, and was besides fortunately undisturbed by any cares or passions, I remained the whole day in seclusion, with full opportunity to occupy my attention with my own thoughts.	そして皇帝の戴冠から軍隊に戻ろうとしているところで、冬がやってきてある地域にとどまることになってしまったのだけれど、そこには興味を覚えるような集団もなく、また心配や劣情などにも運良くじゃまされることがなかったので、丸一日を他人と接触なしにすごせ、自分自身の思考にだけ関心を向けるまたとない機会が得られた。
Of these one of the very first that occurred to me was, that there is seldom so much perfection in works composed of many separate parts, upon which different hands had been employed, as in those completed by a single master.	そういう思考の中でまっさきに思い浮かんだのは、一人の工匠の手によって完成したものにくらべて、いろいろな手が加わった、さまざまな異なる部分からできた作品は、完成度が低いのが常だということだった。
Thus it is observable that the buildings which a single architect has planned and executed, are generally more elegant and commodious than those which several have attempted to improve, by making old walls serve for purposes for which they were not originally built.	つまり一人の建築家が計画して施工した建物のほうが、数人が改善しようとして古い壁を最初の意図とはちがった用途に使ったりしているような建物にくらべ、優雅さでも便利さでも勝っていることが多いのだ。
Thus also, those ancient cities which, from being at first only villages, have become, in course of time, large towns, are usually but ill laid out compared with the regularity constructed towns which a professional architect has freely planned on an open plain;	そしてまた、最初はほんの小さな村だったのが、時間がたつにつれて大きな町になった古い都市というのは、プロの建築家が平原に自由に計画した、規則正しく作られた町にくらべて、レイアウトがまずいのがふつうだ。
so that although the several buildings of the former may often equal or surpass in beauty those of the latter,	古い都市の建物のいくつかは、新しい都市のものに匹敵するかそれ以上の美しさを持っていることもある。
yet when one observes their indiscriminate juxtaposition, there a large one and here a small, and the consequent crookedness and irregularity of the streets, one is disposed to allege that chance rather than any human will guided by reason must have led to such an arrangement.	でも、それがいい加減に並べられて、こっちは大きくあっちは小さくという具合で、それに伴って通りも曲がったり不規則になったりしているのを見ると、こういう配置をもたらしたのは、理性に導かれた人間ではなく、偶然にちがいないと宣言するしかない。
And if we consider that nevertheless there have been at all times certain officers whose duty it was to see that private buildings contributed to public ornament, the difficulty of reaching high perfection with but the materials of others to operate on, will be readily acknowledged.	そしてそうはいっても、いつの時代にも、個々の建物が公共の美観に貢献するよう監督するのが仕事のお役人がいたことを考えると、他人の材料だけを使って高い完成度に到達するむずかしさはよくわかるだろう。
In the same way I fancied that those nations which, starting from a semi-barbarous state and advancing to civilization by slow degrees, have had their laws successively determined, and, as it were, forced upon them simply by experience of the hurtfulness of particular crimes and disputes,	同じように、半ば野蛮な国からだんだんと文明国へ進歩してきた国は、法律もだんだんに定められてきて、そのために個別の犯罪や紛争の痛みの経験からその法律が強制されるようになってきている。
would by this process come to be possessed of less perfect institutions than those which, from the commencement of their associationas communities, have followed the appointments of some wise legislator.	そういう国では、コミュニティとして発足したときから、賢い法律制定者の判断に強いたがっていたような国に比べて体制としての完成度は低いにちがいない。
It is thus quite certain that the constitution of the true religion, the ordinances of which are derived from God, must be incomparably superior to that of every other.	したがって真なる宗教のconstitution、つまり神さまから下された戒律は、その他あらゆるものとは比較にならないほど優れているはずだ。
And, to speak of human affairs, I believe that the pre-eminence of Sparta was due not to the goodness of each of its laws in particular, for many of these were very strange, and even opposed to good morals, but to the circumstance that, originated by a single individual, they all tended to a single end.	そして人間のことを語るにしても、スパルタがあれほど反映したのは個々の法が特によかったわけではなく（というのも、その多くはかなり変てこで、道徳的に反するようなものすらある）、それがすべて一人の個人によって起草されたために、同じ一つの目標に向かっていたということからくるのだと考える。
In the same way I thought that the sciences contained in books (such of them at least as are made up of probable reasonings, without demonstrations), composed as they are of the opinions of many different individuals massed together,	同じように、本に書いてある学問（少なくとも、実例に基づかずに、可能性としてありそうな理由づけだけに頼っているものも）は、いろいろ異なる人たちの意見の寄せ集めになっている。
are farther removed from truth than the simple inferences which a man of good sense using his natural and unprejudiced judgment draws respecting the matters of his experience.	だからまともな感覚の持ち主が、自然で偏見のない判断力を使い、経験を尊重しつつ導き出す簡単な洞察に比べれば、真実から遠ざかっていると思った。
And because we have all to pass through a state of infancy to manhood, and have been of necessity, for a length of time, governed by our desires and preceptors (whose dictates were frequently conflicting, while neither perhaps always counseled us for the best),	そしてわれわれみんな、子供時代から大人へと移行しなければならず、そしてかなり長いこと自分たちの欲望や教師たち（かれらの伝えることは、しょっちゅう矛盾していて、しかもわれわれに最良のものを伝えるようにはなっていなかった）の監督下にあったわけだ。
I farther concluded that it is almost impossible that our judgments can be so correct or solid as they would have been, had our reason been mature from the moment of our birth, and had we always been guided by it alone.	もしわれわれの理性が生まれたときから成熟していて、ずっとそれだけに導かれていた場合に比べて、そういう影響にさらされてきたわれわれの判断力は、正しくもなければ確固たるものでもなかろう。
It is true, however, that it is not customary to pull down all the houses of a town with the single design of rebuilding them differently, and thereby rendering the streets more handsome;	しかしながら実際問題として、単に改築して街路をきれいに引き直したいというだけで街の建物を全部取り壊すようなことはしないのがふつうだ。
but it often happens that a private individual takes down his own with the view of erecting it anew, and that people are even sometimes constrained to this when their houses are in danger of falling from age, or when the foundations are insecure.	確かに、ときどき個人が、自分の家を新築しようとして古い家を取り壊したりすることはあるし、建物が古くなってきたり、基礎にガタが出てきたりして、取り壊さざるを得ないことだってあるけれど。
