The Man Who Knew Too Much	知りすぎた男
--an underground chamber supposed to have been a chapel, recently excavated on the north bank of the Thames, and containing literally nothing whatever but one old silver coin.	――最近テムズ川の北岸で発掘された元教会らしき地下室に、ただの古い銀貨にしか見えないものが一枚保管されていた。
But the coin, to those who knew, was more solitary and splendid than the Koh-i-noor.	だが関係者によるとその貨幣は、コーイヌールよりも孤高で高貴なのだという。
It was Roman, and was said to bear the head of St. Paul;	ローマ産で聖パウロの頭にいだかれていたと言われ、
and round it raged the most vital controversies about the ancient British Church.	往古の英教会をめぐる活発な論争を巻き起こした。
It could hardly be denied, however, that the controversies left Summers Minor comparatively cold.	だがそれもサマーズ・マイナーにとってどこ吹く風なのは否定できない。
Indeed, the things that interested Summers Minor, and the things that did not interest him, had mystified and amused his uncle for several hours.	サマーズ・マイナーの気を惹いたにせよ惹かぬにせよ、その興味のあれやこれやに叔父はしばらくのあいだ面食らいつつも楽しんだ。
He exhibited the English schoolboy's startling ignorance and startling knowledge	イギリス学童の驚くべき無知と博識の見本市だ
--knowledge of some special classification in which he can generally correct and confound his elders.	――大人に向かってよく間違いを指摘したり、まごつかせたり、といったタイプの専門知識である。
He consdered himself entitled, at Hampton Court on a holiday, to forget the very names of Cardinal Wolsey or William of Orange;	休日のハンプトン・コートでは、ほかならぬウルジー枢機卿やオレンジ公ウィリアムの名前など忘れたっていいと考えていたくせに、
but he could hardly be dragged from some details about the arrangement of the electric bells in the neighboring hotel.	隣のホテルの電動ベル装置の構造には釘付けだった。
He was solidly dazed by Westminster Abbey,	ウェストミンスター寺院には面食らった。
which is not so unnatural since that church became the lumber room of the larger and less successful statuary of the eighteenth century.	教会が、大きいだけの失敗作みたいな十八世紀の彫像の物置と化していたのだから当然といわねばなるまい。
But he had a magic and minute knowledge of the Westminster omnibuses, and indeed of the whole omnibus system of London, the colors and numbers of which he knew as a herald knows heraldry.	だがウェストミンスターのバスのことなら驚くほど細かいことまで詳しかったし、紋章官が紋章を知ってるみたいにロンドン中のバスのことなら色も番号も知っていた。
He would cry out against a momentary confusion between a light-green Paddington and a dark-green Bayswater vehicle, as his uncle would at the identification of a Greek ikon and a Roman image.	薄緑色のパディントン行きと深緑色のベイズウォーター行きの車両を一瞬取り違えてわめくさまといったら、まるで叔父がギリシャのイコンとローマの彫像を鑑定してわめいているごときである。
"Do you collect omnibuses like stamps?"	「切手みたいにバスを集めているのか？
"They must need a rather large album.	かなり大きなアルバムがいるだろうに。
Or do you keep them in your locker?"	それともロッカーにしまっておくのか？」
"I keep them in my head,"	「頭の中にしまっておくんだ」
replied the nephew, with legitimate firmness.	甥は当然のように言い切った。
"It does you credit, I admit,"	「そういうことにしておこう。
"I suppose it were vain to ask for what purpose you have learned that out of a thousand things.	いろんなものがあるだろうに、どうしてそんなものを覚えたのか訊いても無駄だろうな。
There hardly seems to be a career in it, unless you could be permanently on the pavement to prevent old ladies getting into the wrong bus.	おばあさんがバスを乗り間違えないように道に立ち続けているつもりでもなければ、仕事にはならないと思うんだがな。
Well, we must get out of this one, for this is our place.	ああ、ここだ、ここで降りねば。
I want to show you what they call St. Paul's Penny."	聖パウロ《セント・ポール》の白銅貨というやつを見せたいんだ」
"Is it like St. Paul's Cathedral?"	「それはセントポール寺院みたいなものですか？」
asked the youth with resignation, as they alighted.	バスから降りるとあきらめて、若者は尋ねた。
At the entrance their eyes were arrested	入り口で二人の目は釘付けになった。
by a singular figure evidently hovering there with a similar anxiety to enter.	同じようにおそるおそる中に入ろうとうろついている不思議な人物がいたのだ。
It was that of a dark, thin man in a long black robe rather like a cassock;	色黒で痩せていて、長い黒服は僧服に似ているが、
but the black cap on his head was of too strange a shape to be a biretta.	頭にかぶった帽子は宝冠みたいにヘンテコな形をしていた。
It suggested, rather, some archaic headdress of Persia or Babylon.	どこかペルシアやバビロンの古いかぶりものを連想させる。
He had a curious black beard appearing only at the corners of his chin, and his large eyes were oddly set in his face like the flat decorative eyes painted in old Egyptian profiles.	顎の先っぽだけに奇妙な黒い髭を生やしていて、顔には古代エジプトの壁画みたいな平たく大きな目がくっついている。
Before they had gathered more than a general impression of him, he had dived into the doorway that was their own destination.	男は二人の目的地であるドアの向こうへと飛び込んでいったので、受けた印象はそれだけだった。
Nothing could be seen above ground of the sunken sanctuary except a strong wooden hut, of the sort recently run up for many military and official purposes,	その地下の聖域の上には、軍人や役人のため最近急造したらしいがっしりとした木の小屋しかない。
the wooden floor of which was indeed a mere platform over the excavated cavity below.	木の床は、穴の上を覆う板にすぎないと言ってよかった。
A soldier stood as a sentry outside, and a superior soldier, an Anglo-Indian officer of distinction, sat writing at the desk inside.	兵士がひとり外で歩哨のように立っていて、上等兵たるインド帰りの特別将校は中で机に座り書き物をしていた。
Indeed, the sightseers soon found that this particular sight was surrounded with the most extraordinary precautions.	この特別警戒態勢には、観光客たちもすぐに気が付いた。
I have compared the silver coin to the Koh-i-noor, and in one sense it was even conventionally comparable, since by a historical accident it was at one time almost counted among the Crown jewels, or at least the Crown relics, until one of the royal princes publicly restored it to the shrine to which it was supposed to belong.	大公家の人物が元来の所有者たる寺院に公式に返還するまでは、王冠用の宝石や飾りほどに数えられていたという歴史的事実を考えれば、コーイヌールと引き比べたのは、ある意味月並みな比較であった。
Other causes combined to concentrate official vigilance upon it;	政府が警戒を高める原因はほかにもある。
there had been a scare about spies carrying explosives in small objects,	スパイが身の回り品に爆弾を仕掛けて運び込むという恐怖感だ。
and one of those experimental orders which pass like waves over bureaucracy had decreed first that all visitors should change their clothes for a sort of official sackcloth,	官僚主義の世渡りから真っ先に出された命令というのが、訪問者はまず当局の用意した懺悔服みたいな衣服に着替えるというものだった。
and then (when this method caused some murmurs) that they should at least turn out their pockets.	第二に（このやり方に不平の声が挙がったときは）最低でもポケットをひっくり返さなければならない。
Colonel Morris, the officer in charge, was a short, active man with a grim and leathery face, but a lively and humorous eye	担当官のモリス大佐は背の低い元気な男で、顔は厳格で堅苦しいが、陽気でとぼけた目をしていた
--a contradiction borne out by his conduct,	――大佐の振る舞いは矛盾していた。
for he at once derided the safeguards and yet insisted on them.	防犯手段を即座に笑い飛ばしたにもかかわらず支持してもいたのだ。
"I don't care a button myself for Paul's Penny, or such things,"	「おれはパウロの白銅貨だとかいうものは何とも思っちゃいない」
he admitted in answer to some antiquarian openings from the clergyman who was slightly acquainted with him,	顔見知りの牧師からの好古家らしいあいさつに答えてそう言った。
"but I wear the King's coat, you know, and it's a serious thing when the King's uncle leaves a thing here with his own hands under my charge.	「だが制服を着ているんでね、王様のおじさんが御自らおれのところに預けていくというのは深刻なことだ。
But as for saints and relics and things, I fear I'm a bit of a Voltairian;	だが聖人とか遺物とかそういうものに対しては、少しヴォルテール主義者なのかな、
what you would call a skeptic."	懐疑家とかいうやつだよ」
"I'm not sure it's even skeptical to believe in the royal family and not in the 'Holy' Family,"	「王家には懐疑的だが聖家族を疑う気にはなれないな」
replied Mr. Twyford.	トワイフォード氏が答えた。
"But, of course, I can easily empty my pockets, to show I don't carry a bomb."	「だがもちろん、爆弾なんか持ってやしないのを見せるのにポケットを空にするのは簡単なことさ」
The little heap of the parson's possessions which he left on the table consisted chiefly of papers, over and above a pipe and a tobacco pouch and some Roman and Saxon coins.	机の上にできた牧師の所持品のかたまりは、ほとんどが書類で、ほかにはパイプや煙草入れ、ローマやザクセンの貨幣が数枚ある。
The rest were catalogues of old books, and pamphlets, like one entitled "The Use of Sarum," one glance at which was sufficient both for the colonel and the schoolboy.	残りは古本の目録や『ソールズベリー用法典』のような小冊子で、大佐と少年は一瞥しただけだった。
They could not see the use of Sarum at all.	ソールズベリーの用法なんて見たこともない。
The contents of the boy's pockets naturally made a larger heap,	少年のポケットの中身は当然もっと大きな山になった。
and included marbles, a ball of string, an electric torch, a magnet, a small catapult, and, of course, a large pocketknife, almost to be described as a small tool box,	ビー玉、糸玉、懐中電灯、磁石、ちっちゃなパチンコ、そしてもちろん、大きな折りたたみナイフ、まるで小さな道具箱の中身を列挙しているみたいだ。
a complex apparatus on which he seemed disposed to linger,	夢中になっているらしき複雑な器具もある。
pointing out that it included a pair of nippers, a tool for punching holes in wood, and, above all, an instrument for taking stones out of a horse's hoof.	ニッパー、木に穴を開けるための道具、そして馬の蹄から石を取り除く道具など。
The comparative absence of any horse he appeared to regard as irrelevant, as if it were a mere appendage easily supplied.	馬があまりいないことなど関係ないようで、そんなものはすぐに手に入るおまけにすぎないみたいだ。
But when the turn came of the gentleman in the black gown, he did not turn out his pockets, but merely spread out his hands.	だが黒衣の紳士は自分の番になっても、ポケットから何も出さず、ただ手を広げただけだった。
"I have no possessions,"	「何も持ってない」
"I'm afraid I must ask you to empty your pockets and make sure,"	「恐れ入りますが、ポケットが空か確認しなくちゃならんのです」
observed the colonel, gruffly.	大佐はぶっきらぼうに言った。
"I have no pockets,"	「ポケットがないんだ」
said the stranger.	訪問者が答えた。
Mr. Twyford was looking at the long black gown with a learned eye.	トワイフォード氏は学問的な目つきで裾の長い黒衣を見ていたが、困惑した様子でたずねた。
"Are you a monk?"	「あなたは修道士ですか？」
"I am a magus,"	「占星術師《マギ》です。
"You have heard of the magi, perhaps?	三博士《マギ》のことをお聞きになったことがあるかと思いますが？
I am a magician."	魔術師ですよ」
"Oh, I say!"	「えっ、そうなんですか！」
exclaimed Summers Minor, with prominent eyes.	サマーズ・マイナーが目をむいて叫んだ。
"But I was once a monk,"	「わたしもかつては修道士でした」
went on the other.	相手は続けた。
"I am what you would call an escaped monk.	「転向僧というやつですよ。
Yes, I have escaped into eternity.	ええ、永久に逃げ出しましたとも。
But the monks held one truth at least,	だが修道院にもひとつの真実がありました。
that the highest life should be without possessions.	高尚な生き方とは何も持たぬことです。
I have no pocket money and no pockets,	お金もポケットも。
and all the stars are my trinkets."	星がわたしの装身具です」
"They are out of reach, anyhow,"	「どんなことをしたって手が届かないでしょうに」
observed Colonel Morris, in a tone which suggested that it was well for them.	星にとってはその方がいいといった調子でモリス大佐が言った。
"I've known a good many magicians myself in India	「インドにはたくさんの魔術師がいた
--mango plant and all.	――あとはマンゴーの木だけ。
But the Indian ones are all frauds, I'll swear.	だがみんなインチキだった、ほんとだとも。
In fact, I had a good deal of fun showing them up.	実はそれを暴くのが楽しみでね。
More fun than I have over this dreary job, anyhow.	とにかく、こんな退屈な仕事より何倍も楽しかった。
But here comes Mr. Symon, who will show you over the old cellar downstairs."	だがサイモンさんがやって来た、階下《した》の古い地下室まで案内してくれますよ」
Mr. Symon, the official guardian and guide, was a young man, prematurely gray, with a grave mouth	当局の管理人兼案内人のサイモン氏は、若いが白髪で、ワックスで尖らせた短く黒い口ひげをはやしていた。
which contrasted curiously with a very small, dark mustache with waxed points, that seemed somehow, separate from it, as if a black fly had settled on his face.	顔に止まった黒い蠅みたいになんだかそこだけ浮いていたが、重々しい口元と奇妙な対比を見せている。
He spoke with the accent of Oxford and the permanent official, but in as dead a fashion as the most indifferent hired guide.	事務官みたいな気取った口調でしゃべったが、たいていの雇われガイド同様、死んだように無気力だ。
They descended a dark stone staircase, at the floor of which Symon pressed a button and a door opened on a dark room,	暗い石の階段を降りてサイモンがボタンを押すと、暗い室内のなかへと扉が開かれた。
or, rather, a room which had an instant before been dark.	というか、直前まで暗かった部屋のなかへと。
For almost as the heavy iron door swung open an almost blinding blaze of electric lights filled the whole interior.	重い鉄の扉が開くと、目もくらむ電灯の光が室内を満たしたのだ。
The fitful enthusiasm of Stinks at once caught fire, and he eagerly asked if the lights and the door worked together.	スティンクスの熱狂に火がついて、電灯とドアが連動しているのかと熱心にたずねた。
"Yes, it's all one system,"	「そう、みんなひとつのシステムだよ」
replied Symon.	サイモンが答えた。
"It was all fitted up for the day His Royal Highness deposited the thing here.	「殿下がお預けになった日のために設置したんだ。
You see, it's locked up behind a glass case exactly as he left it."	殿下はあれを置いていかれると、ガラスケースの後ろを厳重に施錠した」
A glance showed that the arrangements for guarding the treasure were indeed as strong as they were simple.	一瞥したところ、宝物を守る装置は呆れるくらいの強力さだ。
A single pane of glass cut off one corner of the room, in an iron framework let into the rock wallsand the wooden roof above;	壁に埋め込んだ鉄の枠と木製の屋根に嵌め込まれたガラスの板で仕切られた一角がある。
there was now no possibility of reopening the case without elaborate labor, except by breaking the glass,	ガラスを割らずにケースを開けるのは不可能に思える。
which would probably arouse the night watchman who was always within a few feet of it, even if he had fallen asleep.	割れば、たとえ睡眠中でも近くにいる警備員が気付くだろう。
A close examination would have showed many more ingenious safeguards;	とことん調べてみた結果、防犯対策は万全のようだ。
but the eye of the Rev. Thomas Twyford, at least, was already riveted on what interested him much more	とは言ってもトーマス・トワイフォード牧師の目はすでに、さらに興味深いものに釘付けだった
--the dull silver disk which shone in the white light against a plain background of black velvet.	――黒いビロードを背景に、鈍い銀色の円盤が白い光に輝いていた。
"St. Paul's Penny,	「聖パウロの白銅貨です。
said to commemorate the visit of St. Paul to Britain,	聖パウロのイギリス訪問を記念して作られたと言われています。
was probably preserved in this chapel until the eighth century,"	おそらく八世紀まではこの教会に保存されていました」
Symon was saying in his clear but colorless voice.	サイモンがよく通るが無気力な声で言った。
"In the ninth century it is supposed to have been carried away by the barbarians,	「九世紀になって、異民族に奪われたとされています。
and it reappears, after the conversion of the northern Goths, in the possession of the royal family of Gothland.	北ゴートによる改宗後、再び我々のもとに姿を現しました。
His Royal Highness, the Duke of Gothland, retained it always in his own private custody,	ゴートの王室が所有していましたが、大公は誰にも見せなかったと言います。
and when he decided to exhibit it to the public, placed it here with his own hand.	公開する決意を固めたとき、大公殿下自身の手でここに置かれたのでした。
It was immediately sealed up in such a manner--"	直ちにこうして封印され――」
Unluckily at this point Summers Minor, whose attention had somewhat strayed from the religious wars of the ninth century, caught sight of a short length of wire appearing in a broken patch in the wall.	不幸にもこの時、サマーズ・マイナーの興味は九世紀の宗教戦争からややはずれ、壁の破れ目から覗く短い線を発見した。
He precipitated himself at it, calling out,	マイナーは夢中になって叫んだ。
"I say, say, does that connect?"	「ねえ、ちょっと、これはつながってるの？」
It was evident that it did connect,	確かにつながっていた。
for no sooner had the boy given it a twitch than the whole room went black,	少年が線を引っ張るのと部屋中が真っ暗になったのはほぼ同時だった。
as if they had all been struck blind,	まるで目が見えなくなったようだ。
and an instant afterward they heard the dull crash of the closing door.	それからすぐに、ドアが閉まる鈍い音が聞こえた。
"Well, you've done it now,"	「ああ、やっちゃったな」
said Symon, in his tranquil fashion.	静かにサイモンはそう言うと、
Then after a pause he added,	一拍おいて付け加えた。
"I suppose they'll miss us sooner or later,	「遅かれ早かれ僕らがいないことに気付くだろう。
and no doubt they can get it open;	そしたら開けてくれるさ。
but it may take some little time."	ちょっと時間がかかるかもしれないが」
There was a silence, and then the unconquerable Stinks observed:	誰もが無言だったが、不屈のスティンクスが口を開いた。
"Rotten that I had to leave my electric torch."	「ひどいな、懐中電灯は置いてきちゃった」
"I think,"	叔父が遠慮がちに答えた。
said his uncle, with restraint,	「電灯に対するおまえの興味はよくわかったよ」
Then after a pause he remarked, more amiably:	それから愛想よくこう認めた。
"I suppose if I regretted any of my own impedimenta, it would be the pipe.	「パイプのことなら、悔しいとは思うけれどな。
Though, as a matter of fact, it's not much fun smoking in the dark.	だが実際問題、暗闇でたばこを喫うのはあまり好きじゃない。
Everything seems different in the dark."	暗いと何もかもが違って見えるよ」
"Everything is different in the dark,"	「暗闇の中では何もかもが違っているんです」
said a third voice,	第三の声が聞こえた。
that of the man who called himself a magician.	自称魔術師のものだ。
It was a very musical voice, and rather in contrast with his sinister and swarthy visage,	不吉な黒ずくめの見かけとは対照的な、響きのいい声だった。
which was now invisible.	その黒ずくめも今は見えない。
"Perhaps you don't know how terrible a truth that is.	「それがどれほど恐ろしい真理なのか知らぬでしょう。
All you see are pictures made by the sun,	目に映るあらゆるものは、太陽が作り出した絵です。
faces and furniture and flowers and trees.	顔も、家具も、花も、木も。
The things themselves may be quite strange to you.	実は見も知らぬものなのかもしれない。
Something else may be standing now where you saw a table or a chair.	テーブルや椅子のあった場所に、今は別のものが立っているかもしれない。
The face of your friend may be quite different in the dark."	友人も暗闇では別の顔をしているかもしれません」
A short, indescribable noise broke the stillness.	ただならぬ悲鳴が平穏を破り、
Twyford started for a second, and then said, sharply:	トワイフォードは一瞬ぎくりとしたが、すぐに声を出した。
"Really, I don't think it's a suitable occasion for trying to frighten a child."	「おやおや、子供を怖がらせるのにふさわしい状況とは言えないな」
"Who's a child?"	「誰が子供ですって？」
cried the indignant Summers,	サマーズが憤慨して叫んだ。
with a voice that had a crow, but also something of a crack in it.	文句ありげではあるがうわずったところもある。
"And who's a funk, either?	「怖がってるのはどっちですか？
Not me."	ぼくじゃないですよ」
"I will be silent, then,"	「そういうことなら静かにしていましょう」
said the other voice out of the darkness.	暗闇の中から別の声が言った。
"But silence also makes and unmakes."	「だが静けさもまた千変万化します」
The required silence remained unbroken for a long time until at last the clergyman said to Symon in a low voice:	提案通り静寂が続いたが、ついに牧師が低い声でサイモンに尋ねた。
"I suppose it's all right about air?"	「換気は大丈夫かな？」
"Oh, yes,"	「ええ」
replied the other aloud;	大声が答える。
"there's a fireplace and a chimney in the office just by the door."	「ドアの脇の事務室に暖炉と煙突があります」
A bound and the noise of a falling chair told them that the irrepressible rising generation had once more thrown itself across the room.	倒れた椅子が弾む音で、こらえきれない少年が部屋を突っ切ったのがわかった。
They heard the ejaculation:	みな叫びに耳を傾けた。
"A chimney!	「煙突！
Why, I'll be--"	ぼくは――」
and the rest was lost in muffled, but exultant, cries.	後は夢中のつぶやき、勝ち誇った喚き。
The uncle called repeatedly and vainly, groped his way at last to the opening, and, peering up it, caught a glimpse of a disk of daylight,	叔父は辛抱強く繰り返し呼びかけて、とうとう暖炉口まで手探りでたどり着くと中を覗き、丸くかたどられた光を見つけた。
which seemed to suggest that the fugitive had vanished in safety.	どうやら無事逃げ出せたらしい。
Making his way back to the group by the glass case, he fell over the fallen chair and took a moment to collect himself again.	陳列ケース近くまで戻ろうとして倒れた椅子に蹴つまずき、何とか体勢を立て直す。
He had opened his mouth to speak to Symon, when he stopped, and suddenly found himself blinking in the full shock of the white light,	サイモンに声をかけようと口を開けたとき、白い光の輝きが満ちているのに気付き立ち止まった。
and looking over the other man's shoulder, he saw that the door was standing open.	魔術師の肩越しに、ドアが開いているのが見えた。
"So they've got at us at last,"	「やっと到着というわけか」
he observed to Symon.	サイモンがつぶやいた。
The man in the black robe was leaning against the wall some yards away, with a smile carved on his face.	黒衣の男は少し離れた壁にもたれかかり、薄い笑みを浮かべていた。
"Here comes Colonel Morris,"	「モリス大佐がやって来る」
went on Twyford, still speaking to Symon.	トワイフォードはそのままサイモンに話しかけた。
"One of us will have to tell him how the light went out.	「我々のどちらかが、明かりの消えたわけを言わねばな。
Will you?"	そうだろ？」
But Symon still said nothing.	だがサイモンは何も言わなかった。
He was standing as still as a statue, and looking steadily at the black velvet behind the glass screen.	銅像みたいに押し黙ったまま、ガラスケースの中の黒いビロードから目を離さなかった。
He was looking at the black velvet	黒いビロードを見ていたのだ。
because there was nothing else to look at.	なにしろほかには何もなかったのだから。
St. Paul's Penny was gone.	聖パウロの白銅貨は消えていた。
Colonel Morris entered the room with two new visitors;	モリス大佐は新たな訪問者二人とともに部屋に入ってきた。
presumably two new sightseers delayed by the accident.	うっかり遅れてやって来た観光客らしい。
The foremost was a tall, fair, rather languid-looking man with a bald brow and a high-bridged nose;	第一の人物は背が高く金髪で、薄い眉と高い鼻をしていた。
his companion was a younger man with light, curly hair and frank, and even innocent, eyes.	明るい巻き毛の連れの若者は、率直で純真そうな目をしている。
Symon scarcely seemed to hear the newcomers;	サイモンには彼らがやってきたのも聞こえなかったようだ。
it seemed almost as if he had not realized that the return of the light revealed his brooding attitude.	明るくなっても思案顔に気付かれないとでも思っているみたいだ。
Then he started in a guilty fashion, and when he saw the elder of the two strangers, his pale face seemed to turn a shade paler.	やがて面目なさそうな様子になったが、年長の訪問者を見た途端に、青ざめた顔がますます青ざめたように見えた。
"Why it's Horne Fisher!"	「ホーン・フィッシャー！」
and then after a pause he said in a low voice,	絶句したのち、低い声でそういった。
"I'm in the devil of a hole, Fisher."	「まいったよ、フィッシャー」
"There does seem a bit of a mystery to be cleared up,"	「どうやら解決すべき謎がありそうですね」
observed the gentleman so addressed.	呼びかけられた紳士がそう答えた。
"It will never be cleared up,"	「絶対に解決できないさ」
said the pale Symon.	顔面蒼白のサイモンが言った。
"If anybody could clear it up, you could.	「解決できるとしたら、あんただろうけど。
But nobody could."	でも無理だよ」
"I rather think I could,"	「私ならできそうです」
said another voice from outside the group,	別のところから声がした。
and they turned in surprise to realize that the man in the black robe had spoken again.	黒衣の男が話しているのだと気付いて驚いて振り向いた。
"You!"	「あなたが！」
said the colonel, sharply.	大佐が厳しく言った。
"And how do you propose to play the detective?"	「それでどうやって捜査するつもりです？」
"I do not propose to play the detective,"	「捜査するつもりはありません」
answered the other, in a clear voice like a bell.	鈴のように透き通る声で相手は答えた。
"I propose to play the magician.	「魔術を使うつもりです。
One of the magicians you show up in India, Colonel."	インドであなたが見たようにね、大佐」
No one spoke for a moment, and then Horne Fisher surprised everybody by saying,	誰もが無言のままだったが、ホーン・フィッシャーがこう言って皆を驚かせた。
"Well, let's go upstairs,	「さあ、上に行きましょう。
and this gentleman can have a try."	こちらの紳士のお手並み拝見です」
He stopped Symon, who had an automatic finger on the button, saying:	サイモンが無意識にスイッチに指を伸ばすのを押しとどめ、フィッシャーは言った。
"No, leave all the lights on.	「だめです、明かりはすべてつけっぱなしにしておきましょう。
It's a sort of safeguard."	一種の防犯装置です」
"The thing can't be taken away now,"	「盗られるものなんかないよ」
said Symon, bitterly.	サイモンは手厳しい。
"It can be put back,"	「戻されるんですよ」
replied Fisher.	フィッシャーは答えた。
Twyford had already run upstairs for news of his vanishing nephew, and he received news of him in a way that at once puzzled and reassured him.	消えた甥を探してすでに上に行っていたトワイフォードには、困惑しつつも一安心するような報せが待っていた。
On the floor above lay one of those large paper darts which boys throw at each other when the schoolmaster is out of the room.	男の子たちが教師のいぬ間に投げ合うような大きな紙つぶてが床に落ちていた。
It had evidently been thrown in at the window, and on being unfolded displayed a scrawl of bad handwriting which ran:	どうやら窓から投げ入れられたもので、広げてみると汚い手書きのメモが現れた。
"Dear Uncle;	「おじさん、
I am all right.	心配しないで。
Meet you at the hotel later on,"	あとでホテルで会いましょう」
and then the signature.	結びにサインがあった。
Insensibly comforted by this, the clergyman found his thoughts reverting voluntarily to his favorite relic,	これで多少は安心し、牧師の思いは自然と愛すべき遺物のほうへと戻っていった。
which came a good second in his sympathies to his favorite nephew,	愛すべき甥に対する思いやりに負けないくらいの愛しさだ。
and before he knew where he was he found himself encircled by the group discussing its loss, and more or less carried away on the current of their excitement.	我に返る前から、周りでは紛失について議論している真っ直中だというのは気がついていて、多少は興奮の波にさらわれた。
But an undercurrent of query continued to run in his mind,	だが底流にある疑問は心を流れ続けていた。
as to what had really happened to the boy, and what was the boy's exact definition of being all right.	いったい何が少年に起こったのか、何が少年の身の安全を保証しているのか。
Meanwhile Horne Fisher had considerably puzzled everybody with his new tone and attitude.	そのころホーン・フィッシャーは調子も態度も一変し、皆を戸惑わせていた。
He had talked to the colonel about the military and mechanical arrangements, and displayed a remarkable knowledge both of the details of discipline and the technicalities of electricity.	軍隊と機械装置について大佐と話して、細かい規律と電気学の専門語のどちらにおいても驚くべき博識を披露した。
He had talked to the clergyman, and shown an equally surprising knowledge of the religious and historical interests involved in the relic. He had talked to the man who called himself a magician, and not only surprised but scandalized the company by an equally sympathetic familiarity with the most fantastic forms of Oriental occultism and psychic experiment.	宗教でも歴史的な聖遺物の趣味でも牧師と対等に話をしたし、自称魔術師と話をすれば、東洋神秘学と精神実験の幻想的な様式に共鳴して、一行を驚かせ、また呆れさせた。
And in this last and least respectable line of inquiry he was evidently prepared to go farthest;	この最後のまともじゃないやりとりにおいては、どうもとことん突き詰める準備があるようで、
he openly encouraged the magician, and was plainly prepared to follow the wildest ways of investigation in which that magus might lead him.	魔術師をおおっぴらに激励し、どう見たって導師のいかれた調査についてゆく準備をしていた。
"How would you begin now?"	「それで、どうやって始めますか？」
he inquired, with an anxious politeness that reduced the colonel to a congestion of rage.	大佐の堪忍袋をゆるめようと気を遣って馬鹿丁寧に尋ねる。
"It is all a question of a force;	「力の問題です。
of establishing communications for a force,"	力の伝達を確立しなければ」
replied that adept, affably, ignoring some military mutterings about the police force.	捜査力についての大佐の不平は無視して、愛想よく師は答えた。
