The Tell-Tale Heart	暴露させる心臓
and thus rid myself of the eye  forever.	そうすれば永久にあの眼から逃れられるのですから。
Now this is the point.	さて、ここが肝心なところでございます。
You fancy me mad.	あなた様は私が狂人だと思っていらっしゃる。、
Madmen know nothing.	狂った人間なら何もわかりはしないでしょう。
But you should have seen me.	そうお思いなら、私を見ていただけばよかったのです。
You should have seen how wisely I proceeded - with what caution - with what foresight - with what dissimulation I went to work!	私がどれほど賢く立ち回ったか、用心には用心を重ね、先の先まで考えて、老人に気づかれぬようどんなにさりげない風を装って行動したか、見てくださればよかったのです。
I was never kinder to the old man than during the whole week before I killed him.	あの老人を殺すまでの一週間ときたら、私はこれ以上ないくらい老人に優しく接しました。
And every night, about midnight, I turned the latch of his door and opened it	そうして毎晩、真夜中頃になると、老人のいる部屋の扉の掛け金をはずして開けたのです。
- oh so gently!	そおーっとゆっくり静かに、
And then, when I had made an opening sufficient for my head, I put in a dark lantern, all closed, closed, that no light shone out, and then I thrust in my head.	私の頭が差し込めるくらい開けて、一筋の光も漏れないようにすっぽりと全体に覆いを掛けた真っ暗なカンテラを差し入れて、それから自分の頭を中に入れました。
Oh, you would have laughed to see how cunningly I thrust it in!	きっとこれをご覧になったら、なんて上手い具合に頭をいれたんだ！とお笑いになるはずですよ。
I moved it slowly - very, very slowly,	私は自分の頭をゆっくりと、それはそれはゆっくりと動かしました。
so that I might not disturb the old man's sleep.	ですから間違っても老人の眠りを妨げるようなことはなかったと思います。
It took me an hour to place my whole head within the opening so far that I could see him as he lay upon his bed.	扉の隙間から寝台で眠っている老人の姿が見えるくらいまで自分の頭をいれるのに、一時間もかけました。
Ha!	どうです！
would a madman have been so wise as this,	狂人にこんな賢いまねはできないでしょう。
And then, when my head was well in the room, I undid the lantern cautiously	そうして、首から上だけ部屋の中に入れてから、ランタンの覆いをそろそろと外しました。
-oh, so cautiously - cautiously	本当にゆっくりと慎重に外しました。
(for the hinges creaked)	(ランタンの要が軋むものですから)。
- I undid it just so much that a single thin ray fell upon the vulture eye.	細い一条の光の筋が禿鷲のような目の上にかかるまでランタンの覆いを開けました。
And this I did for seven long nights - every night just at midnight - but I found the eye always closed;	私はこんな事を七晩も続けて、それも毎晩、きっかり深夜の１２時に、でも自分の目はいつもしっかり閉じておりました。
and so it was impossible to do the work;	ですからそんなにすんなりとは事が運ばなかったのです。
for it was not the old man who vexed me, but his Evil Eye.	私を苦しめたのは老人ではなく、あの身の毛のよだつ目なのでございますから。
And every morning, when the day broke, I went boldly into the chamber, and spoke courageously to him, calling him by name in a hearty tone, and inquiring how he has passed the night.	というわけで、毎朝、夜が明けますと、思いきって老人の寝所へ入っていき、優しい声で老人の名を呼び、昨晩はよくお休みになれましたかとあえて聞いてみたのです。
So you see he would have been a very profound old man, indeed, to suspect that every night, just at twelve, I looked in upon him while he slept.	私が深夜の１２時に、老人の寝姿をのぞいていたのではないかなどと疑っているようなら、かなり感の鋭い老人ということになりましょうが。
Upon the eighth night I was more than usually cautious in opening the door.	８日目の晩、いつにも増して慎重に寝所の扉を開けました。
A watch's minute hand moves more quickly than did mine.	私の動きに比べたら、時計の長針のほうがもっと速く動いたはずです。
Never before that night had I felt the extent of my own powers - of my sagacity.	この晩ほど、自分の能力のすごさ、自分は何て賢いのだと思ったことはございません。
I could scarcely contain my feelings of triumph.	勝ち誇った気持ちを抑えきることができないくらいでした。
To think that there I was, opening the door, little by little, and he not even to dream of my secret deeds or thoughts.	私が老人の寝所にいて扉を少しずつ少しずつ開けているということ、私の密かな行いも考えも老人は夢にも思っていないのでございます。
I fairly chuckled at the idea;	こういうことを思って一人でほくそ笑んでおりました。
and perhaps he heard me;	でも、笑い声が聞こえたのでしょうか。
for he moved on the bed suddenly, as if startled.	老人がびっくりしたように急に寝返りをうったのです。
Now you may think that I drew back	私が後じさりしたのだろうとお思いでしょうか。
- but no.	いいえ、とんでもございません。
His room was as black as pitch with the thick darkness,	老人の寝所は漆黒の闇、真っ暗なのでございます。
(for the shutters were close fastened, through fear of robbers,)	（窓は盗人に入られることを心配して、よろい戸でしっかりと塞いであります）。
and so I knew that he could not see the opening of the door, and I kept pushing it on steadily, steadily.	ですから扉が開いているのを老人に気づかれるわけはないと思い、あわてないようじわじわと扉を押し続けました。
I had my head in, and was about to open the lantern, when my thumb slipped upon the tin fastening, and the old man sprang up in bed, crying out - "Who's there?"	頭だけ中に入れてランタンの覆いを外そうとしたとき、ブリキの留め金の上で手がすべってしまい、と、その時、老人が起きあがって「誰だ」と怒鳴ったのです。
I kept quite still and said nothing.	私は物音をたてないようにじっとして声も出しませんでした。
For a whole hour I did not move a muscle, and in the meantime I did not hear him lie down.	ゆうに一時間もの間、筋肉ひとつ動かさずにおりましたが、老人が寝床に身を横たえる音も聞こえてきませんでした。
He was still sitting up in the bed listening;	耳をすまして、ずっと身体を起こしていたのです。
- just as I have done, night after night, hearkening to the death watches in the wall.	ちょうど私のしていることと同じように、夜ごと夜ごと、壁の中の死番虫の立てる音に耳を傾けていたのでございます。
Presently I heard a slight groan,	そのうちに、微かなうめき声が聞こえてきました。
and I knew it was the groan of mortal terror.	その声は死に対する恐怖からでたうめき声だということがわかりました。
It was not a groan of pain or of grief - oh, no!-	苦痛や苦悩でうめく声ではございません。
it was the low stifled sound that arises from the bottom of the soul when overcharged with awe.	恐れが限界を超えたとき、魂の奥底からわき上がってくる息を押し殺したような低いうめき声です。
I knew the sound well.	私はこの声をよく耳にします。
Many a night, just at midnight, when all the world slept, it has welled up from my own bosom, deepening, with its dreadful echo, the terrors that distracted me.	それは私の胸の内から沸き上がってきて、恐怖が恐怖を生み、半狂乱になりそうな恐ろしさを募らせていくのです。
I say I knew it well.	私がよく聞く声なのです。
I knew what the old man felt,	そして、老人が何を思っているかもわかっておりました。
and pitied him, although I chuckled at heart.	私は内心では面白がっていたものの、老人に憐れみを感じていました。
I knew that he had been lying awake ever since the first slight noise, when he had turned in the bed.	最初に微かな物音を耳にして、床の中で寝返りをうってからというもの、ずっと眠れずにいたようでございます。
His fears had been ever since growing upon him.	それ以来、恐怖心がどんどん大きくなってきたのでしょう。
He had been trying to fancy them causeless, but could not.	偶然のいたずらだと考えようとしたのでしょうが、できないのです。
He had been saying to himself -	それで自分にこう言い聞かせているのです。
"It is nothing but the wind in the chimney	「今の音は暖炉の煙突に風が吹き込んだだけだ。
- it is only a mouse crossing the floor,"	床の上をネズミが通っただけだろう。」
"It is merely a cricket which has made a single chirp."	「コオロギがちょっと鳴いただけのことだ」と。
Yes, he had been trying to comfort himself with these suppositions:	こういうふうに考えて自分で自分を慰めていたのです。
but he had found all in vain.	でも、こんな事をしてみたところで、何にもなりはしないのです。
All in vain;	何をしても無駄なのです。
because Death, in approaching him had stalked with his black shadow before him, and enveloped the victim.	というのも老人に忍び寄ってきた死に神が黒い影であたりを覆い、老人を影の中に封じ込めてしまっていたのですから。
And it was the mournful influence of the unperceived shadow that caused him to feel - although he neither saw nor heard - to feel the presence of my head within the room.	老人の目に見えずとも、耳に聞こえずとも、私が寝所に頭を入れているということが老人に感じられるのは、この姿の見えない影が発する力のせいなのでございます。
When I had waited a long time, very patiently, without hearing him lie down, I resolved to open a little - a very, very little crevice in the lantern.	老人が床に横になる音も聞こえぬまま、ずいぶん長い時間じっと辛抱して待っていたのですが、私は、少しだけ、本当にほんの少しだけランタンの覆いを開けてやろうと決心しました。
So I opened it	そして覆いを外しました。
- you cannot imagine how stealthily, stealthily	どれくらいそろそろと、密やかに外したかとてもおわかりにはなりますまい。
- until, at length a simple dim ray, like the thread of the spider, shot from out the crevice and fell full upon the vulture eye.	そしてやっと蜘蛛の糸かと見紛うほどの一筋のぼうっとした光が外した覆いの隙間から漏れて、禿鷲のような目の上一杯に射したのです。
It was open	目は開いておりました。
- wide, wide open	大きくぱっちりと見開かれていたのでございます。
- and I grew furious as I gazed upon it.	その目を見つめていると、腹の底から激しい怒りが沸々と沸き上がってくるのです。
I saw it with perfect distinctness	私には老人の目がはっきりと見えたのです。
- all a dull blue, with a hideous veil over it that chilled the very marrow in my bones;	骨の髄まで凍り付くような眼、気味の悪い膜のはったどんよりとして生気のない碧い眼。
but I could see nothing else of the old man's face or person:	私には老人の顔も身体も見えません。
for I had directed the ray as if by instinct, precisely upon the damned spot.	上手く理屈で説明できないのですが、本能といいましょうか、私は真っ先にあの忌まわしい眼に光りを向けてしまっていたのです。
And have I not told you that what you mistake for madness is but over-acuteness of the sense?	あなた様は私のことを狂人だと勘違いされておいでのようですが、それはただ私の神経がひどく過敏になっていただけのことなのだと先ほどお話ししたと思いますが。
- now, I say, there came to my ears a low, dull, quick sound,	今度は低く、鈍い、気ぜわしい音が聞こえてきたのです。
such as a watch makes when enveloped in cotton.	時計を綿でくるんだような音です。
I knew that sound well, too.	この音も私がよく耳にする音でした。
It was the beating of the old man's heart.	その音は老人の心臓の鼓動なのです。
It increased my fury, as the beating of a drum stimulates the soldier into courage.	太鼓の音で兵隊達が奮い立つように、その音は私の怒りを煽るのです。
But even yet I refrained and kept still.	それでも私は気持ちを抑えてじっとしておりました。
I scarcely breathed.	息も止めていたくらいです。
I held the lantern motionless.	ランタンも揺らさないように持っていました。
I tried how steadily I could maintain the ray upon the eve.	光線を眼に当てたまま、どうやったらこの状態でじっとこらえていられるか必死だったのです。
Meantime the hellish tattoo of the heart increased.	その間にも、心臓の気味の悪い脈動は大きくなっていきました。
It grew quicker and quicker, and louder and louder every instant.	脈動の間隔は次第に短く小刻みになり、いよいよ大音響になってきたのです。
The old man's terror must have been extreme!	間違いなく老人は極度の恐怖感で怯えていたのです！
- do you mark me well I have told you that I am nervous:	私は神経質な性分だとお話ししたことを気に留めていただいてますでしょうか？
so I am.	全くその通りでございます。
And now at the dead hour of the night, amid the dreadful silence of that old house, so strange a noise as this excited me to uncontrollable terror.	夜中の全てが寝静まった時刻に、あの古びた屋敷の恐ろしい静けさのただ中で、あの異様な音がいても立ってもいられないほどの恐怖心を煽るのです。
Yet, for some minutes longer I refrained and stood still.	それでも数分間は自分の気持ちを抑えてじっと立っておりました。
But the beating grew louder, louder!	ところが鼓動はどんどん大きく高くなっていくではありませんか！
I thought the heart must burst.	心臓が破れてしまうと思いました。
And now a new anxiety seized me	と、今度は今までとは違う不安に襲われたのです。
- the sound would be heard by a neighbour!	この音はきっと隣家の住人にも聞こえてしまう！
The old man's hour had come!	もう来るべき時が来たのだ！
With a loud yell, I threw open the lantern and leaped into the room.	私は大声をあげてランタンの覆いをさっと外し投げ捨て、部屋の中へ飛び込みました。
He shrieked once	老人はうわっと一声悲鳴を上げました。
- once only.	悲鳴はそれきりです。
In an instant I dragged him to the floor, and pulled the heavy bed over him.	私はすぐさま老人を床に引きずり下ろすと重い寝台を動かして老人をその下敷きにしました。
I then smiled gaily, to find the deed so far done.	事がここまで済んでしまうと、私は快適な気分になって顔がほころんできました。
But, for many minutes, the heart beat on with a muffled sound.	心臓の鼓動はしばらくの間、綿でくるんだときのような音をたてて鳴り続けていました。
This, however, did not vex me;	でももうその音で不安に駆られることはありませんでした。
it would not be heard through the wall.	よもや、壁越しに隣人に聞こえることはないでしょう。
At length it ceased.	やがて音は止まりました。
The old man was dead.	老人は死んだのです。
I removed the bed and examined the corpse.	私は寝台をどけて老人の死体を確かめました。
Yes, he was stone, stone dead.	やはり思った通り、老人は死んで石のように固くなっていました。
I placed my hand upon the heart and held it there many minutes.	私は老人の胸に手をおいて何分間もじっとしていました。
There was no pulsatio.n	心臓の拍動はありません。
He was stone dead.	完全に老人は死んだのです。
His eye would trouble me no more.	もうあの眼に苦しめられることもありません。
If still you think me mad, you will think so no longer when I describe the wise precautions I took for the concealment of the body.	あなた様がまだ私のことを狂人だと思っておいでなら、私が知恵を働かせ、念には念を入れてどれほど巧妙に老人の遺体を隠したかをお話すれば、あなた様も思い直してくださるでしょう。
The night waned, and I worked hastily, but in silence.	夜も更けてきましたので私は物音ひとつ立てず急いで仕事に取りかかりました。
First of all I dismembered the corpse.	先ずは、死体をバラバラにしました。
I cut off the head and the arms and the leg.s	頭と腕と脚を切断したのです。
I then took up three planks from the flooring of the chamber, and deposited all between the scantlings.	それから寝所の床板を３枚外し、床板を支えている横木の間に全部投げ入れたのです。
I then replaced the boards so cleverly, so cunningly,	それから床板を元通りに、それもかなり上手くはめ込みました。
that no human eye - not even his - could have detected any thing wrong.	誰が見ても、たとえ神が見たところでどこにも不審な所は見あたらないはずです。
There was nothing to wash out	洗い流す所はどこもありませんでした。
- no stain of any kind - no blood-spot whatever.	しみも血のあともついてはいませんでした。
I had been too wary for that.	用心には用心を重ねて事を行ったのです。
A tub had caught all	風呂桶が血も何もかもみな受けてくれたのですから。
- ha! ha!	ははは！
When I had made an end of these labors, it was four o'clock	全ての作業が終わった時にはもう午前４時になっていました。
- still dark as midnight.	外は真夜中のように真っ暗です。
As the bell sounded the hour, there came a knocking at the street door.	４時の鐘が鳴ったとき、表の戸を叩く音がしました。
I went down to open it with a light heart,	私はすっきりした気分で下へ降りていき戸を開けました。
- for what had I now to fear?	何を恐れることがありましょう？
There entered three men, who introduced themselves, with perfect suavity, as officers of the police.	３人の男性が入ってきて、柔らかな態度で、自分たちは警官だと告げました。
A shriek had been heard by a neighbour during the night;	夜中に隣家の人が悲鳴を聞いて、
suspicion of foul play had been aroused;	何か悪いことでも起こったのではないかと
information had been lodged at the police office,	警察に通報してきて、
and they (the officers) had been deputed to search the premises.	そこで自分たち警官が屋敷を捜査するために来たのだと言いました。
I smiled,	私はにっこり笑いました。
- for what had I to fear?	何を怖じ気づくというのですか？
I bade the gentlemen welcome.	３人の警官を喜んで中に招き入れましたよ。
The shriek, I said, was my own in a dream.	悲鳴は私が寝言で叫んだのでしょう。
The old man, I mentioned, was absent in the country.	老人は田舎に出かけて此処にはおりません。
I took my visitors all over the house.	そして屋敷中を案内したのです。
I bade them search	屋敷中、くまなくお調べになって下さい。
- search well.	どうぞ念入りに、と言いました。
I led them, at length, to his chamber.	そうして、老人の寝所まで案内しました。
I showed them his treasures,	私は警官達に老人の財宝を見せました。
secure, undisturbed.	荒らされた形跡など全くございません。
In the enthusiasm of my confidence, I brought chairs into the room, and desired them here to rest from their fatigues,	自分は疑われていないということで嬉しくなっていたものですから、椅子まで持ち出してきて此処で疲れを癒して休んでいって下さいと申しました。
while I myself, in the wild audacity of my perfect triumph, placed my own seat upon the very spot beneath which reposed the corpse of the victim.	私は絶対に大丈夫という思いから大胆不敵にも老人の遺体をばらまいたちょうど真上に椅子を置いて腰掛けたのです。
The officers were satisfied.	警官達は納得したようです。
My manner had convinced them.	私の態度を見て、心配したことはないと思ったのでしょう。
I was singularly at ease.	私は不思議なくらいくつろいだ気分でいました。
They sat, and while I answered cheerily, they chatted of familiar things.	警官達は腰をおろして、私が元気良く応対すると、彼らも気楽に話してくるのです。
But, ere long, I felt myself getting pale and wished them gone.	ですが、そのうちに、自分の顔が蒼ざめてくるのがわかって、早く立ち去ってくれと思うようになってきました。
My head ached, and I fancied a ringing in my ears:	頭がずきずき痛んで耳鳴りがしているような気がするのです。
but still they sat and still chatted.	警官達は腰掛けてまだ話し込んでいます。
The ringing became more distinct:	耳鳴りはますますはっきりしてきました。
- It continued and became more distinct:	途切れることなく、どんどんはっきりと聞こえてくるのです。
I talked more freely to get rid of the feeling:	この感じから逃れたくて沢山喋りました。
but it continued and gained definiteness - until, at length, I found that the noise was not within my ears.	それなのに、耳鳴りは止まず、もっと明確に聞き取れるようになって、それからやっと、此の音は自分の耳の中で鳴っているのではないということがわかったのです。
No doubt I now grew _very_ pale;	顔から血の気が引いてまっ蒼になっていたはずです。
- but I talked more fluently, and with a heightened voice.	でも、私は話題が途切れないようにますますお喋りになり、声まで高くなっていきました。
Yet the sound increased	それでも音はどんどん大きくなってきます。
- and what could I do?	私は一体どうすればいいのでしょう？
It was a low, dull, quick sound - much such a sound as a watch makes when enveloped in cotton.	低くて鈍い小刻みに鳴る音、綿でくるんだ時計から漏れてくるような音。
I gasped for breath	私は息をするのも苦しくなってきました。
- and yet the officers heard it not.	でも、警官達にはこの音が聞こえてはいないのです。
I talked more quickly - more vehemently;	私はさらに早口に、もっと熱っぽく喋りました。
but the noise steadily increased.	それでもやはり音はじわじわと大きくなっていきます。
I arose and argued about trifles, in a high key and with violent gesticulations;	私は立ち上がって、どんなつまらない話にでもそうだそうだと、それも高い声でかなり大げさな身振りを交えてうなずきました。
but the noise steadily increased.	そうしても、あの音は着実に大きくなってきているのです。
Why would they not be gone?	どうしてこの連中は帰ろうとしないのだ？
I paced the floor to and fro with heavy strides, as if excited to fury by the observations of the men	お前たちの顔を見てると腹が立ってくるのだとでも言わんばかりに、私は床を一歩ずつドスンドスンと踏みならしながら行ったり来たりしたのです。
- but the noise steadily increased.	でも、音は、じわじわと大きくなってきます。
Oh God!	ああ、神よ！
what could I do?	どうすればいいのです？
I foamed - I raved - I swore!	私は口から泡を飛ばし、戯言を口走り、さんざん毒づいてやったのです。
I swung the chair upon which I had been sitting, and grated it upon the boards, but the noise arose over all and continually increased.	自分が座っていた椅子をガタガタ揺すってみたり、床板に椅子をこすりつけてキーキーと嫌な音を立ててみたり、それでも音は、かき消されも途切れもせず、さらに大きくなってくるじゃありませんか。
It grew louder	音が大きくなっているんです！
- louder	今よりも大きく！
- louder!	今よりももっと高く！
And still the men chatted pleasantly, and smiled.	それなのにこの連中と来たら相変わらずおもしろそうに喋って笑っているんですよ。
Was it possible they heard not?	この音が聞こえてないのか？
Almighty God!	ああ、全能の神よ！
- no, no!	ちがう、ちがう！
They heard!	聞こえているんだ！
- they suspected!	疑っているんだ！
- they knew!	わかっているんだ！
- they were making a mockery of my horror!	私が怯えているのを面白がっているんだ！
-this I thought,	あの時はこう思ったのです。
and this I think.	今もそうだと思ってます。
But anything was better than this agony!	どんな目にあったってこんな苦しみよりはましだ！
Anything was more tolerable than this derision!	,こんな風に嘲笑の的にされるくらいならどんなことだって我慢してやる！
I could bear those hypocritical smiles no longer!	偽善者め、こんな作り笑いにはもう我慢できない！
I felt that I must scream or die!	わめき散らすか死ぬか、そのどちらかしかないじゃないか！
and now - again!	ああ、まただ！
- hark!	よく聞こえるぞ！
louder!	大きく！
louder!	もっと大きく！
louder! louder!	もっともっと高く、大きく響いてる！
"Villains!"	「このゲスどもめ！」
I shrieked,	私は怒鳴りつけました。
"dissemble no more!	「もうとぼけるんじゃないよ！
I admit the deed!	そうさ、この私がやったのさ！
- tear up the planks!	板をめくってみろよ！
here,	ほれ、ここだ！
here!	これだ！これがそうだ！
- It is the beating of his hideous heart!"	これこそあのじじいの恐ろしい心臓の音だよ！」
