Jack and the Beanstalk	ジャックと豆のつる
"Right you are,"	「そりゃそうだ。
"and here they are the very beans themselves,"	ここにその豆があるんだが、これはとってもすごい豆なんだ。」
he went on pulling out of his pocket a number of strange-looking beans.	そう言うと老人はポケットから不思議そうに見える豆をたくさん取り出しました。
"As you are so sharp,"	「君はまったく賢い。
"I don't mind doing a swop with you	だから、取りかえてやってもいいぞ
--your cow for these beans."	――その牛とこの豆をな。」
"Walker!"	「あっちへ行けよ。」
says Jack;	ジャックは言いました。
"wouldn't you like it?"	「そんな話ってあるかい。」
"Ah!	「あぁ！
you don't know what these beans are,"	君はこの豆がどういう豆なのか知らんからな。」
said the man;	老人は言いました。
"if you plant them over-night, by morning they grow right up to the sky."	「もしこれを畑にまいたらな、明日の朝には空の上まで伸びてるんだよ。」
"Really?"	「本当？
"you don't say so."	ウソに決まってるよ。」
"Yes, that is so,	「いや、ほんとの話だ。
and if it doesn't turn out to be true you can have your cow back."	もしもそうならなかったら、牛を君に返してもいいさ。」
"Right,"	「分かった。」
says Jack, and hands him over Milky-white's halter and pockets the beans.	ジャックは答え、そしてミルキーホワイトの手綱を老人に渡し、豆をポケットに入れました。
Back goes Jack home,	ジャックは家に帰りました。
and as he hadn't gone very far it wasn't dusk by the time he got to his door.	ところで、ジャックはそう遠くまで行ってなかったので、日が暮れる前に家に帰り着くことができたのです。
"What back, Jack?"	「もう帰ってきたのかい、ジャック。」
said his mother;	母親は言いました。
"I see you haven't got Milky-white, so you've sold her.	「ミルキーホワイトを連れてないってことは、もう売ってきたんだね。
How much did you get for her?"	で、いくらで売ってきたんだい？」
"You'll never guess, mother,"	「お母さんの思ってる値段じゃないよ。」
says Jack.	ジャックは答えました。
"No, you don't say so.	「いやいや、当ててみるよ。
Good boy!	まったくいい子だね！
Five pounds, ten, fifteen, no, it can't be twenty."	五ポンドかい、十ポンドかい、十五ポンドかい、まさか二十ポンドにはならないはずだからね。」
"I told you you couldn't guess,	「全然はずれ。
what do you say to these beans;	答はね、この豆と換えてきたんだよ。
they're magical, plant them over-night and----"	これは魔法の豆でね、畑に植えて一晩たったら――。」
"What!"	「何だって！」
says Jack's mother,	母親は怒りだしました。
"have you been such a fool, such a dolt,	「なんてバカなことをしたんだい、このまぬけ！
such an idiot,	このうすのろ！
as to give away my Milky-white, the best milker in the parish, and prime beef to boot, for a set of paltry beans.	ミルキーホワイトはね、この辺で一番ミルクの出はよかったし、肉だって極上のものだったんだよ、それをなんだい、こんなろくでもない豆と換えたって？
Take that!	これでもか！
Take that!	これでもか！
Take that!	これでもか！
And as for your precious beans here they go out of the window.	何が大事な豆つぶだい、そんなもの窓から放ってやるよ。
And now off with you to bed.	さぁとっとと寝ちまいな。
Not a sup shall you drink, and not a bit shall you swallow this very night."	なにもお前に飲ますものはないし、ひとかけらだっておまえに食わすものなどないからね。」
So Jack went upstairs to his little room in the attic,	そこでジャックは二階にある自分の屋根裏部屋に行きました。
and sad and sorry he was,	悲しいやら悔しいやらで胸がいっぱいでした。
to be sure, as much for his mother's sake, as for the loss of his supper.	確かに母親にすまないとは思っていましたが、夕食抜きになったのもとてもつらかったのです。
At last he dropped off to sleep.	それでもジャックは眠りにつきました。
When he woke up, the room looked so funny.	目が覚めたとき、部屋はとても不思議な状態にありました。
The sun was shining into part of it, and yet all the rest was quite dark and shady.	太陽に照らされているところもありましたが、何かの影が部屋にかかっていたので真っ暗な状態になっていたのです。
So Jack jumped up and dressed himself and went to the window.	ジャックは飛び起きて、服を着替え、窓のところに行きました。
And what do you think he saw?	そこでジャックはいったい何を見たのでしょう？
why, the beans his mother had thrown out of the window into the garden,	なんと、母親が窓の外、庭に投げてしまった豆が、大きなつるを伸ばしていたのです。
had sprung up into a big beanstalk which went up and up and up till it reached the sky.	そのつるはとてもとても、とーっても高くて、空の先まで伸びていました。
So the man spoke truth after all.	あの老人は真実を話していたのです。
The beanstalk grew up quite close past Jack's window,	豆のつるはジャックの窓のそばにありました。
so all he had to do was to open it and give a jump on to the beanstalk which was made like a big plaited ladder.	ですから、ジャックは窓を開け、つるに飛びつき、はしごのように登っていけばよかったのです。
So Jack climbed and he climbed and he climbed and he climbed and he climbed and he climbed and he climbed till at last he reached the sky.	ジャックは延々と、ただ延々と、これでもかこれでもかと豆のつるを登っていき、ついに空の上に行き着きました。
And when he got there he found a long broad road going as straight as a dart.	そこに着いたとき、ジャックは吹き矢のようにまっすぐのびていく道を見つけました。
So he walked along and he walked along and he walked along till he came to a great big tall house,	ジャックはその道を歩いていき、やがて大きくそびえ立つ家の前に行き着きました。
and on the doorstep there was a great big tall woman.	その門に上がる階段のところに、とても背の高い女の人が立っていました。
"Good morning, mum,"	「おばさん、おはようございます。」
says Jack, quite polite-like.	ジャックは丁寧に女の人にあいさつしました。
"Could you be so kind as to give me some breakfast."	「ぼくに何かご飯を食べさせていただけませんか？」
For he hadn't had anything to eat, you know, the night before and was as hungry as a hunter.	そうです、ジャックは昨日の晩からなにも食べていなかったので、猟犬のようにおなかをすかせていたのです。
"It's breakfast you want, is it?"	「朝ご飯が食べたいのかい？」
says the great big tall woman,	のっぽの女性が話しかけてきました。
"it's breakfast you'll be if you don't move off from here.	「もしここから出ていかなかったら、あんたが朝ご飯になるんだよ。
My man is an ogre and there's nothing he likes better than boys broiled on toast.	うちの亭主は人食い鬼でね、よく焼いた男の子ほど大好きなものはないんだよ。
You'd better be moving on or he'll soon be coming."	早く行きな、でないとうちの人が戻ってきてしまうからね。」
"Oh! please mum, do give me something to eat, mum.	「お願い、なにか食べさせておくれよ、おばさん。
I've had nothing to eat since yesterday morning,	昨日の朝からぼくはなにも食べてないんだ。
really and truly, mum,"	本当なんだってば。」
says Jack.	ジャックは言いました。
"I may as well be broiled, as die of hunger."	「飢え死にするくらいなら、あぶられた方がまだましだよ。」
Well, the ogre's wife wasn't such a bad sort, after all.	さて、この人食い鬼のおかみさんは結構根はいい方でした。
So she took Jack into the kitchen, and gave him a junk of bread and cheese and a jug of milk.	ですから、ジャックをキッチンに連れていき、チーズをはさんだパンの固まりと、ミルクを一杯ジャックにくれました。
But Jack hadn't half finished these when thump! thump! thump! the whole house began to tremble with the noise of someone coming.	ところが、ジャックが半分も食べ終わらないうちに、ずしん！　どしん！　ずしん！　誰かがやってくる足音で家全体が揺れはじめたのです。
"Goodness gracious me!	「あれまぁ大変、
It's my old man,"	うちの人だよ。」
said the ogre's wife,	おかみさんは言いました。
"what on earth shall I do?	「いったいどうしたんだろ？
Here, come quick and jump in here."	早くこっち来て、この中へ飛びこむんだよ。」
And she bundled Jack into the oven	そう言って、ジャックをオーブンに押し込みました。
just as the ogre came in.	ちょうどそこへ、人食い鬼が入ってきました。
He was a big one, to be sure.	たしかに、とてつもなく大きな鬼でした。
At his belt he had three calves strung up by the heels,	ベルトに仔牛を三頭ぶら下げていました。
and he unhooked them and threw them down on the table and said:	その仔牛をベルトから外して投げとばし、テーブルにつくなりこう言いました。
"Here, wife, broil me a couple of these for breakfast.	「おい女房、こいつを焼いて朝めしにしろ。
Ah what's this I smell?	はて、なんか匂うぞ。」
Fee-fi-fo-fum,	とって食うぞ、とって食うぞ
I smell the blood of an Englishman,	英国人の血のにおいがするぞ
Be he alive, or be he dead	生きてようが死んでようが
I'll have his bones to grind my bread."	そいつの骨ごと朝めしにするぞ
"Nonsense, dear,"	「バカだね、あんた。」
said his wife,	おかみさんが言いました。
"you're dreaming.	「夢でもみてるんだろ。
Or perhaps you smell the scraps of that little boy you liked so much for yesterday's dinner.	きっと昨日の夕食に食べちまった男の子の残りかすが匂ってるんだよ。
Here, go you and have a wash and tidy up, and by the time you come back your breakfast'll be ready for you."	さあさ、むこうで顔でも洗ってきな、戻ってくるころには朝食ができてるからね。」
So the ogre went off,	すると人食い鬼は出ていきました。
and Jack was just going to jump out of the oven and run off	ジャックはそれを見届けてからオーブンを抜け出し、逃げだそうとした。
when the woman told him not.	するとおかみさんがもう少し待つように言いました。
"Wait till he's asleep,"	「眠っちまうまで待つんだよ。
"he always has a snooze after breakfast."	あの人は朝食の後いつもいねむりするからね。」
Well, the ogre had his breakfast,	ほどなく、人食い鬼が朝食を食べ終わりました。
and after that he goes to a big chest and takes out of it a couple of bags of gold	すると、鬼は大きな箱のところに行き、金貨のつまった袋をふたつもってきました。
and sits down counting them till at last his head began to nod	そして座り込んで金貨を数えていましたが、やがてこっくりこっくり。
and he began to snore	いびきまでかき始めました。
till the whole house shook again.	いびきでまた家が震えはじめるくらい大きな音でした。
Then Jack crept out on tiptoe from his oven,	そのときジャックはオーブンから忍び足で出てきました。
and as he was passing the ogre he took one of the bags of gold under his arm, and off he pelters till he came to the beanstalk,	人食い鬼のそばを通り、金貨のつまった袋をひとつ、腕の下に抱え込み、鉄砲玉のごとく、一目散に豆のつるのところまで走っていきました。
and then he threw down the bag of gold	そしてジャックは金貨入りの袋を投げとばしました。
which of course fell in to his mother's garden,	当然、袋はジャックの家の庭に落ちました。
and then he climbed down	そしてジャックはつるを降りていきました。
and climbed down till at last he got home	どんどん降りてきて、ついに家に帰ってきました。
and told his mother and showed her the gold and said:	すぐに母の元へ行って今までの話を聞かせ、金貨を見せながらこう言いました。
"Well, mother, wasn't I right about the beans.	「どうだい母さん、ぼくの言ったことが正しかったでしょ？
They are really magical, you see."	あれはほんとに魔法の豆だったんだ、よく分かっただろ。」
So they lived on the bag of gold for some time,	そして一家は袋から金貨を出して暮らしていきました。
but at last they came to the end of that	しかし、その金貨もやがてつきてしまいました。
so Jack made up his mind to try his luck once more up at the top of the beanstalk.	ジャックはもう一度豆のつるを登って運試ししてみようという気になりました。
So one fine morning he got up early, and got on to the beanstalk,	そしてある晴れた日、ジャックは早起きして、豆のつるにしがみつきました。
and he climbed and he climbed and he climbed and he climbed and he climbed and he climbed till at last he got on the road again	どんどん登り、まだまだ登り、延々と登り、ただただ登り、これでもかこれでもかと登り、さらに登っていくうちに、ついにあの道のそばまでたどりつきました。
and came to the great big tall house he had been to before.	そしてさらに、以前に来たあの大きな屋敷にたどりつきました。
There, sure enough, was the great big tall woman a-standing on the door-step.	そこには前のように、大きなおかみさんが門に上がる階段のところに立っていました。
"Good morning, mum,"	「おはよう、おばさん。」
says Jack, as bold as brass,	ジャックは大胆にもこう話しかけました。
"could you be so good as to give me something to eat?"	「なにかぼくに食べさせてくれませんか？」
"Go away, my boy,"	「とっとと行っちまいな、ぼうや。」
said the big, tall woman,	おかみさんが答えました。
"or else my man will eat you up for breakfast.	「でないとうちの人が朝ご飯を食べに帰ってくるからね。
But aren't you the youngster who came here once before?	ところであんた、前にここに来た子じゃないかい？
Do you know, that very day, my man missed one of his bags of gold."	そうそう、ちょうどあの日にうちの人が金貨入りの袋をなくしたんだよ。」
"That's strange, mum,"	「それは不思議だね、おばさん。」
says Jack,	ジャックは言いかえしました。
"I dare say I could tell you something about that but I'm so hungry I can't speak till I've had something to eat."	「その事でなにか言えなくもないんだけど、ものすごい腹ぺこでさ、なにか食べさせてくれるまで話す気はないよ。」
Well the big tall woman was that curious that she took him in and gave him something to eat.	さて、この言葉におかみさんは興味を覚え、なにか食べていくようにジャックに言いました。
But he had scarcely begun munching it as slowly as he could when thump! thump! thump! they heard the giant's footstep,	ジャックはどうにか朝食にありつきましたが、わざとゆっくり食べ、巨人が帰ってくるズシン！　ズシン！　という音が聞こえてくるのを待ちました。
and his wife hid Jack away in the oven.	おかみさんはその音を聞いて、ジャックをオーブンの中に隠しました。
All happened as it did before.	すべてが前とおんなじでした。
In came the ogre as he did before, said:	鬼が入ってきて、
"Fee-fi-fo-fum,"	「とって食うぞ、とって食うぞ」
and had his breakfast off three broiled oxen.	と歌い、朝食には焼いた牛。
Then he said:	そのあとで、鬼はおかみさんにこう言いました。
"Wife, bring me the hen that lays the golden eggs."	「おーい、黄金《きん》の卵を産むめんどりを持ってこい！」
So she brought it, and the ogre said: "Lay,"	おかみさんがめんどりを持ってくると、鬼は「産め。」とめんどりに言いました。
and it laid an egg all of gold.	するとめんどりは、純金の卵を産みました。
And then the ogre began to nod his head, and to snore till the house shook.	やがて鬼はこっくりこっくり頭を下げだし、家をゆらすほどの大いびきをかいて眠り込みました。
Then Jack crept out of the oven on tiptoe and caught hold of the golden hen, and was off before you could say "Jack Robinson."	そこでジャックは忍び足でオーブンを抜け出し、めんどりを抱え込み、「あらよ」という間もなく逃げだしました。
But this time the hen gave a cackle which woke the ogre,	ところがこのとき、めんどりがクワックワッと鳴き出し、鬼が目を覚ましました。
and just as Jack got out of the house he heard him calling:	ジャックはもう家の外に出ていましたが、その耳に、鬼がこう呼んでいるのが聞こえてきたのです。
"Wife, wife, what have you done with my golden hen?"	「おーい女房、おれの黄金《きん》のめんどりをどこへやった？」
And the wife said:	そして
"Why, my dear?"	「どうしたんだぃ、おまえさん。」
But that was all Jack heard, for he rushed off to the beanstalk and climbed down like a house on fire.	その声をうしろに聞きながら、ジャックは豆のつるのところまで走っていき、お尻に火がついたみたく一気につるを下っていきました。
And when he got home he showed his mother the wonderful hen and said "Lay," to it;	やがて家に帰ってきたジャックはすぐに母親にこのすばらしいめんどりを見せ、「産め。」と命令しました。
and it laid a golden egg every time he said "Lay."	めんどりは、ジャックは「産め。」というたびに黄金《きん》の卵を産むのでした。
Well, Jack was not content,	ところで、ジャックはまだ満足していませんでした。
and it wasn't very long before he determined to have another try at his luck up there at the top of the beanstalk.	そんなに時がたたないうちに、もう一度豆のつるのてっぺんで運試しをしてみようと考えるようになったのです。
So one fine morning, he got up early, and went on to the beanstalk,	それである日の朝、ジャックは早起きして、豆のつるにしがみつき、どんどん登っていきました。
and he climbed and he climbed and he climbed and he climbed till he got to the top.	どんどん登り、まだまだ登り、ただ延々と登り続け、ついにてっぺんにたどりつきました。
But this time he knew better than to go straight to the ogre's house.	もうよく知っている道だったので、ジャックはあの鬼の家へとずんずん向かっていきました。
And when he got near it he waited behind a bush till he saw the ogre's wife come out with a pail to get some water, and then he crept into the house and got into the copper.	いよいよ鬼の家に近づくと、ジャックはやぶの陰に隠れて、人食い鬼のおかみさんが水をくもうと手桶をもって外へ出ていくのを見届けてから、家の中に忍びこみ、大釜の中に隠れました。
He hadn't been there long when he heard thump! thump! thump! as before, and in come the ogre and his wife.	ほどなくして、あのズシン！　ズシン！　という音が聞こえてきて、鬼の夫婦が家の中に入ってきました。
"Fee-fi-fo-fum, I smell the blood of an Englishman,"	「とって食うぞ、とって食うぞ、英国人の血のにおいがするぞ。」
cried out the ogre;	鬼が叫びました。
"I smell him, wife, I smell him."	「なぁおまえ、匂うぞ、匂うぞ。」
"Do you, my dearie?"	「そうかぃおまえさん。」
says the ogre's wife.	おかみさんが答えました。
"Then if it's that little rogue that stole your gold and the hen that laid the golden eggs he's sure to have got into the oven."	「もしそれがあんたの金貨と黄金《きん》の卵を産むめんどりを盗んでったあの子だとすると、きっとオーブンの中にいるに違いないよ。」
And they both rushed to the oven.	そして二人はオーブンへと走っていきました。
But Jack wasn't there,	しかしそこにジャックはいませんでした。
luckily, and the ogre's wife said:	幸いにも、おかみさんがこう言ってきました。
"There you are again with your fee-fi-fo-fum.	「またあんたの『とって食うぞとってくうぞ』がでたね。」
Why of course it's the laddie you caught last night that I've broiled for your breakfast.	大方、昨日捕まえて朝食にしようと焼いている男の子のにおいでもしたんだろうよ。
How forgetful I am, and how careless you are not to tell the difference between a live un and a dead un."	私も忘れっぽくなったけどさ、あんたは長年生きてきて、生きてるのか死んでるのかも分からなくなるほどぼけてきたんかね。」
So the ogre sat down to the breakfast and ate it,	そこで人食い鬼は椅子に座り、朝食を食べました。
but every now and then he would mutter:	それでもときどき、
"Well, I could have sworn----"	「うーん、たしかに匂うんだよなー。」
and he'd get up and search the larder and the cupboards, and everything,	ひょいと立ち上がっては食料置き場、食器棚と、あらゆる場所を探しました。
only luckily he didn't think of the copper.	でも幸いなことに、大釜のことだけは鬼は考えつかなかったのです。
After breakfast was over, the ogre called out:	やがて食事が終わり、鬼がこう叫びました。
"Wife, wife, bring me my golden harp."	「おーいおまえ、おれの黄金《きん》の竪琴を持ってこい。」
So she brought it and put it on the table before him.	おかみさんが竪琴を持ってきて、テーブルの上、鬼の目の前に置きました。
Then he said:	「歌え！」
"Sing!"	と一言言うと、
and the golden harp sang most beautifully.	竪琴がとっても美しい声で歌い出しました。
And it went on singing till the ogre fell asleep,	その声が鬼が眠りに落ちるまで続きました。
and commenced to snore like thunder.	やがて、あの雷のようないびきが響き出しました。
Then Jack lifted up the copper-lid very quietly and got down like a mouse and crept on hands and knees till he got to the table when he got up and caught hold of the golden harp and dashed with it towards the door.	そこでジャックは静かに大釜のふたを開け、ネズミみたいに床におり、抜き足差し足でテーブルのところまで忍び寄り、脚をよじ登り、黄金《きん》の竪琴を抱え込んでドアの方に走っていきました。
But the harp called out quite loud:	ところが、竪琴が大声で
"Master! Master!"	「ご主人様！　ご主人様！」
and the ogre woke up just in time to see Jack running off with his harp.	その声で鬼が目を覚まし、ジャックが竪琴を抱えて走っていくのを見てしまったのです。
Jack ran as fast as he could,	ジャックは力のかぎり走りました。
and the ogre came rushing after,	その後ろを鬼が追いかけてきます。
and would soon have caught him only Jack had a start and dodged him a bit and knew where he was going.	すぐにもつかまえようとするのをジャックはすんでの所でひらりひらりとかわして、また走っていきます。
When he got to the beanstalk the ogre was not more than twenty yards away when suddenly he saw Jack disappear like,	ジャックが豆のつるにたどりついたとき、鬼との距離は二十ヤードもありませんでしたが、鬼の目にはジャックが突然消えてしまったように見えました。
and when he got up to the end of the road he saw Jack underneath climbing down for dear life.	鬼が道のはしに行くと、ジャックが懸命につるをつたって下りていくのが見えました。
Well, the ogre didn't like trusting himself to such a ladder, and he stood and waited, so Jack got another start.	さて、人食い鬼はこのはしごを下りるのは気が進みませんでしたので、立ち止まって思案するうちに、ジャックはどんどん下りていきました。
But just then the harp cried out:	しかしそのとき、竪琴が
"Master! master!"	「ご主人様！　ご主人様！」
and the ogre swung himself down on to the beanstalk	そこで鬼も豆のつるを下りていきました。
which shook with his weight.	豆のつるは鬼の体重で揺れ出しました。
Down climbs Jack,	ジャックがつるを下りていきます。
and after him climbed the ogre.	鬼も後ろから下りていきます。
By this time Jack had climbed down and climbed down and climbed down till he was very nearly home.	ジャックはどんどん下りていき、延々と下りていき、まだまだ下りていき、やがて家のそばまで下りてきました。
So he called out:	そこでジャックは叫びました。
"Mother! mother! bring me an axe, bring me an axe."	「お母さん！　お母さん！　斧を持ってきて、斧を持ってきてよ！」
And his mother came rushing out with the axe in her hand,	母親は斧を手に持って走ってきました。
but when she came to the beanstalk she stood stock still with fright	しかし、つるのそばまで来ると、母親は恐怖の余り足がすくんでしまいました。
for there she saw the ogre just coming down below the clouds.	というのも、雲の間から鬼の足が突き出ているのを見てしまったからなのです。
But Jack jumped down and got hold of the axe and gave a chop at the beanstalk which cut it half in two.	しかしジャックは飛び降りて、斧を手に取り、豆のつるを切り倒そうと斧を打ち出しました。
The ogre felt the beanstalk shake and quiver so he stopped to see what was the matter.	人食い鬼は豆のつるがぐらぐらゆらゆら揺れだしたのに気づき、何が起こったのか見ようと下りるのをやめました。
Then Jack gave another chop with the axe, and the beanstalk was cut in two and began to topple over.	そのとき、ジャックはさらに斧を打ち、豆のつるは斧が入ったところから倒れ出しました。
Then the ogre fell down and broke his crown,	人食い鬼が落ちてきて頭がぐしゃっ。
and the beanstalk came toppling after.	さらにその上に豆のつるが倒れてきたのです。
Then Jack showed his mother his golden harp,	その後でジャックは母親に黄金《きん》の竪琴を見せました。
and what with showing that and selling the golden eggs, Jack and his mother became very rich,	やがて、竪琴に歌わせたり黄金《きん》の卵を売ったりして、二人はお金持ちになりました。
and he married a great princess, and they lived happy ever after.	そのうちジャックはきれいなお姫様と結婚し、いつまでも幸せに暮らしましたとさ。
2002.10.16	【訳者あとがき】
