The Manager FAQ	ハッカーのための管理職 FAQ
Probably not.	たぶんありません。
There's lots of books for your manager on how to deal with employees, though, and if you read them, you may get a good idea of where he's coming from.	経営者が従業員を扱う方法について書かれた本はたくさんありますから、そうしたものを読めば、管理職の考えがどこから来てるかよく分かるかもしれません。
Section 2: Social issues	2章： 社会性の問題
2.1: My manager doesn't fit in well with our corporate society.	2.1: うちの管理職は我々の企業社会とうまく調和してません。
He seems to to a good job, but he's not getting along with the engineers.	仕事はうまくやっているようなのですが、技術者と反りが合ってないのです。
This is common.	よくあることです。
Your manager may not have found any people who get along well with "suits".	あなたのとこの管理職は、「スーツ族」と仲良くやれる人間を見つけてないのかもしれません。
A lot of engineers don't have the personality traits (or social skills) to adapt to people different from themselves;	技術者には、自分達と異なる人間に適合する習性（か社会的技能）を持ち合わせてない人が多いのです。
you should consider making an effort to get to know your manager, and accept his differences.	管理職のことを知るための努力をすることを心がけ、彼との違いを受け入れるべきなのです。
2.2: My manager seems to dress funny.	2.2: うちの管理職は服装がヘンなんです。
Is there any way to impress upon him the pointlessness of corporate appearance?	企業において風采にこだわることの無意味さを叩き込む方法はあるでしょうか？
Your manager is probably aware that,	あなたのところの管理職は、おそらくそれを分かっています。
in the abstract, the way she dresses changes nothing.	理論的には、彼女が何を着ようが変わりはありません。
However, part of her job is to interact with other people, and there are rules of etiquette for these dealings.	しかし、彼女の仕事には、他の会社の人達と交渉をすることも含まれていて、そうした交渉にはエチケットに関する決まりがあります。
Your manager's clothing, even when she's not dealing with other people, is selected in part as a way of telling you that she takes you seriously;	あなたのとこの管理職の服装は、例え彼女が他の会社の人間と取り引きをしていない場合でも、彼女があなたのことを重要だと考えていることを示す一手段として選択されているところがあるのです。
it's just like calling people "sir".	それはちょうど人を「sir」と呼ぶようなものです。
It's a convention, but that doesn't mean it's not a real convention, and your manager is honoring it.	約束事に過ぎませんが、それが真の尊重を意味しないということはではなく、あなたのとこの管理職はちゃんと敬意を払っているのです。
2.3: My manager insists on being called by a title, and treated in a formal manner.	2.3: うちの管理職は、自分のことを肩書きで呼び、礼儀正しく接するように要求するんです。
Your manager's position is an aspect of a corporate hierarchy;	管理職の地位は、企業における序列の一面です。
his title, and the formal modes of interaction, are part of that structure.	つまり、彼の肩書きや、礼儀正しい対し方は、その構造の一部なのです。
He is trying to do his job, which involves being aware of the "chain of command" and other corporate structures.	彼が仕事をしようとするとき、そこには「命令系統」や他の会社組織への意識が含まれます。
He may talk as though you are "beneath" him, and in terms of who has the decision-making power, you probably are	彼は、あたかもあなたが彼の「下位」にいるような話し方をするかもしれませんし、意思決定権を持つ人間という点では、確かにあなたは彼の下位にいるわけですが、
- but this may not mean that he thinks you are a less valuable person than he is.	彼があなたのことを自分よりも価値の低い人間であると考えていることを意味するわけではありません。
Try to treat him with respect, and remember that, in general, you show people respect on their terms, not on the terms you might otherwise prefer.	一般的に、人に敬意を示すときは、あなたがそうしたいと思うやり方ではなく、その人がそうされたいと思うやりかたですべきだということを覚えておきましょう。
2.4: My manager complains when I identify faults in the work of my coworkers.	2.4: うちの管理職は、僕が同僚の仕事にミスを見つけると文句を言うんです。
Take your manager aside, and offer details of what's wrong with the existing work.	あなたのとこの管理職をわきに連れて行き、現在の仕事のおかしいところを詳しいところまで申告するのです。
She may end up not doing anything, but don't nag her about it;	彼女は何もしないで終わるもかもしれませんが、それについて彼女にうるさく言ってはいけません。
she's juggling a lot of other priorities, too, and there may be good reasons for which she's not doing anything about your complaints.	彼女は他のたくさんの優先事項もやりくりしていて、彼女があなたの不満については何もしない正当な理由があるのかもしれません。
Whenever possible, try to help people solve problems, rather than just complaining about them.	可能ならいつでも、文句を言いっぱなしでなく、他の人が問題を解決するのを助ける努力をしましょう。
Remember that there aren't enough great engineers to go around;	方向転換をすることのできる優れた技術者はそういないことを覚えておくことです。
you may have to learn to live with the work that people who are merely competent can do.	ちょっと有能なだけの人達がこなせる仕事に甘んじることを学ばなければならないのかもしれません。
Section 3: Productivity.	3章： 生産性
3.1: My manager complains when I spend time decompressing with games.	3.1: うちの管理職は、僕がゲームでガス抜きする時間を使うことに文句を言うんです。
Managers are used to measuring work in terms of "hours of work done";	管理職というものは、仕事を「労働時間」で測るのに慣れているのです。
in many cases, the work they're evaluating doesn't have a "percolation" phase, or isn't essentially unpredictable.	多くの場合、彼らの査定作業には、「浸透」段階や、どうしても予測できない部分が入ってないのです。
Try to find ways to decompress that look a little more useful, if you can, or see if you can explain the "background thought" process to your manager.	可能ならば、もう少し益がありそうに見えるガス抜きの方法を見つける努力をすることで、もしくは「バックグラウンドで考える」方法を管理職に説明できないか考えてみることです。
3.2: My manager is getting impatient during a design phase.	3.2: うちの管理職は、設計のフェーズの間イライラしてるんです。
Managers are trying to deal with a lot of requirements you may never see.	管理職は、あなたが直面したことがないであろう、大量の要件に対処しているのです。
The manager is trying to run a business;	管理職はビジネスを動かそうとしているのです。
he wants to know what the product is, and when it will exist.	彼は製品がどんなもので、いつできあがるかを知りたがります。
He wants to estimate costs.	彼はコストを見積もりたがります。
It's never possible to do a perfect job, but your manager is going to do the best job he can	完璧な仕事というのは不可能ですが、あなたのとこの管理職は、できる限りベストを尽くそうとしています。
- which means he's going to try to figure out how long your design phase is.	つまり、彼は設計フェーズにどれくらい時間がかかるのか理解しようとしているのです。
How do you figure out how long something takes?	あなたは、あることにどれくらい時間がかかるかどうやって見積もりますか？
You measure the amount done so far, you look at how long it took, and you extrapolate.	あなたはこれまでかかった時間を量り、推定するでしょう。
Unfortunately, this doesn't work very well for design.	残念なことに、これは設計に関してはうまくいきません。
Still, you can help your manager if you can find ways to express the state of the work.	それでも、あなたが作業の状態を表現する方法を見つけることができれば、あなたのとこの管理職を助けになります。
Doodle things on whiteboards.	ホワイトボードにざっと書いてみたり、
Write papers summarizing what issues you're wrestling with, and what issues you think are nailed down.	あなたが取り組んでいる問題点や、釘づけになっている問題点を要約した文書を書いてみたりして、
The act of explaining may help you clarify these issues	説明作業をすれば、そうした問題点を明確にする助けになるかもしれませんし、
- and even if it doesn't, it will show your manager that progress, of some sort, is happening.	例えそうならなくても、あなたのとこの管理職に、どれぐらい作業が進行しているかを示すことになります。
3.3: My manager doesn't understand why I need to do this.	3.3: うちの管理職は、僕に設計フェーズが必要なことを理解してくれないんです。
See if you can make time to try to explain it.	それを説明する時間を作ってみましょう。
Try to find ways to work through your problems that meet your manager's expectations for what people "working" look like.	あなたのとこの管理職が持っている「働く」人間の期待像に沿うような方法で問題に取り組めないかどうか考えてみましょう。
3.4: My manager complains whenever something I need to do wasn't written in my job description.	3.4: うちの管理職は、僕がやるべきことについて職務記述書を書かないことに文句を言うんです。
Try to explain to her that the task needs to happen, and no one else is doing it.	やるべき作業を彼女に説明し、他の誰もそれをしてないことを説明してみましょう。
You might suggest getting "general troubleshooting" added to your job description.	あなたの職務記述書に、「一般的なトラブルシューティング」を付け加えることを提案するのもよいかもしれません。
Try to get documentation on how useful the work you're doing is	あなたがやっている仕事がいかに有益か文書化してみましょう。
- ask other employees to testify about the importance of what you're doing for them, for instance.	例えば、他の従業員に、あなたが彼らのためにやっていることの重要性について証言するようお願いしてみるとか。
3.5: My work is done, but my manager wants me to look busy.	3.5: 僕の仕事は済んだのですが、管理職は僕に忙しそうにしてほしいようなんです。
Explain that your work is done.	あなたの仕事が済んだことを説明しましょう。
If your work is moderately periodic, such as phone support, suggest some low-priority tasks you could soak up...	あなたの仕事が、電話サポートなどの、ほどほどに断続的なものなら、あなたがこなすことのできる優先度の低い作業を申し出る…
or, as an alternative, explain that part of the job is that you're effectively "on retainer", to make sure they have someone when the job does need to be done.	か、それに代わる手段として、その仕事に関してあなたは一種の「保証」であって、いざという時にその仕事をする人を彼等が確保しているのだ、ということを説明してみましょう。
3.6: I'm stuck, and my manager won't stop pressuring me to get unstuck.	3.6: 僕は行き詰まっていて、うちの管理職は僕に先に進むようプレッシャーをかけるのを止めようとしないんです。
The best solution I've ever heard is to ask your manager what happens if he loses his keys.	僕がこれまで聞いた中で最良の解決法は、管理職に鍵をなくしたときに起こることを尋ねることです。
How long will it take to find them?	鍵を見つけるのにどれくらい時間がかかるでしょうか？
Once he's done looking everywhere he can think of, why doesn't he keep looking in all those places over and over and over?	一度考えつくあらゆる場所を探したのに、どうしてそうしたところを何度も何度も何度も探しつづけるのでしょう？
This is the best analogy to difficult creative work that most people will have had experience with.	これこそが、大抵の人が経験したことのある、困難な創造的な仕事と最も類似したものです。
3.7: My job is boring and there's nothing to do.	3.7: 僕の仕事は退屈で、やることが何もないんです。
Ask your manager for more interesting work, or try to get a transfer to a different department, or look for new work.	あなたのとこの管理職にもっと面白い仕事を頼むか、別の部署に転属するか、新しい仕事を探しましょう。
3.8: My manager wants me to stop "showing off".	3.8: うちの管理職は、僕に「力のひけらかし」を止めてほしいようなんです。
Try to avoid stepping on other peoples' toes too much.	他の人の感情を損ねることは避けましょう。
If someone you're working with can't get his job done, and it's faster for you to do it, go to your manager privately and discuss your concerns.	もし、あなたと一緒に働いている人の仕事がうまくいかなくて、かつ自分がやった方が早く済むなら、密かに管理職のとこに出向き、あなたの考えについて議論しましょう。
If she says to live with it, do;	もし彼女がそれを受け入れろと言うのなら、それに従いなさい。
there are many reasons why this could make sense.	そういう状態が道理に適う場合というのが往々にしてあるものなのです。
3.9: My manager insists that I come in to the office.	3.9: うちの管理職は、僕にちゃんとオフィスに来るように言い張るんです。
While much productive work can be done on your own time, in your own place, there's a lot of benefit to social interaction with coworkers.	多くの生産的作業が労働時間外に、自分自身の場所でなされ得るとしても、同僚との社会的な相互関係から得る恩恵は大きいものがあります。
Your manager is trying to make sure that you all see each other occasionally, and build some social bonds.	あなたのとこの管理職が、あなたが他の皆とたまには顔を合わせ、社会的な結びつきを築いていることを確かめようとしているのです。
He's also probably aware that, when you do come in, you may get into a spontaneous conversation about some design issue, which can save weeks of work if you get the right people together.	彼はまた、あなたがちゃんと職場に来れば、設計の問題について自発的に会話をすることになり、的確な人材と一緒に仕事をすれば、仕事にかかる時間を数週間節約できることを分かっているのでしょう。
Not all meetings are productive;	全ての会議が生産的というわけではありませんが、
that doesn't mean no meetings are.	あらゆる会議に意味がないということにはならないのです。
Section 4: Stimulus and response	4章: 鼓舞と反応
4.1: My manager is doing a good job.	4.1: うちの管理職はいい仕事しています。
Should I thank her?	僕は彼女に感謝すべきなのでしょうか？
Yes!	そうですね！
Managers, just like everyone else, need to know when they're doing their jobs well.	管理職も、他の皆と同じように、仕事をうまくやっていることをしるべきなのです。
4.2: My manager did something that bothered me, and I want to get back at him.	4.2: うちの管理職が僕を困らせるようなことをしたので、僕としては仕返しをしてやりたいところです。
Don't punish him.	彼をこらしめてはいけません。
Talk to him.	彼と話をするのです。
Explain why the behavior bothered you.	その行動があなたを困らせた理由を説明し、
Ask him why he did it, or why this was necessary.	彼が何故そうしたか、何故それが必要だったかを尋ねるのです。
Try to understand his reasons;	彼の根拠を理解しましょう。
they may be good ones,	それが正当なものであるかもしれません。
such as	例えば、
"if we don't finish this project soon, we run out of money to pay you in about three months".	「このプロジェクトをすぐに終わらせないと、三月ぐらいで君に給料を支払うお金を使い果たすことになるんだ」というような。
If you find that the reasons are good, try to be understanding.	その根拠が正当なものだと分かったら、物分り良くなりましょうね。
Let your manager know that you were convinced.	あなたのとこの管理職に、あなたが納得したことを伝えましょう。
If you aren't convinced, try to live with the inconvenience anyway.	もし納得できない場合は、なんとかしてその迷惑を受け入れるようにしましょう。
4.3: My manager wants me to do management;	4.3: うちの管理職は、僕にマネージメントをやってほしいようです。
I am not interested, but she seems offended by this.	僕には興味がないのですが、彼女はそれに気を悪くしてるみたいなんです。
Your manager is from a corporate structure in which one advances in a hierarchy;	あなたのとこの管理職は、ヒエラルキーを昇進していく会社組織の見地から考えているのです。
she may not be aware that you're enjoying your work for its own merits, not doing it in the hopes of being "advanced" to a new position.	彼女は、あなたが自分のために仕事を楽しんでいて、新たな地位に「昇進」する希望を持って仕事していないことに気付いてないのかもしれません。
Try to explain that you're doing the kind of work you are because you enjoy it.	あなたが楽しめる仕事をやっていることを説明することです。
4.4: My manager can't raise my salary any more because I earn as much as he does.	4.4: うちの管理職は、僕が彼と同じくらい稼いでいるのだから、僕の給料を上げられないと言うんです。
This is silly, but it may be beyond your manager's power to fix.	それはばかげていますが、管理職の権限で修正できる範囲を越えているのかもしれません。
See if you can find alternatives - maybe he can offer you extended benefits.	代替案を見つけることができれば、追加分の給与をオファーできるかもしれません。
If all else fails, try to get him to give you permission to do freelance consulting on your own time, and pick up some supplemental money.	どうしてもダメなら、あなたが会社での労働時間外に、フリーのコンサルティングをやり、補助となるお金を手に入れる許可を与えるようかけあってみましょう。
4.5: I can't believe the manager on my staff is worth as much as we're paying.	4.5: 私にはうちの管理職が、給料分の価値があるとは信じられないのです。
As you go through the day, try to keep track of all the things you're using and depending on that "just happen".	一日の間、あなたが「無意識に」使ったり依存したりしているもの全てを記録しようとしてみてください。
Did you pay that phone bill?	あなたはその電話代を支払ったのですか？
Who did?	誰が支払ったのでしょう？
Your manager is probably doing a lot of things you aren't even aware are happening;	あなたのとこの管理職が、あなたが起こっていることを意識さえしないようなたくさんのことをこなしているのです。
this is allowing you to focus on what's important, doing your job.	これであなたも重要なことに集中でき、仕事にかかれるでしょう。
Section 5: What does that mean?	5章： それどういう意味？
5.1: My manager doesn't speak English.	5.1: うちの管理職は英語を喋りません。
At least, I don't think so.	少なくとも、私にはそう思えます。
Managers have evolved their own set of words, just like technical jargon, to communicate more effectively.	管理職たちは、お互いが効率よく意思疎通ができるように、自分たち独自の言葉を作ってきました。
Unfortunately, one of the things it's designed to communicate is	残念なことに、そうした言語が伝えたいのは
"I can speak long words without stuttering".	「私はつっかえずに長い単語が言えるぞ」ということなんです。
Still, the chances are that most of what you're hearing does have meaning, although it may be a little verbose.	それにしても少し冗長かもしれませんが、あなたが耳にすることのほとんどのものには意味がある可能性が高いのです。
[It is also possible that English is not your manager's native language, and that it's not yours either.	[英語があなたのとこの管理職のネイティブな言語でないこともまたありえますし、あなた自身がそうでないかもしれません。
Feel free to substitute a more appropriate language.]	自由に適当な言語に置き換えて読んで下さい。]
5.2: My manager is demanding an estimate for something I haven't figured out yet.	5.2: うちの管理職は、私がまだ見定めてないものについての見積もりを要求するんです。
Your manager is trying to decide trivial little things like "where does the paycheck come from".	あなたのとこの管理職は、「その給与はどこから出たのか」といった取るに足らない些細なことを見定めようとしているのでしょう。
If paychecks are to come on regular schedules, the company's income must come on, at least, a predictable schedule - which means your manager needs to have some idea of how long it will take you to do something.	もし給与が規則正しく支払われることになっているなら、その会社の収入も、少なくとも予想できるスケジュールで入ってこなければならず、つまりあなたのとこの管理職は、あなたが何かやるのにどれぐらいかかるか分かっておくべきなのです。
Try to estimate.	まず見積もってみましょう。
Go ahead and warn your manager that the estimate is inaccurate;	それから、思い切って管理職にその見積もりが不正確であることを警告するのです。
you may want to use the example of "finding keys" to explain why.	その理由を説明するのに、「鍵を見つける」例が使えるかもしれません。
5.3: My manager has no sense of humor.	5.3: うちの管理職には、ユーモアのセンスというものがないんです。
Your manager probably doesn't have the same appreciation for meta-humor, recursion, and obscure technical puns that you do.	あなたの管理職が、メタユーモア、反復、そして曖昧な技術関係の駄洒落について、あなたと同じようにはおもしろさを感じ取れないのでしょう。
Try not to depend on jokes that require an engineering background (or at least an engineer's attitude) as a means of communication or bonding with people who aren't, in the end, here to be engineers.	コミュニケーションや、とどのつまり、技術者でない人達と触れ合う手段としては、技術的なバックグラウンド（さもなくば少なくとも技術者的姿勢）を必要とするジョークに頼らないようにしましょう。
5.4: My manager counts from one.	5.4: うちの管理職は、数を１から数え始めます。
Ordinals (counting numbers) have always started from one;	序数（数えるのに使う数字）は常に１から始まります。
counting from zero, while obvious and natural to many programmers, is probably wrong from a linguistic standpoint.	０からはじめるのは、多くのプログラマーにとっては自明で自然なことかもしれませんが、言語学の見地からは多分間違っています。
Try to be flexible.	柔軟になりましょうね。
