THE STORY OF THE YEAR	「年」の話
"They threw things against the doors, and were quite beside themselves with joy, because the old year had disappeared.	それからぱんや壷を戸口へ投げつこをして、大さわぎをして喜んだ。
wI was glad too, for I expected we should have some warm days,	おれも、これでは、今にあたゝかい時候が来るのだなとおもつてにこ／＼した。
but my hopes have come to nothing.	けれどもそんなものはちつとも来やしない。
It freezes harder than ever;	来ないどころか、暮のころよりも、もつと冷えかたがはげしいもの。
I think mankind have made a mistake in reckoning time."	人間たちは、時をはかりちがへたんだよ」
"That they have,"	「間ちがへたんだよ」
said a third, an old sparrow with a white poll;	と、年をとつた、頭の白い、べつの雀が言葉をはさみました。──
"they have something they call a calendar;	「人間たちは、こよみとかいふものをもつてゐる。
it's an invention of their own,	人間が発明したものなのだ。
and everything must be arranged according to it,	人間はすべてのことを、何でもそのこよみによつて、わりふりしてゐる。
but it won't do.	それがいけないのだよ。
When spring comes, then the year begins. It is the voice of nature, and I reckon by that."	第一、春が来てからこそ、あたらしい年といふものがはじまるのが、本当ぢやないか。」
"But when will spring come?"	「その春はいつ来るだらう」
asked the others.	と、みんなは聞きました。
"It will come when the stork returns,	「それは、鴻の鳥がかへれば、来るよ。
but he is very uncertain,	だけど、いつわたつて来るか、一向あてにはならない。
and here in the town no one knows anything about it.	この町の人間にだつて、だれにも、鴻の鳥が来るか来ないか、てんで分らないんぢやないか。
In the country they have more knowledge;	それにくらべると村の人間は、そんなことはずつと早くかぎ出すよ。
shall we fly away there and wait?	みんなで村へとんでいかうぢやないか。
we shall be nearer to spring then, certainly."	ともかく村にゐた方が、ちつとでも近く春のそばへ行けるのだ。」
"That may be all very well,"	年よりの雀がかう言ひますと、そのときまで、何にも、はつきり考へを言はないで、永い間、たゞ、ちい／＼なき／＼、ぴよん／＼とびまはつてゐた、ほかの雀たちの中の、一人の女雀が言ひました。──
said another sparrow, who had been hopping about for a long time, chirping, but not saying anything of consequence,	「さうね、それもいゝかもしれないけれど、
"but I have found a few comforts here in town	私たちはもつとこゝにゐますわ。
which, I'm afraid, I should miss out in the country.	村へいつてしまへば、それがみんなふいになりさうですもの。
Here in this neighborhood, there lives a family of people	このじき近くの広場の中に一家族の人が住んでゐます。
who have been so sensible as to place three or four flower-pots against the wall in the court-yard,	その人たちは、ほんとに気のきいた人で、植木鉢を三つ四つ、ちやんと壁の下へおいてくれてゐるのです。
so that the openings are all turned inward, and the bottom of each points outward.	その鉢は、口のところが、中へ向つて、ぐいとへこんで、せまくなつてゐる鉢で、底の方は、外がはへ向つてとがつてゐます。
In the latter a hole has been cut large enough for me to fly in and out.	その鉢に、ちようど私たちが出たりはひつたり出来るだけの穴があいてゐます。
I and my husband have built a nest in one of these pots, and all our young ones, who have now flown away, were brought up there.	あたしは、うちの人とその中へ巣をつくつて子どもたちをそだてゝゐるのです。
The people who live there of course made the whole arrangement that they might have the pleasure of seeing us,	その家の人があたしたちを見て楽しまうといふ考へから、わざ／＼さういふ仕かまへをしてくれたのです。
or they would not have done it.	でなければ、私たちを、目のまへで見ることが出来ませんからね。
It pleased them also to strew bread-crumbs for us,	それからその人たちは、やはりじぶんたちのなぐさみに、あたしたちへぱんを小さくほぐしては、ふりまいてくれます。
and so we have food,	ですからあたしたちは食べものに不自由がありません。
and may consider ourselves provided for.	いはゞ、その家の人に養つてもらつてゐるようなものです、
So I think my husband and I will stay where we are;	だから、あたしも、うちの人も当分この町にゐます。
although we are not very happy, but we shall stay."	それあ、こゝだつて、こんなに寒かつたりして、いやなこともあるけれど、でも、こゝは動かないつもりですよ」
"And we will fly into the country,"	「それぢや、おれたちは村へとんでいかう。
"to see if spring is coming."	そして春が、まだ来ないかどうか、見て見よう。
And away they flew.	ほかの雀たちはかう言つて、そろつて飛んでいきました。
In the country it was really winter, a few degrees colder than in the town.	村へ来て見ると、そこはまだ、きつい／＼冬でした。
The sharp winds blew over the snow-covered fields.	するどい風が、雪におほはれた野を、よこぎつて吹きまくつてゐます。
The farmer, wrapped in warm clothing, sat in his sleigh, and beat his arms across his chest to keep off the cold.	百姓たちは、ぶあつな手袋をはめて馬橇の中にすわり、両手で胸をこすり／＼して、からだをあたゝめてゐます。
The whip lay on his lap.	鞭は膝の上によこたへてゐます。
The horses ran till they smoked.	馬は、もう一度、汗の湯気がたつまで走りつゞけます。
The snow crackled,	馬の蹄と橇のきしりとで、氷つた雪は、みし／＼音をたてゝ、ひゞわれます。
the sparrows hopped about in the wheel-ruts,	さつきの雀たちは、その橇の通つたあとの、くぼみの中を、ぴよん／＼はねとびながら、
and shivered, crying,	「ちゆつ／＼、ちゆつ／＼、春はいつ来るんだらう。
"Tweet, tweet;	ずいぶんのろいね」
when will spring come?	と、ふるへ／＼言ひました。
"Very long indeed,"	「のろいね」
sounded over the field, from the nearest snow-covered hill.	と、野の、はるか向うの、雪にとざされた、つぎの丘の上から、だれかゞ、やはりかう言ひました。
It might have been the echo which people heard,	それはこだまかも分りません。
or perhaps the words of that wonderful old man, who sat high on a heap of snow, regardless of wind or weather.	でなくば、多分、あの、あすこにゐる──この風と寒さとの中で、雪の、かたいかたまりの上に、しよぼんと坐つてゐる──あの、へんな、ふしぎな、おぢいさんが言つたのでせう。
He was all in white; he had on a peasant's coarse white coat of frieze.	おぢいさんは、百姓のとほりに、粗らしやの、ごは／＼の着物を着て、まつ白に雪をかぶつて坐つてゐます。
He had long white hair, a pale face, and large clear blue eyes.	髪もまつ白髪、そしてまつ青な顔をして、青い大きな眼をうるませてゐます。
"Who is that old man?"	「あすこにゐるおぢいさんは、だれです」
asked the sparrows.	と雀たちは、そばの柵にとまつてゐた大烏にききました。
and was condescending enough to acknowledge that we are all equal in the sight of Heaven, even as little birds,	大烏は、たとへ人間でも、神さまのお目から見れば、小さな小鳥と同じで、ちつともいばれたものではない。
and therefore he talked with the sparrows, and gave them the information they wanted.	だから、じぶんも、雀にだつて話をし、何でも知らしてやるのがあたりまへだといふ、そこの道理がよく分つてゐました。
"I know who the old man is," he said.	ですから、すぐに、答へました。
"It is Winter,	「ふん／＼、あのおぢいさんは冬だよ。
the old man of last year;	去年の年よりだよ。
he is not dead yet, as the calendar says,	でも、こよみがいふように、まだ死んぢやあゐない。
but acts as guardian to little Prince Spring who is coming.	いまに出てお出での、春の王子さまの護衛をするために、あゝしてまつてゐるのだ。
Winter rules here still.	さうだ。
Ugh! the cold makes you shiver,	おゝ、さむい。
little ones, does it not?"	おまへさんたちも、寒くてふるえてるのだらう。」
"There! Did I not tell you so?"	そしてその雀は、仲間に向つて言ひました。
said the smallest of the sparrows.	「やつぱり、わたしが言つたとほりでせう。
"The calendar is only an invention of man,	こよみなんてものは、たゞ人間が勝手に発明したものです。
and is not arranged according to nature.	自然をもとにして、あみ出したものぢやない。
They should leave these things to us;	人間は、さういふことは、わしたちにまかしておくといゝのだ。
we are created so much more clever than they are."	わしたちの方が人間よりも、生れつき、ずつとかしこく出来てゐるのだからね。」
One week passed, and then another.	そのうちに一週間たち、二週間たちました。
The forest looked dark, the hard-frozen lake lay like a sheet of lead.	氷りついた湖水は、かたく、かち／＼になつて、鉛の板をのべしいたように見え、
The mountains had disappeared, for over the land hung damp, icy mists.	氷りつぽい霧が、陸の上をおほふてゐます。
Large black crows flew about in silence;	まつくろい大烏の群は、長い列をつくつて、しかし、無言のまゝで、とびかひしてゐます。
it was as if nature slept.	そんな風で、ちよつと見ると、自然は、まだ、すつかり、眠つてゐるように見えてゐます。
At length a sunbeam glided over the lake,	が、太陽の光は、湖水の面を、足音なく歩きわたつてゐます。
and it shone like burnished silver.	そのために、湖水はみがきをかけた錫のように光つて来ました。
But the snow on the fields and the hills did not glitter as before.	野や丘をおほふてゐる雪も、これまでのように強くちか／＼とは光りません。
The white form of Winter sat there still, with his un-wandering gaze fixed on the south.	しかし、例の、まつ白になつた冬のおぢいさんは、まだあのまゝ、あすこにぢつと坐つて、わきめもふらず、南の方ばかりを一生けんめいに見つめてゐます。
He did not perceive that the snowy carpet seemed to sink as it were into the earth;	おぢいさんには、大地の雪の絨毯が、言はゞ、だん／＼に地の下へ沈んでいくように見える、それにも気がつかず、
that here and there a little green patch of grass appeared, and that these patches were covered with sparrows.	又その絨毯には、もう、そちこちに、すこしづつ、小さな、緑色のつぎあてが出来たことも、そして、その青いつぎあての中には雀たちが群がつてゐることにも気づかないのです。
"Tee-wit, tee-wit;	「ちい、ちゝー、ちい、ちゝー、
is spring coming at last?"	春が来るのかい？」
Spring!	「春だよ」
How the cry resounded over field and meadow, and through the dark-brown woods, where the fresh green moss still gleamed on the trunks of the trees,	と、いひ合うこゑが、野や、草地のそこいら中から、そして木の幹に青々したこけが、まだ氷気を帯びて、ちか／＼光つてゐる森中から、ひゞいて来ました。
and from the south came the two first storks flying through the air,	と見ると、南の方から二人の、一ばん早い鴻の鳥が、空をくゞつて飛んで来ました。
and on the back of each sat a lovely little child,	二人は、それ／゛＼、その口ばしの上へ、かわいらしい小さな子どもを一人づゝのせてゐます。
a boy and a girl.	一人は小さな王子、一人は小さな王女です。
They greeted the earth with a kiss,	その王子と王女とは、つばさをとめた、鴻の鳥の口ばしから下り立つて、大地に頬ずりをして、言葉をかけました。
and wherever they placed their feet white flowers sprung up from beneath the snow.	二人が歩いてまはるところには、どん／＼白い花が雪の下から、のび出て来ます。
Hand in hand they approached the old ice-man, Winter,	二人は間もなく、手をつなぎ合つて、年をとつた氷のおぢいさんの冬のそばへいきました。
embraced him and clung to his breast;	そして二人で、おぢいさんの胸にとりすがつて、おぢいさんを抱きました。
and as they did so, in a moment all three were enveloped in a thick, damp mist, dark and heavy,	すると、またゝく間に、二人とおぢいさんと、ぐるりのすべての地面とが、しめつた、うすぐらい重たい、ふかいもやにつゝまれてしまひました。
that closed over them like a veil.	もやは顔かけのように、あたり一めんをおほふてしまひました。
The wind arose	そのうちに、だん／＼と風が出て来ました。
with mighty rustling tone, and cleared away the mist.	風はやがて、ごうと、うなつて突きすゝんで来て、つよく打ちつけ／＼してもやを追ひのけました。
Then the sun shone out warmly.	そのために．太陽の光は、あたゝかく、かゞやき出しました。
Winter had vanished away, and the beautiful children of Spring sat on the throne of the year.	と、おもふと、冬はいつのまにか姿を消して、うつくしい春の王子と王女とが、『今年』の玉座の上に坐つてゐました。
"This is really a new year,"	「あゝ、これが春だ。」
"now we shall get our rights,	「さあ、これで、われ／＼は、うけとるものをうけとつた。
and have some return for what we suffered in winter."	きびしい冬の、つぐなひがつくのだ。」
Wherever the two children wandered, green buds burst forth on bush and tree,	小さな王子と王女とが行くところには、緑の芽が、木々や灌木の上にもえ出します。
the grass grew higher, and the corn-fields became lovely in delicate green.	草はずん／＼伸び上り、麦の畠は青くなつて、一日々々と美しくなつていきます。
The little maiden strewed flowers in her path.	王女は、四方八方へ、花をまいて歩きます。
She held her apron before her: it was full of flowers; 	王女が、かゝへ上げてゐる、そのえぷろんは、いつ見ても花で一ぱいです。
it was as if they sprung into life there,	いくらどん／＼まきちらしても、いつも中には一ぱいたまつてゐるのです。
for the more she scattered around her, the more flowers did her apron contain.	まるでえぷろんの中から、ひとりでに花が出て来でもするようです。
Eagerly she showered snowy blossoms over apple and peach-trees,	王女は今度は一生けんめいで、すべての林檎の木や、桃の木の上へ、雪のように一めんに白い花をふりかけました。
so that they stood in full beauty before even their green leaves had burst from the bud.	ですから、それ等の木々は、やつと青い芽が出たか出ないかに、もう、すつかり、美しく飾りつくされてしまひました。
Then the boy and the girl clapped their hands,	王女は手をたゝいて喜びました。
and troops of birds came flying by, no one knew from whence,	と、どこからともしらず、いろんな鳥の群がとんで来て、
and they all twittered and chirped, singing	「春が来た、春が来た」
"Spring has come!"	と、ちい／＼、うたひました。
How beautiful everything was!	すべてが、うつくしいながめとなりました。
Many an old dame came forth from her door into the sunshine,	家々のお婆さんたちは、のそ／＼と戸口をくゞつて日光の中へ出て来ました。
and shuffled about with great delight, glancing at the golden flowers which glittered everywhere in the fields,	そして、さもうれしさうに、そちこちを小歩きして、いたるところの野にかゞやいてゐる黄色い花を見入りました。
as they used to do in her young days.	お婆さんたちが、若かつたときに、いつもながめ／＼したとほりに。
The world grew young again to her,	お婆さんにも世界はふたゝび、若くなつたのです。
as she said,	「おゝ、今日は、何といふめぐまれた日であらう。」
"It is a blessed time out here to-day."	お婆さんたちはかう言ひ／＼しました。
The forest already wore its dress of dark-green buds.	森だけは、まだ、暗緑色の、木の芽の着物を着てゐましたが、
The thyme blossomed in fresh fragrance.	そこには、もう、たちじやかう草が、すが／＼と、香ひたかく、さき出るようになりました。
Primroses and anemones sprung forth, and violets bloomed in the shade,	すみれも、あねもねも、さくら草も、どつさり出て来ました。
while every blade of grass was full of strength and sap.	草の葉の一つ／＼にも、うるほひと力とがみちてゐます。
Who could resist sitting down on such a beautiful carpet?	それこそは、たしかに、うつくしい毛せんで、だれだつて、その上にすわることをこばむことは出来ません。
and then the young children of Spring seated themselves, holding each other's hands, and sang, and laughed, and grew.	小さな王子と王女とは、その草の上に坐つて、おたがひに手をとり合つてうたひ、ほゝゑみながら、だん／＼大きな人になつていきます。
A gentle rain fell upon them from the sky,	空からは、やはらかい雨が二人の上にふりかゝりました。
but they did not notice it, for the rain-drops were their own tears of joy.	しかしその雨は二人のよろこびの涙にまざつておちたので、二人とも雨とは気がつきませんでした。
They kissed each other, and were betrothed;	二人は、やがて年わかい王さまと王妃とになりました。
and in the same moment the buds of the trees unfolded,	その瞬間に、木々の芽が、すつかりのびひらけました。
and when the sun rose, the forest was green.	太陽が上ると、森は真緑に飾りつけられました。
Hand in hand the two wandered beneath the fresh pendant canopy of foliage,	二人は、森の中の、つりさげられた青葉の大海の下を、手をとつて、さまよひ歩きました。
while the sun's rays gleamed through the opening of the shade, in changing and varied colors.	太陽の光は、葉のすき間から、きれいな、いろ／＼の色にかはつて、さしこんで来ます。
The delicate young leaves filled the air	その青葉の、うぶ／＼した、純潔さ。
with refreshing odor.	その、すが／＼しい香ひ。
Merrily rippled the clear brooks and rivulets between the green, velvety rushes, and over the many-colored pebbles beneath.	小川や流れは、緑のびろうどのような蘆の中や、色のついた小石の上に、きよらかに、そして、うれしさうにさゞなみをたてゝゐます。
All nature spoke of abundance and plenty.	すべての自然が、
The cuckoo sang, and the lark carolled,	ほとゝぎすは謡ひ、ひばりはよろこびさへづつてゐます。
for it was now beautiful spring.	全くの、うるはしい春です。
The careful willows had, however, covered their blossoms with woolly gloves;	たゞ一人、柳だけは、そのつぼみの上に、まだ毛織の手袋をはめてゐます。
and this carefulness is rather tedious.	いやが上にも用心ぶかい木で、少しじれつたいくらゐです。
Days and weeks went by, and the heat increased.	それから、いく日、いく週間がたちますと、暑熱が、渦まくようにおそつて来ました。
Warm air waved the corn as it grew golden in the sun.	だん／＼に黄色のふかまつて来る麦の中をくゞつて、熱い空気の浪がおしよせて来ます。
The white northern lily spread its large green leaves over the glossy mirror of the woodland lake,	森の中の湖の、がらすの鏡の上には、白ざきの睡蓮が、みどりの、葉をひろげました。
and the fishes sought the shadows beneath them.	魚たちは、その葉陰に集つて日ざしをさけてゐます。
In a sheltered part of the wood, the sun shone upon the walls of a farm-house, brightening the blooming roses, and ripening the black juicy berries,	森のこちらがはの陰にも、太陽が、百姓家の壁に、きら／＼さして、さき誇つたばらの花をあたゝめ、水々した黒い実が一めんに熟し下つてゐる桜の木をほてらしてゐます。
which hung on the loaded cherry-trees, with his hot beams.	桜の実は、はげしい日の光で、まるで熱ばんだように、あつくなつてゐます。
Here sat the lovely wife of Summer,	その森の陰に、うるはしい夏の王妃が坐つてゐます。
the same whom we have seen as a child and a bride;	かつて、小さな王女であり、花嫁であつたあの王妃は、今は年恰好の王妃となつてゐます。
her eyes were fixed on dark gathering clouds,	王妃は、ぢいつと、湧き集まるくろずんだ雲のかたまりを見つめてゐます。
which in wavy outlines of black and indigo were piling themselves up like mountains, higher and higher.	浪だつような外線をもつたその青黒い重たい雲は、だん／＼につもりかさばつて、いくつもの山のようにたかまつていきます。
They came from every side, always increasing like a rising, rolling sea.	その雲は三方から出て来るので、ちようど、化石した海のようにひろがりながら、森に向つて、おそひかゝつて来ます。
Then they swooped towards the forest, where every sound had been silenced as if by magic,	森の中は、あらゆるものゝ声が、魔法でしづめられでもしたように、ばたりと、とまつてしまひました。
every breath hushed, every bird mute.	風の一つ／＼の息もやみ、すべての鳥も、だまりこんでゐます。
But in the lanes and the highways, passengers on foot or in carriages were hurrying to find a place of shelter.	しかし、村の街道や小路々々には、かち歩きの人々や、馬や馬車に乗つて通る人たちが、早く物陰にはひり着かうとして、あせり走つてゐます。
Then came a flash of light, as if the sun had rushed forth from the sky, flaming, burning, all-devouring, and darkness returned amid a rolling crash of thunder.	と、ふいに中空を、太陽が、焔になり、もえたち、あらゆるものを焼きつくさうとして破裂しでもしたように、ぴか／＼つと、するどい光が走りました。
The rain poured down in streams,- now there was darkness, then blinding light,	つゞいてごろ／＼／＼どゝんといふ音と一しよに、あたり一たいがまつくらになつたと思ふはずみに、雨がざゝあと流れるように、落ちて来ました。
- now thrilling silence, then deafening din.	それからは、しばらく目がつぶれるかと思ふばかりの閃光と、くらがりとが入りかはりつゞきました。
The young brown reeds on the moor waved to and fro in feathery billows;	沼のほとりの若い、とび色をして、羽根のようにふは／＼した蘆は、長い浪になつて左右にゆれ動いてゐます。
the forest boughs were hidden in a watery mist,	森の小枝は浪だつ沼の霧にかくされてしまひました。
and still light and darkness followed each other, still came the silence after the roar,	でもなほ、くらがりと閃光と、沈黙と轟きとが、たがひちがひにつゞきます。
while the corn and the blades of grass lay beaten down and swamped, so that it seemed impossible they could ever raise themselves again.	草や穀物は、たゝきふせられて水びたしになり、もう二度とおき上ることが出来ないように見えてゐます。
But after a while the rain began to fall gently,	でも間もなく、雨はもう、しづかな滴になつて降りかはりました。
the sun's rays pierced the clouds,	太陽は雲の間から、のぞき出してゐます。
and the water-drops glittered like pearls on leaf and stem.	木々の葉の上には、雨のしづくが真珠のように光つてゐます。
The birds sang, the fishes leaped up to the surface of the water,	鳥はちい／＼と謡ひ出し、魚は湖の水面から飛び上り／＼してゐます。
the gnats danced in the sunshine,	蚊たちは日光の中で踊つてゐます。
and yonder, on a rock by the heaving salt sea, sat Summer himself, a strong man with sturdy limbs and long, dripping hair.	このとき、こちらの、海の、塩つぱい浪にひたつた、岩の上に、つよい夏の王さまが、頑丈な手足をほこり、長い髪から水をぽた／＼たらして坐つてゐます。
Strengthened by the cool bath, he sat in the warm sunshine,	つめたい大雨の水浴に元気づいて、あつい太陽の光の中に坐つてゐます。
while all around him renewed nature bloomed strong, luxuriant, and beautiful:	自然のすべてが、あたらしく飾りかへられ、あらゆるものが、ゆたかさにあふれ、強健に、うつくしくかゞやいてゐます。
it was summer,	夏です。
warm, lovely summer.	あつい、愛らしい夏が来たのです。
Sweet and pleasant was the fragrance wafted from the clover-field,	しげつた、くろーばあの野原から、空へ流れ上る香気こそ、うれしくなつかしいものです。
where the bees swarmed round the ruined tower,	その野原の、朽ちこはれた、むかしの教会堂のまはりには、蜜蜂がむらがりとんでゐます。
the bramble twined itself over the old altar,	神壇であつた石のぐるりには、蔓いちごがまきついてゐます。
which, washed by the rain, glittered in the sunshine;	今雨に洗はれたその石は、日光をあびて光つてゐます。
and thither flew the queen bee with her swarm,	蜜蜂の女王は、部下の群をひきゐて、その石のところへ飛んで来ました。
and prepared wax and honey.	そして蜜蝋と蜂蜜とをつくりにかゝりました。
But Summer and his bosom-wife saw it with different eyes,	その蜂たちの作業は、たゞ夏の王さまと、すこやかな、その王妃とだけが見てゐました。
to them the altar-table was covered with the offerings of nature.	二人のまへにおかれた、さゝげものゝ台の上は、自然がそなへた、あらゆるおくりもので一ぱいでした。
The evening sky shone like gold,	夕方には、空は黄金のごとくにかゞやきました。
no church dome could ever gleam so brightly,	いかなる大寺院の円屋根でも、こんなにうつくしい輝きは見ません。
and between the golden evening and the blushing morning there was moonlight.	そして、夕方と、赤い朝やけとの間は月夜でした。
It was indeed summer.	これは夏です。
And days and weeks passed,	やがて又いく日かすぎ、いく週間かゞすぎさりました。
the bright scythes of the reapers glittered in the corn-fields,	穀物の畠には、刈入れをする人たちの、とぎ光つた鎌が、かゞやき、閃きました。
the branches of the apple-trees bent low, heavy with the red and golden fruit.	林檎の木の枝々は、赤黄色い実をどつさり荷づまれて、たれこゞみました。
The hop, hanging in clusters, filled the air with sweet fragrance,	ぽつぷ草は大きなふさかざりのようになつてたれ下り、なつかしくかほつてゐます。
and beneath the hazel-bushes, where the nuts hung in great bunches,	はしばみの茂みには実のあつまりが、大きな、束になつて熟してゐます。
rested a man and a woman- Summer and his grave consort.	その茂みの下に、王さまと王妃とが──やゝ年をとつた夏と、そのしづかな慰め手の王妃とが坐つてゐます。
"See,"	「何といふ、ものゝゆたかさでせう」
she exclaimed,	と王妃は言ひました。──
"what wealth, what blessings surround us.	「あたりには、一つの恵みがくまなくあふれわたつてゐます。
Everything is home-like and good,	どちらを見ても目に入る景色は、なごやかで、さも、じぶんの、ほんとの家にゐついてゐるような心持がします。
and yet, I know not why, I long for rest and peace;	それだのに、わたしは──さあ、どういふわけだか、私にも分りませんけれど──何だか、こゝでは得られない、平和と休息とにあこがれてゐるような気がしてなりません。
I can scarcely express what I feel.	この気持を何と言ひあらはせばいゝのでせう。
They are already ploughing the fields again;	人々は、また畠をほりたがやしてゐます。
more and more the people wish for gain.	あるが上にも、もつと／＼とり入れがしたいのですね。
See, the storks are flocking together, and following the plough at a short distance.	おや、ごらんなさい、鴻の鳥たちが群れかたまつて、あの鋤の、じき後について飛んでゐます。
They are the birds from Egypt,	おゝ、とほい南のあの鳥たち。
who carried us through the air.	私たちをのせて大空をかけて来た、あの鳥たち。
Do you remember	あなたもおわすれにはならないでせう。
how we came as children to this land of the north;	二人が小さな王子と王女のときにこの北の国へ来ましたときのことを。
we brought with us flowers and bright sunshine, and green to the forests,	二人は、花と、よろこばしい日光と緑とをもつて来て木々にあたへました。
but the wind has been rough with them,	風はその木にあら／＼しい仕向けをしました。
and they are now become dark and brown, like the trees of the south, but they do not, like them, bear golden fruit."	ですから木たちは、南の国の木のように、黒く、とび色にしげつてゐますが、あちらの木とはちがつて、ちつとも果物をつけてゐませんね。」
"Do you wish to see golden fruit?"	「では、あなたは黄金色の果物が見たいといふのか。
"then rejoice,"	それでは、よろこぶがよい。」
and he lifted his arm.	王は片手をさし上げました。
The leaves of the forest put on colors of red and gold, and bright tints covered the woodlands.	すると森の木の葉は、たちまちに、赤と黄金色とになり、森林地一たいに、うつくしい色がひろがりました。
The rose-bushes gleamed with scarlet hips, and the branches of the elder-trees hung down with the weight of the full, dark berries.	ばらの茂みは深紅の実をつけてかゞやき、にはとこの枝々は黒い実の、おもたいふさにおされてたれ下りました。
The wild chestnuts fell ripe from their dark, green shells,	どんぐりはうれて、黒ずんだ殻からおちて来ます。
and in the forests the violets bloomed for the second time.	それから森の深みには、もう一度、すみれの花がさきみちました。
But the queen of the year became more and more silent and pale.	けれども王妃は、なほ／＼口もきかなくなり、顔もます／＼青ざめて来ました。
"It blows cold,"	「おゝ、つめたい風だこと。
"and night brings the damp mist;	それに、夜になると、しめつぽい霧が下りる。
I long for the land of my childhood."	私は小さいときの国がこひしい。」
Then she saw the storks fly away	見ると、鴻の鳥はどん／＼飛び去つていきます。
every one,	一人のこらず行つてしまひました。
and she stretched out her hands towards them.	王妃は両手をひろげて、その鴻の鳥たちに追ひすがらうとしました。
She looked at the empty nests;	それから、鴻の鳥たちの巣を見上げました。
in one of them grew a long-stalked corn flower,	その巣の一つには、茎の長いやぐるまぎくが生えのびてゐます。
in another the yellow mustard seed,	ほかの一つには、黄色いからしなの種がこぼれてゐます。
as if the nest had been placed there only for its comfort and protection,	巣は、まるで、そのからしなを護り、ゐごこちよくするために作られでもしたようです。
and the sparrows were flying round them all.	例の雀たちは、とび上つて、その巣の中へはひらうとしてゐます。
"Tweet, where has the master of the nest gone?"	「ちい／＼、主人はどこへいつてしまつたのだらう。
"I suppose he could not bear it when the wind blew,	風がふいてくると、しのぎがつかないと見える。
and therefore he has left this country.	そのためにこの土地を立つてしまつたのだらう。
I wish him a pleasant journey."	愉快な旅行をお祈りする。」
The forest leaves became more and more yellow,	森中の葉は、なほ／＼黄色くなりました。
leaf after leaf fell,	そして葉は一まい／＼とおちかさなりました。
and the stormy winds of Autumn howled.	そのうちに、あらしが、ごう／＼と吹き狂ひはじめました。
The year was now far advanced,	「年」はもうずつとたけたのです。
