The Bolted Door	『閉ざされたドア』
"My dear fellow, it's sacrilege to keep a dinner waiting --	「夕食を待たせるなんて、まったくけしからんことですよ、
especially the production of an artist like yours."	とくにあなたのような芸術家の食事となると、なおのこと」
Mr. Ascham sipped his Burgundy luxuriously.	アスカムは最高級のブルゴーニュワインをゆっくりと楽しんでいた。
"But the fact is, Mrs. Ashgrove sent for me."	「実は、アッシュグローブ夫人に呼ばれたんです」
Granice raised his head with a quick movement of surprise.	グラニスはびっくりして、急に顔を上げた。
For a moment he was shaken out of his self-absorption.	一瞬、動揺のあまりに我を忘れた。
<5> "Mrs. Ashgrove?"	「アッシュグローブ夫人ですって？」
Ascham smiled.	アスカムは笑顔を見せた。
"I thought you'd be interested;	「興味をお持ちになるとは思ってましたよ。
I know your passion for causes celebres. And this promises to be one.	世間の評判になるような事件には、たいそう関心がおありになることは知っていましたから。
Of course it's out of our line entirely	もちろんこれはまったく職務外の事件ですが
-- we never touch criminal cases.	――うちの事務所では犯罪事件は扱いませんからね。
But she wanted to consult me as a friend.	あの人は友人として私に意見を求めたのです。
Ashgrove was a distant connection of my wife's.	アッシュグローブは家内の遠縁にあたるのでね。
And, by Jove, it is a queer case!"	それにしても、まったくのところ奇妙な事件ですな」
The servant re-entered, and Ascham snapped his lips shut.	召使いがまた入ってきたので、アスカムは急に口をつぐんだ。
Would the gentlemen have their coffee in the dining-room?	「コーヒーはこちらでお召し上がりになりますか」
"No	「いや、
-- serve it in the library,"	書斎へ持ってきてもらえないか」
said Granice, rising.	グラニスはそう答えると立ち上がった。
He led the way back to the curtained confidential room.	先に立って、内密の話ができるカーテンで仕切られた部屋へ戻っていく。
He was really curious to hear what Ascham had to tell him.	アスカムの話の続きに、興味が掻き立てられていた。
While the coffee and cigars were being served he fidgeted about the library, glancing at his letters	コーヒーと葉巻が給仕されている間、グラニスはそわそわしながら、手紙にざっと目を通したり
-- the usual meaningless notes and bills	――ありきたりのどうでもいい手紙と請求書ばかりだった
-- and picking up the evening paper.	――夕刊を取り上げたりした。
As he unfolded it a headline caught his eye.	広げた夕刊の見出しに目が留まる。
"ROSE MELROSE WANTS TO PLAY POETRY.	ローズ・メルローズ、詩劇上演を計画
"THINKS SHE HAS FOUND HER POET."	待望の詩人、見つかる
He read on with a thumping heart	胸をとどろかせながら、先を読んだ。
-- found the name of a young author he had barely heard of, saw the title of a play, a "poetic drama," dance before his eyes,	あまり聞いたことのない若い作家の名があがっており、戯曲のタイトルに続く「詩劇」のことばが、目の前で踊った。
and dropped the paper,	グラニスは夕刊を落とした。
sick, disgusted.	気分が悪くなり、吐き気がした。
It was true,	本当だったのだ。
then	それでは
-- she was "game"	……ローズは「やる気」だったのだ。
-- it was not the manner but the matter she mistrusted!	儀礼的にそう言ったのではなく、ほんとうにローズの信頼を得られなかったのだ。
Granice turned to the servant, who seemed to be purposely lingering.	グラニスは、わざとぐずぐずしているようにさえ見える召使いに向かって、
"I shan't need you this evening, Flint.	「フリント、今夜はもう結構。
I'll lock up myself."	戸締まりは私がしておこう」
He fancied the man's acquiescence implied surprise.	フリントのやつ、おとなしく言うことを聞いているような顔をしているが、実は驚いているんじゃないか。
What was going on, Flint seemed to wonder, that Mr. Granice should want him out of the way?	いったい何があるんだろう、旦那様は自分が邪魔になるようなことでもするのだろうか、などと。
Probably he would find a pretext for coming back to see.	おそらくフリントは口実を見つけて、様子を見に戻ってくるだろう。
Granice suddenly felt himself enveloped in a network of espionage.	突然グラニスは、自分がスパイの網の目に取り囲まれているような気がしてきた。
As the door closed he threw himself into an armchair and leaned forward to take a light from Ascham's cigar.	ドアが閉じるが早いか、グラニスはアームチェアに腰を下ろし、アスカムの葉巻から火を借りようと身を乗り出した。
"Tell me about Mrs. Ashgrove,"	「アッシュグローブ夫人のことを話してください」
he said, seeming to himself to speak stiffly, as if his lips were cracked.	ひび割れた唇から出たような、固い自分の声が耳に響いた。
"Mrs. Ashgrove?	「アッシュグローブ夫人ですか。
Well, there's not much to tell."	さて、お話するようなことはそれほどないのですが」
"And you couldn't if there were?"	「それは、話せない、ということですか」
Granice smiled.	グラニスは笑顔を見せた。
"Probably not.	「そうではないと思いますよ。
As a matter of fact, she wanted my advice about her choice of counsel.	実のところ、夫人は弁護士を選ぶためのアドバイスを求めてきただけです。
There was nothing especially confidential in our talk."	内密にしておかなければならないようなことは何もないんですよ」
"And what's your impression, now you've seen her?"	「で、どのような印象をお持ちになりましたか、夫人に会って」
"My impression is,	「印象ですか。
very distinctly, that nothing will ever be known."	率直に言って、おそらくなにもわからないでしょうな」
<6> "Ah -- ?"	「と言うと……？」
Granice murmured, puffing at his cigar.	グラニスはつぶやくと、葉巻をふかした。
"I'm more and more convinced	「私の確信は揺るぎません。
that whoever poisoned Ashgrove knew his business, and will consequently never be found out.	アッシュグローブを毒殺したのがだれであるにせよ、やり方を知っている者の犯行であることはまちがいない、そのことを考えれば、決して犯人はあがらないでしょう。
That's a capital cigar you've given me."	それはそうと、これはすばらしい葉巻ですな」
"You like it?	「お気に召しましたか。
I get them over from Cuba."	キューバから取り寄せているのです」
Granice examined his own reflectively.	つられてグラニスも深々と吸い込んだ。
"Then you believe in the theory that the clever criminals never are caught?"	「それでは、賢い犯罪者は決して捕まらない、という説を信奉なさっている、というわけですな」
"Of course I do.	「もちろんそういうことです。
Look about you	ご自身の場合もそうだ。
-- look back for the last dozen years	この十二年間というもの、
-- none of the big murder problems are ever solved."	重大な殺人事件が一件も解決されていない」
The lawyer ruminated behind his blue cloud.	アスカムは紫煙の向こう側でなにやら考えていた。
"Why, take the instance in your own family:	「たとえばご家族のことです。
I'd forgotten I had an illustration at hand!	手元に資料があったんだが忘れてしまったな。
Take old Joseph Lenman's murder	ジョゼフ・レンマン老人が故殺された件を考えてみましょう。
-- do you suppose that will ever be explained?"	あの事件がいつか解明されるとお考えですか」
As the words dropped from Ascham's lips his host looked slowly about the library,	アスカムのことばが続いている間、グラニスはゆっくりと書斎を見回していた。
and every object in it stared back at him with a stale unescapable familiarity.	あらゆるものが、見慣れた、いやがうえにも馴染みになった顔つきでこちらを見返している。
How sick he was of looking at that room!	この部屋を見るのなんて、もううんざりだ。
It was as dull as the face of a wife one has wearied of.	古女房の顔のようなものだ。
He cleared his throat slowly;	ゆっくりと咳払いすると、
then he turned his head to the lawyer and said:	アスカムの方に目を戻して言った。
"I could explain the Lenman murder myself."	「私がレンマン殺害事件を説明してみましょう」
Ascham's eye kindled:	アスカムの目に火がともった。
he shared Granice's interest in criminal cases.	犯罪事件に寄せるグラニスの関心を、分かち合おうというのだ。
"By Jove!	「なんとなんと。
You've had a theory all this time?	いままでずっと意見をお持ちだったのですかな。
It's odd you never mentioned it.	これまでおっしゃらなかったのが不思議だ。
Go ahead and tell me.	さぁ、どうぞお話になってください。
There are certain features in the Lenman case not unlike this Ashgrove affair,	レンマン事件のある側面は、アッシュグローブ事件にも似ていないとは言えませんな。
and your idea may be a help."	ご意見が参考になるかもしれません」
Granice paused and his eye reverted instinctively to the table drawer in which the revolver and the manuscript lay side by side.	グラニスは口をつぐむと、その目は本能的に、ふたたびリボルバーと原稿が並んで収まっているテーブルの引き出しへと向けられた。
What if he were to try another appeal to Rose Melrose?	ローズ・メルローズに別の戯曲を書いてみせたらどうなるだろう。
Then he looked at the notes and bills on the table, and the horror of taking up again the lifeless routine of life	それから机の上の手紙と請求書に目を転ずると、生活のほとんどを占める死んだような日常のあれこれ
-- of performing the same automatic gestures another day	――来る日も来る日も同じ、ロボットのような仕草を繰り返す
-- displaced his fleeting vision.	――が、儚い幻想を追い払った。
"I haven't a theory.	「意見ではないのです。
I know who murdered Joseph Lenman."	ジョゼフ・レンマンを殺した人物を知っているのです」
Ascham settled himself comfortably in his chair, prepared for enjoyment.	アスカムはゆっくり楽しもうと、楽な姿勢になってすわりなおした。
"You know?	「ご存じだ、と。
Well, who did?"	だれのしわざなんです」
he laughed.	と笑った。
"I did,"	「わたしです」
said Granice, rising.	とグラニスは立ち上がった。
He stood before Ascham, and the lawyer lay back staring up at him.	目の前に立ったグラニスを、まじまじと見上げていたアスカムは、
Then he broke into another laugh.	すぐにはじけるように笑い出した。
"Why, this is glorious!	「ほほう、それはすばらしい。
You murdered him, did you?	あなたが殺したんですと？
To inherit his money, I suppose?	おそらくは遺産を相続するため、ですかな？
Better and better!	ますます結構。
Go on, my boy!	続きをどうぞ。
Unbosom yourself!	秘密を打ち明けてください。
Tell me all about it!	一切合切、話してくだすってかまいません。
Confession is good for the soul."	告白は魂の平安に願ってもないことですからな」
<7> Granice waited till the lawyer had shaken the last peal of laughter from his throat; 	グラニスはアスカムが喉の奥から最後まで笑い声を絞り終えるのを待ち、
then he repeated doggedly:	片意地な調子で繰り返した。
"I murdered him."	「私が殺したのです」
The two men looked at each other for a long moment, and this time Ascham did not laugh.	ふたりはしばらくの間見つめ合ったが、こんどはアスカムも笑おうとはしなかった。
"Granice!"	「グラニス」
"I murdered him	「わたしが殺したんです。
-- to get his money, as you say."	おっしゃるように、金のために」
There was another pause,	ふたたび沈黙が訪れた。
and Granice, with a vague underlying sense of amusement, saw his guest's look change from pleasantry to apprehension.	グラニスは意識のどこかで楽しんでいることを漠然と感じながら、アスカムの表情が、楽しげなものから不安げなものへと変わっていくのを見ていた。
"What's the joke, my dear fellow?	「何の冗談ですかな。
I fail to see."	よくわからないんだが」
"It's not a joke.	「冗談ではないんです。
It's the truth.	ほんとうのことなんですよ。
I murdered him."	わたしが殺したんです」
He had spoken painfully at first, as if there were a knot in his throat;	最初の苦痛に満ちた、喉から絞り出すような声音も、
but each time he repeated the words he found they were easier to say.	繰り返していくうちに、だんだん楽なものになっていた。
Ascham laid down his extinct cigar.	アスカムは消えてしまった葉巻を口から離した。
"What's the matter?	「どうしたんです。
Aren't you well?	どこかお悪いのですか。
What on earth are you driving at?"	いったいどうしてしまったんです」
"I'm perfectly well.	「まったく異常はありません。
But I murdered my cousin, Joseph Lenman, and I want it known that I murdered him."	私がいとこのジョゼフ・レンマンを殺したのだし、殺したということを知っていただきたいのです」
"You want it known?"	「知ってほしい、と？」
"Yes.	「そのとおり。
That's why I sent for you.	だからこそ、あなたをお呼びしたんです。
I'm sick of living,	生きるのに疲れた。
and when I try to kill myself I funk it."	自殺しようにも、怖じ気づいてしまってダメなんです」
He spoke quite naturally now, as if the knot in his throat had been untied.	あたかも喉の奥にあったつかえがすっかりとれたかのように、グラニスのことばは淀みもせずに流れ出る。
"Good Lord	「なんということだ、
-- good Lord,"	なんということだ」
the lawyer gasped.	アスカムは喘いだ。
"But I suppose," Granice continued, "there's no doubt this would be murder in the first degree?	「ただ思うのは、これが第一級故殺であることは間違いありませんね？
I'm sure of the chair if I own up?"	告白すれば、まちがいなく電気椅子送りになりますね？」
Ascham drew a long breath;	アスカムは長いため息を吐いた。
then he said slowly:	それからゆっくりと言った。
"Sit down, Granice.	「おすわりになってください。
Let's talk."	とにかく、話をお聞かせ願おうじゃありませんか」
Granice told his story simply, connectedly.	グラニスは自分の過去を、簡単なあらすじにまとめた。
He began by a quick survey of his early years	手始めに、大人になるまでのあらましをざっと語る
-- the years of drudgery and privation.	――苦しい労働と貧困の歳月であったことを。
His father, a charming man who could never say "no," had so signally failed to say it on certain essential occasions that when he died he left an illegitimate family and a mortgaged estate.	グラニスの父は、人好きのする人物だったが、「否」と言うことができないたちで、絶対に拒否しなければならない場面で「否」と言えなかったために、死後、非嫡出子と、抵当に入れられた地所を残したのだった。
His lawful kin found themselves hanging over a gulf of debt, and young Granice, to support his mother and sister, had to leave Harvard and bury himself at eighteen in a broker's office.	法律上の家族は、気がつけば巨額の負債に呑み込まれそうになっており、若きグラニスは、母と妹を養っていくために、ハーヴァードを辞めて、十八歳の身を株式仲介人の事務所に埋めなければならなかった。
He loathed his work, and he was always poor, always worried and in ill-health.	仕事は死ぬほどいやだったが、常に貧しく、心配事は際限もなく降りかかり、体調も崩してしまった。
A few years later his mother died, but his sister, an ineffectual neurasthenic, remained on his hands.	数年後母親が亡くなったが、まだグラニスの下には、治るあてのない神経衰弱を抱えた妹がいた。
His own health gave out, and he had to go away for six months, and work harder than ever when he came back.	自分自身が病に臥せって半年休養しなければならなくなったあと、また仕事に戻ったのだが、これまで以上に懸命に働かなければならなかった。
He had no knack for business,	グラニスには、ビジネスのこつがどうしても飲み込めなかった。
